Probe ID	Entrez ID	Gene Symbol	Gene Description	FC	P Value	FDR
ltIEr3UKNV2Icd7xS0	72	ACTG2	actin, gamma 2, smooth muscle, enteric	9.0043	3.96E-13	6.26E-09
fiPPV6QOQvd6TUQxpE	56925	LXN	latexin	2.9582	1.33E-10	1.05E-06
NDjleiO0SPXpIlOtUo	6286	S100P	S100 calcium binding protein P	2.3222	2.22E-05	0.0012652
KURKrov3hgrXCou.u0	1906	EDN1	endothelin 1	2.2659	6.68E-07	0.00017199
WeyXq7G.R0L3XHih34	135112	NCOA7	nuclear receptor coactivator 7	2.2112	0.00024523	0.0063792
BjV6vle1QXX7yuf1TI	9283	GPR37L1	G protein-coupled receptor 37 like 1	2.1451	5.22E-10	2.75E-06
3vMN46l6eouggqCX.k	5104	SERPINA5	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	2.0943	5.65E-09	1.49E-05
iihieVzjh7u.opSbeE	4792	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	2.0649	1.08E-06	0.00021948
N0XC1Uq1CoglUhVfd8	27289	RND1	Rho family GTPase 1	1.9387	9.41E-08	5.84E-05
96ltV3Vfr3ke_UMAJ0	2354	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	1.9369	6.57E-05	0.0024908
W6Tu6V7efNfoK4SY9U	12	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	1.9314	4.36E-06	0.00043667
EVLftPlJ7vrLnu_Dxo	3576	IL8	interleukin 8	1.9092	4.74E-05	0.0019944
oV9YmmXCX_W4k5EeIM	1316	KLF6	Kruppel-like factor 6	1.9044	3.04E-05	0.0015263
cVSIwKeU.6q3sfOl4A	7128	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	1.8714	7.25E-08	5.28E-05
c6eS4nuO5XznMl6kIk	54677	CROT	carnitine O-octanoyltransferase	1.8685	3.58E-08	4.66E-05
otXqXgNBXTRY6dR1TQ	9961	MVP	major vault protein	1.8647	2.91E-07	0.0001127
ZReDmgidp1b8k.7Hwo	3488	IGFBP5	insulin-like growth factor binding protein 5	1.8634	2.35E-08	3.58E-05
Hu5nvXRB8iLA3UnlWo	7812	CSDE1	cold shock domain containing E1, RNA-binding	1.8589	3.89E-05	0.0017505
uR.XnXd7dyREHuDte4	59	ACTA2	actin, alpha 2, smooth muscle, aorta	1.8407	2.57E-05	0.0013704
6ipCUUDxcp4ryIj6Uk	2012	EMP1	epithelial membrane protein 1	1.8357	1.40E-06	0.00026269
HVr31Lr_IR6.Efzlo4	7414	VCL	vinculin	1.8339	0.00019385	0.0054066
fse_AUfT6E75DJAFVI	56204	KIAA1370	KIAA1370	1.8167	0.00027069	0.0068056
35QRHIUd.o9CJHuzh4	493869	GPX8	glutathione peroxidase 8	1.7766	8.42E-06	0.00067244
ZlSXXeh1F_hdLh0gfc	81788	NUAK2	NUAK family, SNF1-like kinase, 2	1.766	4.75E-07	0.00015088
orojh4FCCMN1ArUY6k	306	ANXA3	annexin A3	1.7658	6.10E-08	4.82E-05
WUCfbfu.nki49qp4XI	6781	STC1	stanniocalcin 1	1.7548	2.29E-07	0.00010622
ohS5Ax.iJF6txKEw_k	169200	TMEM64	transmembrane protein 64	1.7536	0.00037466	0.0083659
0Uu3XrB6Bd14qoNeuc	7538	ZFP36	zinc finger protein 36, C3H type, homolog (mouse)	1.7365	0.00020951	0.005742
iJedp7O.dkZ0Vn0uac	85441	PRIC285	peroxisomal proliferator-activated receptor A interacting complex 285	1.7219	3.81E-05	0.0017326
osGi.IlKnjn_u6Ukd4	6890	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	1.7126	1.04E-06	0.00021948
Ndoukh4Qe4hOR_cYBI	4477	MSMB	microseminoprotein, beta-	1.7045	1.01E-05	0.00076925
ltevVv3UXIewF3YqSo	1026	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	1.7015	2.63E-05	0.0013944
lZ4CI9S6hOuW.97_X0	7464	CORO2A	coronin, actin binding protein, 2A	1.6894	6.65E-07	0.00017199
9Vyi_DX3V5cXkk3X9U	83759	RBM4B	RNA binding motif protein 4B	1.6879	9.95E-07	0.00021253
H0UhfoUhXnoHQQXuKk	7169	TPM2	tropomyosin 2 (beta)	1.6802	4.77E-07	0.00015088
0jp6I4T81KtH_0pXKE	56892	C8orf4	chromosome 8 open reading frame 4	1.6784	0.0001521	0.0045747
TrUix_.1Y7tSUnWSSc	8553	BHLHB2	basic helix-loop-helix domain containing, class B, 2	1.6783	9.32E-07	0.00020466
Tyao14HoeDAG63VHmU	4582	MUC1	mucin 1, cell surface associated	1.6668	1.47E-06	0.00026941
rkdrpLRTAEETXkXoHo	3909	LAMA3	laminin, alpha 3	1.6661	6.96E-07	0.00017199
rcoepWKuvxeRb4dLMs	4627	MYH9	myosin, heavy chain 9, non-muscle	1.662	4.02E-05	0.0017735
it0.63v_tV1dup_52o	3927	LASP1	LIM and SH3 protein 1	1.6355	2.88E-05	0.00146
imXQeeVevg73fjLnoU	8408	ULK1	unc-51-like kinase 1 (C. elegans)	1.6344	1.66E-05	0.0010351
ovvJ5I8FUlXe33vCxI	22920	KIFAP3	kinesin-associated protein 3	1.6326	8.17E-06	0.00065582
HIIV4VHir__4g_eCUY	84129	ACAD11	acyl-Coenzyme A dehydrogenase family, member 11	1.6315	1.37E-05	0.00093817
osj1QiH8ktFJfDk7Eo	3899	AFF3	AF4/FMR2 family, member 3	1.6233	0.00027801	0.0069413
9lXuFd0fFWIXR.PEI0	5349	FXYD3	FXYD domain containing ion transport regulator 3	1.6149	3.90E-05	0.0017505
HdUm8EQDU6ks46Std4	467	ATF3	activating transcription factor 3	1.6039	1.45E-05	0.0009571
Zop4h2p4v5oitLBwPo	7168	TPM1	tropomyosin 1 (alpha)	1.6037	1.45E-05	0.0009571
NpLoQjinjshXQIUUKU	51473	DCDC2	doublecortin domain containing 2	1.5997	2.74E-05	0.0014157
x6pZNcUe4_c16cRfA4	4148	MATN3	matrilin 3	1.5823	6.54E-06	0.00057498
Z1C6Eod4T3VqnRBLN0	153572	IRX2	iroquois homeobox 2	1.5772	6.63E-06	0.00057834
BkpTml3tE3HQd574Tk	115201	ATG4A	ATG4 autophagy related 4 homolog A (S. cerevisiae)	1.5768	1.13E-05	0.00084132
Nd8wBK_mNP1Qj6.V_I	6451	SH3BGRL	SH3 domain binding glutamic acid-rich protein like	1.5739	0.0001447	0.0044089
6eJh3H9Pv5Sbp2_e_U	10079	ATP9A	ATPase, class II, type 9A	1.5723	4.03E-05	0.0017735
olQIEDHwbqLoFE4l50	4907	NT5E	5-nucleotidase, ecto (CD73)	1.5689	2.70E-05	0.0014103
NIr0Tl7eRPAJ3qCF74	11098	PRSS23	protease, serine, 23	1.5684	3.94E-06	0.00041666
6ShS8R1MZAWYxP_eBA	8634	RTCD1	RNA terminal phosphate cyclase domain 1	1.5636	1.60E-06	0.00028064
6KK4561elF3EleB34g	10300	KATNB1	katanin p80 (WD repeat containing) subunit B 1	1.5605	2.77E-05	0.0014231
lKdX3iXdeeeF40Xen8	7351	UCP2	uncoupling protein 2 (mitochondrial, proton carrier)	1.5581	4.20E-06	0.00043129
NTnKfigggAZ9pPdfKE	10202	DHRS2	dehydrogenase/reductase (SDR family) member 2	1.5542	6.28E-06	0.00056032
QZiV67oe63s4Nu7B7o	1609	DGKQ	diacylglycerol kinase, theta 110kDa	1.5458	2.29E-05	0.0012777
HAQV4lSpQVcaBFHH8U	9406	ZRANB2	zinc finger, RAN-binding domain containing 2	1.5399	7.49E-06	0.00061816
Z_6__elQ4tXLRNV5SI	397	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	1.5377	5.41E-06	0.00051663
cgHlCrnrmjoRw5JRj4	3491	CYR61	cysteine-rich, angiogenic inducer, 61	1.5352	0.00024275	0.0063531
fkyRf5CXmmP6uUk15A	57535	KIAA1324	KIAA1324	1.5299	1.34E-05	0.00093534
BnUkX396HpvRdXnS58	1999	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	1.5264	0.00013878	0.0042865
cJUifgKWa_kfYgoLog	8739	HRK	harakiri, BCL2 interacting protein (contains only BH3 domain)	1.5236	0.00012103	0.0039141
