Unique id	Gene symbol
ILMN_1753449	CST1
ILMN_1813704	KIAA1199
ILMN_1724686	CLDN1
ILMN_1712522	CEACAM6
ILMN_1723042	CLDN3
ILMN_1794863	CAMK2N1
ILMN_1814015	CDH17
ILMN_1666845	KRT17
ILMN_1784459	MMP3
ILMN_1689336	HOXA10
ILMN_1793888	SERPINB5
ILMN_1689004	TNFRSF12A
ILMN_1881909
ILMN_1651354	SPP1
ILMN_1779875	THY1
ILMN_1701308	COL1A1
ILMN_1678842	THBS2
ILMN_1763196	WDR72
ILMN_1702363	SULF1
ILMN_1780255	KLK6
ILMN_1662130	POM121
ILMN_1815619	CDX1
ILMN_1685433	COL8A1
ILMN_1714730	UBE2C
ILMN_1685403	MMP7
ILMN_1800091	RARRES1
ILMN_1723412	ASCL2
ILMN_1752502	HKDC1
ILMN_1734445	LOC91461
ILMN_1789507	COL11A1
ILMN_1811387	TFF3
ILMN_1892548
ILMN_1695404	LY6E
ILMN_1672776	COL10A1
ILMN_1667460	SULF2
ILMN_1721354	KRT6B
ILMN_1795190	CLDN2
ILMN_1810172	SFRP4
ILMN_1736078	THBS4
ILMN_1734653	FNDC1
ILMN_1773262	ESM1
ILMN_1755620	IER5L
ILMN_1714952	ZNF703
ILMN_1686811	LOC402644
ILMN_1740586	PLA2G2A
ILMN_1725090	CTHRC1
ILMN_1725750	LOC644695
ILMN_1671766	F12
ILMN_1666733	IL8
ILMN_1686097	TOP2A
ILMN_1695687	SALL4
ILMN_1789007	APOC1
ILMN_1807423	IGF2BP3
ILMN_1746257	DAZAP1
ILMN_1706643	COL6A3
ILMN_1751028	SERPINH1
ILMN_1892859
ILMN_1781680	DAP3
ILMN_1729117	COL5A2
ILMN_1763907	C6orf173
ILMN_1757099	C10orf81
ILMN_1751161	COL7A1
ILMN_1656057	PLAU
ILMN_1733756	COL12A1
ILMN_1692731	TTYH3
ILMN_1784436	KIAA1688
ILMN_1794492	HOXC6
ILMN_1653028	COL4A1
ILMN_1681754	GGH
ILMN_1734276	TMEPAI
ILMN_1674908	HOXB5
ILMN_1708778	ASS
ILMN_1702125	HOXB7
ILMN_1711566	TIMP1
ILMN_1714523	HEPH
ILMN_1787897	CXCL1
ILMN_1701424	LAMC2
ILMN_1770454	AGRN
ILMN_1676663	TNFRSF11B
ILMN_1688205	KLK10
ILMN_1805750	IFITM3
ILMN_1796589	TRIP13
ILMN_1737184	CDCA7
ILMN_1683450	CDCA5
ILMN_1799243	ANXA13
ILMN_1789400	FOXD2
ILMN_1809417	LRFN4
ILMN_1704294	CDH3
ILMN_1745570	KLK7
ILMN_1726448	MMP1
ILMN_1781943	C20orf129
ILMN_1724994	COL4A2
ILMN_1792455	RIS1
ILMN_1711894	MYB
ILMN_1728684	PELP1
ILMN_1731349	HOXA13
ILMN_1663866	TGFBI
ILMN_1739645	ANLN
ILMN_1657862	AHCY
ILMN_1690170	CRABP2
ILMN_1777564	MAD2L1
ILMN_1769388	GJB2
ILMN_1691290	CELSR3
ILMN_1666305	CDKN3
ILMN_1686981	SULF2
ILMN_1785272	COL1A2
ILMN_1710644	MARVELD3
ILMN_1663575	STEAP1
ILMN_1806387	LOC340598
ILMN_1686116	THBS1
ILMN_1756326	CKS2
ILMN_1779147	ENC1
ILMN_1701289	MGC40489
