Agilent ID	ZF gene ID	Human Homolog	PROBE	Gene ID
A_15_P700666	nop16	NOP16	1424620_at	Nop16
A_15_P119265	gcsha	GCSH	1432164_a_at	Gcsh
A_15_P175071	eef1db	EEF1D	1449506_a_at	Eef1d
A_15_P753491	zgc:110388	MRTO4	1423823_at	Mrto4
A_15_P107156	zgc:63600	SRM	1421260_a_at	Srm
A_15_P659186	ahcy	AHCY	1417125_at	Ahcy
A_15_P116251	hsd17b10	HSD17B10	1438391_x_at	Hsd17b10
A_15_P632071	wdr43	WDR43	1428389_s_at	Wdr43
A_15_P196336	rcl1	RCL1	1416730_at	Rcl1
A_15_P118507	LOC100007768	MRPL52	1415761_at	Mrpl52
A_15_P623461	tfr1a	TFRC	1452661_at	Tfrc
A_15_P100609	zgc:162943	FAM162A	1451385_at	Fam162a
A_15_P752966	ctps	CTPS	1416563_at	Ctps
A_15_P132046	hspe1	HSPE1	1422579_at	Hspe1
A_15_P182626	zgc:92739	HRSP12	1428326_s_at	Hrsp12
A_15_P102147	mthfd1	MTHFD1	1415917_at	Mthfd1
A_15_P100934	zgc:92607	NDUFAB1	1447919_x_at	Ndufab1
A_15_P625811	snrpd1	SNRPD1	1416336_s_at	Snrpd1
A_15_P630908	naa10	NAA10	1417118_a_at	Naa10
A_15_P723351	psma5	PSMA5	1434356_a_at	Psma5
A_15_P146301	timm8b	TIMM8B	1431665_a_at	Timm8b
A_15_P150446	mrps24	MRPS24	1450865_s_at	Mrps24
A_15_P108633	rrp9	RRP9	1451293_at	Rrp9
A_15_P695231	mtap	MTAP	1451346_at	Mtap
A_15_P102768	ctsh	CTSH	1418365_at	Ctsh
A_15_P272456	dars	DARS	1423800_at	Dars
A_15_P115205	zgc:113385	MUTED	1448979_at	Muted
A_15_P404875	zgc:77820	NDUFB7	1416417_a_at	Ndufb7
A_15_P149316	gnsa	GNS	1433488_x_at	Gns
A_15_P365940	sfxn1	SFXN1	1417560_at	Sfxn1
A_15_P173441	mrps33	MRPS33	1427173_a_at	Mrps33
A_15_P170696	dcxr	DCXR	1419456_at	Dcxr
A_15_P740361	rbm8a	RBM8A	1418119_at	Rbm8a
A_15_P107229	LOC794625	USMG5	1448179_at	Usmg5
A_15_P287276	wbscr16	WBSCR16	1416622_at	Wbscr16
A_15_P676726	apip	APIP	1418254_at	Apip
A_15_P595537	si:dkey-261i16.3	MRPL36	1422819_at	Mrpl36
A_15_P121022	asns	ASNS	1433966_x_at	Asns
A_15_P648291	fcer1gl	FCER1G	1418340_at	Fcer1g
A_15_P656791	aars	AARS	1423685_at	Aars
A_15_P119046	etfdh	ETFDH	1451084_at	Etfdh
A_15_P148696	rabl3	RABL3	1418039_at	Rabl3
A_15_P629186	ndufs3	NDUFS3	1423737_at	Ndufs3
A_15_P320421	tars	TARS	1460323_at	Tars
A_15_P109595	efcab7	EFCAB7	1451349_at	Efcab7
A_15_P423075	eif6	EIF6	1427578_a_at	Eif6
A_15_P104771	id1	ID1	1425895_a_at	Id1
A_15_P194266	zgc:136330	NR2C2AP	1428534_at	Nr2c2ap
A_15_P588921	ncalda	NCALD	1417568_at	Ncald
A_15_P114130	cth	CTH	1426243_at	Cth
A_15_P131956	dap	DAP	1451112_s_at	Dap
A_15_P162261	depdc6	DEPDC6	1451348_at	Depdc6
A_15_P162966	dnajc11	DNAJC11	1433880_at	Dnajc11
A_15_P156607	rdh10a	RDH10	1426968_a_at	Rdh10
A_15_P151336	zgc:153060	METTL9	1438171_x_at	Mettl9
A_15_P113295	slc11a2	SLC11A2	1426441_at	Slc11a2
A_15_P109347	gdpd1	GDPD1	1424076_at	Gdpd1
A_15_P634301	naa20	NAA20	1418244_at	Naa20
A_15_P376385	get4	GET4	1451700_a_at	Get4
A_15_P119815	slc1a3a	SLC1A3	1426340_at	Slc1a3
A_15_P163921	auh	AUH	1447952_at	Auh
A_15_P270186	wu:fc14a10	ATF5	1425927_a_at	Atf5
A_15_P186606	zgc:92785	PSMF1	1451337_at	Psmf1
A_15_P145891	LOC565335	SLC25A15	1420966_at	Slc25a15
A_15_P405730	si:dkey-265m8.2	MRPS11	1460195_at	Mrps11
A_15_P158996	dmd	DMD	1448665_at	Dmd
A_15_P734221	adka	ADK	1416319_at	Adk
A_15_P624796	zgc:171558	RAPGEF4	1425518_at	Rapgef4
A_15_P100072	zgc:92445	COQ5	1417265_s_at	Coq5
A_15_P647731	nedd8l	NEDD8	1423715_a_at	Nedd8
A_15_P720916	adi1	ADI1	1449076_x_at	Adi1
A_15_P113506	anxa3b	ANXA3	1460330_at	Anxa3
A_15_P116476	aph1b	APH1A	1424979_at	Aph1a
A_15_P100444	fezf2	FEZF2	1418790_at	Fezf2
A_15_P628506	mgst2	MGST2	1452592_at	Mgst2
A_15_P106774	psmd10	PSMD10	1436559_a_at	Psmd10
A_15_P118793	pemt	PEMT	1450612_a_at	Pemt
A_15_P658211	chn1	CHN1	1420545_a_at	Chn1
A_15_P153496	flcn	FLCN	1438167_x_at	Flcn
A_15_P120073	metap1	METAP1	1426836_s_at	Metap1
A_15_P723266	sdhdb	SDHD	1437489_x_at	Sdhd
