Gene symbol	1 microM GRFT Q-PCR	1 microM GRFT microArrays	4 microM GRFT Q-PCR	4 microM GRFT microArrays	1 microM ConA Q-PCR	1 microM ConA microArrays
CASP14	1.72 +/- 0.24	1	1.95 +/- 0.41	1.75	4.49 +/- 0.63	5.17
DEFB103A	2.94 +/- 0.44	1.97	3.82 +/- 0.89	2.88	1.79 +/- 0.56	1.79
IGFN1	4.78 +/- 3.63	2.32	6.04 +/- 3.36	3.24	1.24 +/- 1.11	1
IL10	0.95 +/- 0.08	1	0.92 +/- 0.07	1	2.62 +/- 1.95	1
IL1B	0.89 +/- 0.18	1	0.69 +/- 0.11	0.77	0.29 +/- 0.04	0.47
IL-2	1.08 +/- 0.11	1	0.92 +/- 0.07	1	0.91 +/- 0.31	1
IL33	2.70 +/- 0.77	1.43	2.66 +/- 0.37	2.01	0.77 +/- 0.65	0.75
IL6	0.97 +/- 0.23	1	0.92 +/- 0.24	1	0.87 +/- 0.24	1.13
IL8	1.46 +/- 0.43	1	1.47 +/- 0.57	1	0.91 +/- 0.25	1
IP10	0.89 +/- 0.18	1	1.18 +/- 0.17	1	1.12 +/- 0.31	1
MYCN	1.08 +/- 0.11	12	7.04 +/- 4.95	1	10.32 +/- 2.05	1
TG	2.27 +/- 0.54	1	5.15 +/- 3.92	2.14	27.97 +/- 11.77	14.82
TGFA	0.91 +/- 0.24	1	0.96 +/- 0.30	1	0.55 +/-  0.19	0.56
TRIM63	2.34 +/- 0.08	1.97	4.21 +/- 0.68	3.04	4.42 +/- 0.43	5.99
