Fisher test	GO category level 4	Genesymbol
0.001583	Biosynthesis	SUI1
0.001583	Biosynthesis	IMPDH2
0.001583	Biosynthesis	RPL10
0.001583	Biosynthesis	RPL39L
0.001583	Biosynthesis	TARS
0.001583	Biosynthesis	GARS
0.001583	Biosynthesis	RPLP2
0.001583	Biosynthesis	RPL35A
0.001583	Biosynthesis	RPL27
0.001583	Biosynthesis	RPL32
0.001583	Biosynthesis	RPL9
0.001583	Biosynthesis	RPS27L
0.045575	Protein metabolism	RBBP6
0.045575	Protein metabolism	SUI1
0.045575	Protein metabolism	CCT3
0.045575	Protein metabolism	CCT5
0.045575	Protein metabolism	STK3
0.045575	Protein metabolism	FGG
0.045575	Protein metabolism	RPL10
0.045575	Protein metabolism	RPL39L
0.045575	Protein metabolism	TARS
0.045575	Protein metabolism	GARS
0.045575	Protein metabolism	RPLP2
0.045575	Protein metabolism	RPL35A
0.045575	Protein metabolism	NAP1L1
0.045575	Protein metabolism	RPL27
0.045575	Protein metabolism	HSPCA
0.045575	Protein metabolism	RPL32
0.045575	Protein metabolism	RPL9
0.045575	Protein metabolism	RPS27L
0.045575	Protein metabolism	KIAA1815
