Symbol	Assay ID	Gene name	Microarray (average RQ)	Family
BBC3	Hs00248075_m1	BCL2 binding component 3; p53 up-regulated modulator of apoptosis; PUMA	-2.38	Proapoptotic BCL-2 family genes
BNIP3L	Hs00188949_m1	BCL2/adenovirus E1B 19 kDa interacting protein 3 ligand	-2.82	Proapoptotic BCL-2 family genes
BIRC5	Hs00977611_g1	Baculoviral IAP repeat-containing 5	-18.84	IAP family genes
BIRC8	Hs01057786_s1	Baculoviral IAP repeat-containing 8	-2.39	IAP family genes
CASP1	Hs00354836_m1	Caspase 1, apoptosis-related cysteine peptidase	-2	Caspase and CARD Family
CASP10	Hs01017902_m1	Caspase 10, apoptosis-related cysteine peptidase	1.75	Caspase and CARD Family
CARD15	Hs00223394_m1	Caspase recruitment domain family member 15	-4.81	Caspase and CARD Family
FAS	Hs00236330_m1	TNF receptor superfamily, member 6; TNFRSF6	-2.59	TNF receptor family
TNFRSF21	Hs00205419_m1	Tumor necrosis factor receptor superfamily, member 21	-3.64	TNF receptor family
TNFRSF25	Hs00980365_g1	Tumor necrosis factor receptor superfamily, member 25	2.45	TNF receptor family
TNFSF10	Hs00234356_m1	Tumor necrosis factor (ligand) superfamily, member 10; TRAIL	1.91	TNF receptor family
DAPK1	Hs00234480_m1	Death associated protein kinase 1	3.71	Death domain family
