Symbol	Name	ProbeId	Embryo:Log2FC	Embryo:adj_p-value
Sox2	SRY-box containing gene 2	A_52_P307739	Embryo:5.63361700606682	Embryo:6.81307506715188e-07
Akap6	A kinase (PRKA) anchor protein 6	A_51_P224362	Embryo:5.63251204044176	Embryo:1.57119706788027e-05
Mmp9	matrix metallopeptidase 9	A_51_P401797	Embryo:5.45837137022865	Embryo:4.31701143677852e-07
C130071C03Rik	RIKEN cDNA C130071C03 gene	A_52_P215409	Embryo:5.36056153563155	Embryo:1.84378312350949e-06
Lhx8	LIM homeobox protein 8	A_51_P298615	Embryo:5.16303900344549	Embryo:9.48361987631117e-09
Srrm3	serine/arginine repetitive matrix 3	A_51_P463791	Embryo:5.12866293525429	Embryo:1.32461435338266e-08
Tex14	testis expressed gene 14	A_51_P502535	Embryo:5.12274543074397	Embryo:7.89595049706949e-12
1500010C09Rik	RIKEN cDNA 1500010C09 gene	A_51_P309208	Embryo:4.89461466130487	Embryo:2.19944821658528e-06
Celf3	VCUGBP, Elav-like family member 3	A_51_P106591	Embryo:4.77138497037479	Embryo:1.20492691565766e-06
Dct	dopachrome tautomerase	A_51_P116838	Embryo:4.70720588744004	Embryo:5.62750888875126e-06
Rbfox1	RNA binding protein, fox-1 homolog (C. elegans) 1	A_51_P508864	Embryo:4.69194128909813	Embryo:7.67376264561835e-08
9130024F11Rik	RIKEN cDNA 9130024F11 gene	A_51_P494293	Embryo:4.61636347455601	Embryo:4.47044141191825e-10
Zcchc12	zinc finger, CCHC domain containing 12	A_51_P366306	Embryo:4.61560126309543	Embryo:2.21766440573528e-05
Ptpro	protein tyrosine phosphatase, receptor type, O	A_51_P492707	Embryo:4.60731514414161	Embryo:0.000385574550697744
Bhlhe22	basic helix-loop-helix family, member e22	A_52_P400463	Embryo:4.49908327535357	Embryo:9.30616813771e-07
Slc17a6	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6	A_51_P174996	Embryo:4.47516109775466	Embryo:1.89521005781194e-07
Sel1l3	sel-1 suppressor of lin-12-like 3 (C. elegans)	A_51_P291078	Embryo:4.29195074566682	Embryo:0.000612070616902588
Pou3f1	POU domain, class 3, transcription factor 1	A_51_P511270	Embryo:4.14544789890473	Embryo:6.63514827038122e-11
Clstn2	calsyntenin 2	A_52_P424784	Embryo:4.10925692660311	Embryo:2.74757796139989e-05
Fam84a	family with sequence similarity 84, member A	A_51_P423709	Embryo:4.09080507582263	Embryo:0.000257389710387554
