Regulated	Gene	Gene	Function	Fold change
 Up	Cas-Br-M (murine) ecotropic retroviral transforming sequence	CBL	Oncogene that induces mouse pre–B- and pro–B-cell lymphomas	3.4
 Up	Nucleoporin 160 kilodaltons	NUP160	Mediates nucleoplasmic transport	3
 Up	Tumor protein, translationally controlled 1	TPT1	Calcium binding and microtubule stabilization	2.5
 Up	Golgi autoantigen, golgin subfamily a, 2	GOLGA2	Golgi auto-antigen involved in maintaining cis-golgi structure	3.2
 Up	Platelet-derived growth factor receptor, beta polypeptide	PDGFRB	Mitogen for cells of mesenchymal origin	3.5
 Up	Exostoses 1	EXT1	Involved in the chain elongation step of heparan sulfate biosynthesis	2.8
 Up	CUG triplet repeat, RNA binding protein 1	CUGBP1	Regulation of pre-mRNA alternative splicing and mRNA editing and translation	5.2
 Up	Peroxisomal biogenesis factor 5	PEX5	Essential role in peroxisomal protein import	3.4
 Up	Protein kinase D3	PRKD3	Activated by the agonists of G-protein–coupled receptors and after B-cell antigen receptor (BCR) engagement	3.9
 Down	Inositol polyphosphate-5-phosphatase F	INPP5F	Inositol 1,4,5-trisphosphate (InsP3) 5-phosphatase	0.3
 Down	Core-binding factor, runt domain, alpha subunit 2; translocated to 3	CBFA2T3	Putative breast tumor suppressor	0.3
 Down	Tuberoinfundibular 39 residue protein precursor	TIP39	Related to parathyroid hormone and is a ligand for PTH receptor-2	0.2
 Down	Proteinase 3 (serine proteinase, neutrophil, Wegener granulomatosis autoantigen)	PRTN3	Degrades elastin, fibronectin, laminin, vitronectin, and collagen types i, iii, and iv	0.3
 Down	DNA excision repair protein ERCC-8 (Cockayne syndrome WD repeat protein CSA)	LOC713594	WD repeat protein, which interacts with Cockayne syndrome type B (CSB) protein and with p44 protein; mutations result in abnormal sensitivity to ultraviolet radiation and are defective in the repair of transcriptionally active genes	0.2
 Down	Triggering receptor expressed on myeloid cells 1	TREM1	Ig superfamily receptor for stimulation of monocyte/macrophage- and neutrophil-mediated inflammatory responses	0.3
