Pathway	Signifcance	Gene	Fold change	Description	Category 1
Integrin signaling	0.0286	ITGA2	9.2	Integrin,  2 (CD49B,  2-subunit of VLA-2 receptor)	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	ARHGEF7	2.04	Rho guanine nucleotide exchange factor (GEF) 7	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	ITGB3	1.97	Integrin,  3 (Cd61)	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	ABL1	1.79	v-abl Abelson murine leukemia viral oncogene homolog 1	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	TM4SF6	1.74	Transmembrane four superfamily member six	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	ARHE	1.71	Ras homolog gene family, member E	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	ITGB5	1.7	Integrin,  5	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	ITGA1	1.69	Integrin,  1	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	FYN	1.6	Fyn proto-oncogene	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	PTEN	1.59	Phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	MAP2K4	1.51	Mitogen activated protein kinase kinase 4	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	ACTB	-1.5	Actin,  	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	FN1	-1.59	Fibronectin 1	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	TLN1	-1.64	Talin	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	PARVB	-1.67	Parvin,  	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	ACTN1	-1.69	Actinin,  1	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	ITGA6	-1.71	Integrin,  6	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	LAMC1	-1.91	Laminin,  1	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	C0L1A2	-1.97	Procollagen, type I,  2	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	MYLK	-2.08	Myosin, light polypeptide kinase	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	CAV1	-2.09	Caveolin 1, caveolae protein, 22 kDa	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	ACTN4	-2.14	Actinin,  4	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	ACTA1	-2.39	Actin,  1, skeletal muscle	Pathways with signifcantly up- and down-regulated genes
Integrin signaling	0.0286	ACTA2	-4.06	Actin,  2, smooth muscle, aorta	Pathways with signifcantly up- and down-regulated genes
p38 MAPK signaling	0.0373	PLA2G4A	15.12	Phosphohpase A2, group IVA (cytosolic, calcium-dependent)	Pathways with signiWcantly up-regulated genes
p38 MAPK signaling	0.0373	IL1B	11.17	Interleukin 1,  	Pathways with signiWcantly up-regulated genes
p38 MAPK signaling	0.0373	MAP3K5	6.58	Mitogen-activated protein kinase kinase kinase 5	Pathways with signiWcantly up-regulated genes
p38 MAPK signaling	0.0373	IL1R1	4.37	Interleukin 1 receptor, type I	Pathways with signiWcantly up-regulated genes
p38 MAPK signaling	0.0373	CREB1	1.89	cAMP responsive element binding protein 1	Pathways with signiWcantly up-regulated genes
p38 MAPK signaling	0.0373	MAPKAPK	1.83	MAP kinase-activated protein kinase 2	Pathways with signiWcantly up-regulated genes
p38 MAPK signaling	0.0373	DUSP1	1.77	Dual speciWcity phosphatase 1	Pathways with signiWcantly up-regulated genes
p38 MAPK signaling	0.0373	MEF2A	1.52	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	Pathways with signiWcantly up-regulated genes
p38 MAPK signaling	0.0373	MAP2K4	1.51	Mitogen activated protein kinase kinase 4	Pathways with signiWcantly up-regulated genes
Alanine and aspartate metabolism	0.00318	ASNS	-5.24	Asparagine synthetase	Pathways with signiWcantly down-regulated genes
