Fold Change	unadjusted p-value	ID	Symbol	Gene Description	Location	Type(s)
1.624	3.99E-03	AA521292	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	Plasma Membrane	transporter
-1.287	3.77E-02	R25823	ACAT2	acetyl-Coenzyme A acetyltransferase 2	Cytoplasm	enzyme
-1.526	4.01E-02	AA634006	ACTA2	actin, alpha 2, smooth muscle, aorta	Cytoplasm	other
-1.23	9.56E-03	AA279133	ADRBK2	adrenergic, beta, receptor kinase 2	Cytoplasm	kinase
-1.172	4.26E-02	AA456400	ADSL	adenylosuccinate lyase	Cytoplasm	enzyme
1.66	1.79E-02	AA070203	ADSS	adenylosuccinate synthase	Cytoplasm	enzyme
-1.455	3.21E-02	AI337422	AIM1 (includes EG:202)	absent in melanoma 1	Unknown	other
-1.265	1.51E-02	AA454947	AKAP1	A kinase (PRKA) anchor protein 1	Cytoplasm	other
1.241	2.62E-03	W00867	AKAP11	A kinase (PRKA) anchor protein 11	Cytoplasm	other
1.301	1.08E-02	AI650647	AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	Cytoplasm	other
-1.174	4.60E-02	AA425769	ALG5	asparagine-linked glycosylation 5, dolichyl-phosphate beta-glucosyltransferase homolog (S. cerevisiae)	Cytoplasm	enzyme
-1.335	4.87E-02	T49652	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	Plasma Membrane	other
-1.191	4.72E-02	AA431408	ANAPC13	anaphase promoting complex subunit 13	Unknown	other
1.287	1.03E-02	R33031	AP3S2	adaptor-related protein complex 3, sigma 2 subunit	Cytoplasm	transporter
-1.325	4.46E-02	AA598510	APRT	adenine phosphoribosyltransferase	Cytoplasm	enzyme
-1.814	3.55E-03	AA099160	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha	Cytoplasm	other
-1.341	4.67E-02	AI290660	ARID1A	AT rich interactive domain 1A (SWI-like)	Nucleus	transcription regulator
1.854	1.22E-02	AI268687	ARID4B	AT rich interactive domain 4B (RBP1-like)	Nucleus	other
-1.377	1.09E-02	AA600217	ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	Nucleus	transcription regulator
-1.325	1.31E-03	W45531	ATF7	activating transcription factor 7	Nucleus	transcription regulator
-1.293	3.02E-02	AA775957	ATP1A3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	Plasma Membrane	transporter
1.337	4.38E-02	W57930	ATP7A	ATPase, Cu++ transporting, alpha polypeptide	Plasma Membrane	transporter
1.336	1.16E-02	AA971635	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	Nucleus	transcription regulator
-1.303	8.58E-03	AA708508	AVPI1	arginine vasopressin-induced 1	Unknown	other
1.439	1.94E-02	AA678295	BARD1	BRCA1 associated RING domain 1	Nucleus	transcription regulator
-1.197	2.74E-02	AI565203	BAX	BCL2-associated X protein	Cytoplasm	other
1.314	9.02E-04	AA608519	BAZ1A	bromodomain adjacent to zinc finger domain, 1A	Nucleus	other
-1.422	1.83E-02	AA625628	BCAP31	B-cell receptor-associated protein 31	Cytoplasm	transporter
1.345	4.12E-02	N48319	BCAR3	breast cancer anti-estrogen resistance 3	Cytoplasm	other
-1.208	3.87E-02	AA194043	BDKRB2	bradykinin receptor B2	Plasma Membrane	G-protein coupled receptor
-1.814	1.47E-02	AA936138	BID	BH3 interacting domain death agonist	Cytoplasm	other
-1.25	4.98E-03	N20237	BMP2K (includes EG:55589)	BMP2 inducible kinase	Nucleus	kinase
