Probeset_ID	Distance	Symbol	Description
207533_at	0	CCL1	chemokine (C-C motif) ligand 1
223482_at	3.796728988	TMEM120A	transmembrane protein 120A
235175_at	3.808611111	GBP4	guanylate binding protein 4
235574_at	4.019583202	GBP4	guanylate binding protein 4
202794_at	5.036576295	INPP1	inositol polyphosphate-1-phosphatase
204533_at	5.258822948	CXCL10	chemokine (C-X-C motif) ligand 10
235276_at	5.550135332	EPSTI1	epithelial stromal interaction 1 (breast)
219753_at	5.734424905	STAG3	stromal antigen 3
232504_at	5.758020912	LOC285628	hypothetical protein LOC285628
213293_s_at	5.787027	TRIM22	tripartite motif-containing 22
220944_at	5.789437594	PGLYRP4	peptidoglycan recognition protein 4
202316_x_at	5.834767477	UBE4B	ubiquitination factor E4B (UFD2 homolog, yeast)
204747_at	5.884587479	IFIT3	interferon-induced protein with tetratricopeptide repeats 3
1555464_at	5.912845785	IFIH1	interferon induced with helicase C domain 1
224131_at	5.928660996	GPR81	G protein-coupled receptor 81
239979_at	5.944710309	NA	NA
215533_s_at	5.985738072	UBE4B	ubiquitination factor E4B (UFD2 homolog, yeast)
202449_s_at	6.033187553	RXRA	retinoid X receptor, alpha
243541_at	6.107514114	IL31RA	interleukin 31 receptor A
204698_at	6.165916275	ISG20	interferon stimulated exonuclease gene 20kDa
33304_at	6.203024575	ISG20	interferon stimulated exonuclease gene 20kDa
203915_at	6.211596101	CXCL9	chemokine (C-X-C motif) ligand 9
216252_x_at	6.216044744	FAS	Fas (TNF receptor superfamily, member 6)
226603_at	6.261919201	SAMD9L	sterile alpha motif domain containing 9-like
219386_s_at	6.26577456	SLAMF8	SLAM family member 8
211317_s_at	6.282223437	CFLAR	CASP8 and FADD-like apoptosis regulator
203470_s_at	6.299289063	PLEK	pleckstrin
204780_s_at	6.304754626	FAS	Fas (TNF receptor superfamily, member 6)
235735_at	6.332680167	NA	NA
215719_x_at	6.369973716	FAS	Fas (TNF receptor superfamily, member 6)
35254_at	6.42477789	TRAFD1	TRAF-type zinc finger domain containing 1
228617_at	6.425845928	XAF1	XIAP associated factor 1
218400_at	6.434379648	OAS3	2-5-oligoadenylate synthetase 3, 100kDa
218943_s_at	6.434757272	DDX58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58
210439_at	6.470147025	ICOS	inducible T-cell co-stimulator
206133_at	6.480703673	XAF1	XIAP associated factor 1
223767_at	6.539037605	GPR84	G protein-coupled receptor 84
241819_at	6.553837255	TNFSF8	tumor necrosis factor (ligand) superfamily, member 8
211862_x_at	6.565321334	CFLAR	CASP8 and FADD-like apoptosis regulator
210685_s_at	6.573244994	UBE4B	ubiquitination factor E4B (UFD2 homolog, yeast)
203471_s_at	6.587732095	PLEK	pleckstrin
205220_at	6.588612589	NIACR2	niacin receptor 2
204781_s_at	6.594236796	FAS	Fas (TNF receptor superfamily, member 6)
229872_s_at	6.60220775	LOC100132999	hypothetical protein LOC100132999
215501_s_at	6.622777535	DUSP10	dual specificity phosphatase 10
210564_x_at	6.636572258	CFLAR	CASP8 and FADD-like apoptosis regulator
