miRBase	Control	NSCLC	Fold change	p-value
hsa-miR-20a	30.36 +/- 5.53	606.44 +/- 94.67	2.00E+01	8.89E-06
hsa-miR-24	41.32 +/- 6.83	398.56 +/- 61.86	9.65	2.47E-05
hsa-miR-25	31.49 +/- 5.76	553.42 +/- 117.95	17.57	1.10E-03
hsa-miR-145	21.86 +/- 3.46	200.79 +/- 22.06	9.18	5.41E-09
hsa-miR-152	43.57 +/- 9.04	732.23 +/- 123.55	16.81	4.53E-05
hsa-miR-199a-5p	22.99 +/- 5.21	505.76 +/- 96.89	22	2.50E-04
hsa-miR-221	22.05 +/- 6.79	117.41 +/- 26.8	5.33	9.30E-03
hsa-miR-222	38.76 +/- 7.05	1027.9 +/- 75.72	26.52	1.45E-19
hsa-miR-223	56.19 +/- 18.67	700.49 +/- 103.95	12.47	6.68E-06
hsa-miR-320	69.9 +/- 18.82	1106.6 +/- 112.51	15.83	4.90E-11
