Gene Name	Expression
CD79 antigen (immunoglobulin-associated alpha)	Over-Expressed
B-cell translocation gene 2 (pheochromacytoma cell-3)	Over-Expressed
jun D proto-oncogene	Over-Expressed
CD69 antigen (p60, early T-cell activation antigen)	Over-Expressed
PR domain containing 2, with ZNF domain	Over-Expressed
Human signal transducer and activator of transcription Stat5B mRNA, complete cds	Over-Expressed
major histocompatibility complex, class II, DM alpha	Over-Expressed
EST	Over-Expressed
major histocompatibility complex, class II, DR beta 5	Over-Expressed
major histocompatibility complex, class II, DP beta 1	Over-Expressed
major histocompatibility complex, class II, DQ beta 1	Over-Expressed
Human HLA-DR alpha-chain mRNA	Over-Expressed
H3 histone, family 3B (H3.3B)	Over-Expressed
EST	Over-Expressed
zinc finger protein homologue to Zfp-36 in mouse	Over-Expressed
chemokine (C-X-C motif), receptor 4 (fusin)	Over-Expressed
v-ski avian sarcoma viral oncogene homolog	Over-Expressed
major histocompatibility complex, class II, DQ alpha 1	Over-Expressed
phosphodiesterase 4B, cAMP-specific (dunce (Drosophila) -homolog phosphodiesterase E4)	Over-Expressed
v-yes-1 Yamaguchi sarcoma viral oncogene homolog	Over-Expressed
Homo sapiens mRNA; cDNA DFKZp564C2063 (from clone DKFZp564C2063	Over-Expressed
core promoter element binding protein	Over-Expressed
