Probe Set	Gene Symbol	r to LRP1	P  value	beta
201792_at	AEBP1	0.73	0.029	-0.168
201058_s_at	MYL9	0.72	0.017	-0.188
202995_s_at	FBLN1	0.71	0.0096	-0.209
201069_at	MMP2	0.71	0.083	-0.165
204163_at	EMILIN1	0.71	0.62	-0.031
205547_s_at	TAGLN	0.7	0.37	-0.078
204570_at	COX7A1	0.69	0.2	-0.113
200986_at	SERPING1	0.68	0.28	-0.114
209335_at	DCN	0.68	0.014	-0.197
206101_at	ECM2	0.67	0.0029	-0.289
203131_at	PDGFRA	0.67	0.25	-0.123
202555_s_at	MYLK	0.67	0.023	-0.174
212419_at	ZCCHC24	0.67	0.0081	-0.371
201621_at	NBL1	0.66	0.062	-0.172
213891_s_at	TCF4	0.65	0.034	-0.244
203570_at	LOXL1	0.65	0.099	-0.109
201262_s_at	BGN	0.65	0.1	-0.117
212667_at	SPARC	0.65	0.15	-0.152
204682_at	LTBP2	0.65	0.026	-0.235
213290_at	COL6A2	0.65	0.22	-0.191
213543_at	SGCD	0.64	0.0007	-0.21
200974_at	ACTA2	0.64	0.39	-0.092
209356_x_at	EFEMP2	0.64	0.94	0.01
201719_s_at	EPB41L2	0.64	0.36	-0.127
221814_at	GPR124	0.64	0.6	-0.06
208782_at	FSTL1	0.63	0.48	-0.085
201438_at	COL6A3	0.63	0.6	-0.054
207173_x_at	CDH11	0.63	0.045	-0.162
212713_at	MFAP4	0.63	0.0025	-0.202
205422_s_at	ITGBL1	0.63	0.0008	-0.212
202766_s_at	FBN1	0.63	0.051	-0.177
212488_at	COL5A1	0.63	0.83	0.017
212764_at	ZEB1	0.62	0.22	-0.134
207191_s_at	ISLR	0.62	0.18	-0.097
203886_s_at	FBLN2	0.62	0.14	-0.118
219778_at	ZFPM2	0.62	0.19	-0.128
203547_at	CD4	0.62	0.16	-0.171
202191_s_at	GAS7	0.62	0.045	-0.341
214247_s_at	DKK3	0.62	0.0043	-0.242
209651_at	TGFB1I1	0.61	0.4	-0.094
204894_s_at	AOC3	0.61	0.02	-0.19
209687_at	CXCL12	0.61	0.084	-0.131
212067_s_at	C1R	0.61	0.87	-0.016
209496_at	RARRES2	0.61	0.64	-0.034
213993_at	SPON1	0.61	0.083	-0.143
209708_at	MOXD1	0.61	0.0057	-0.247
212915_at	PDZRN3	0.61	0.07	-0.135
219179_at	DACT1	0.61	0.95	-0.006
204223_at	PRELP	0.61	0.0026	-0.254
212077_at	CALD1	0.6	0.32	-0.109
212822_at	HEG1	0.6	0.0024	-0.547
206201_s_at	MEOX2	0.6	0.046	-0.144
212464_s_at	FN1	0.6	0.59	-0.075
203603_s_at	ZEB2	0.6	0.076	-0.156
215706_x_at	ZYX	0.6	0.97	-0.006
201162_at	IGFBP7	0.6	0.65	-0.057
214438_at	HLX	0.59	0.28	-0.204
200897_s_at	PALLD	0.59	0.27	-0.123
203766_s_at	LMOD1	0.59	0.024	-0.271
209101_at	CTGF	0.59	0.076	-0.16
204436_at	PLEKHO2	0.59	0.51	-0.095
219315_s_at	TMEM204	0.59	0.036	-0.243
201278_at	DAB2	0.59	0.19	-0.139
202664_at	WIPF1	0.59	0.23	-0.124
203688_at	PKD2	0.59	0.0021	-0.36
221447_s_at	GLT8D2	0.59	0.1	-0.203
201744_s_at	LUM	0.59	0.047	-0.203
221011_s_at	LBH	0.59	0.013	-0.26
208789_at	PTRF	0.59	0.88	-0.017
202202_s_at	LAMA4	0.59	0.65	-0.044
217897_at	FXYD6	0.59	0.17	-0.137
220327_at	VGLL3	0.58	0.032	-0.177
209280_at	MRC2	0.58	0.69	0.057
220244_at	LOH3CR2A	0.58	0.53	-0.105
209348_s_at	MAF	0.58	0.5	-0.071
210139_s_at	PMP22	0.58	0.61	-0.097
202686_s_at	AXL	0.58	0.59	-0.08
202947_s_at	GYPC	0.58	0.071	-0.226
205116_at	LAMA2	0.58	0.0071	-0.305
219165_at	PDLIM2	0.58	0.046	-0.212
202450_s_at	CTSK	0.58	0.14	-0.117
44790_s_at	PPP1R2P4	0.58	0.067	-0.178
208851_s_at	THY1	0.58	0.24	-0.155
217853_at	TNS3	0.58	0.65	-0.063
209473_at	ENTPD1	0.58	0.013	-0.412
205312_at	SPI1	0.57	0.045	-0.163
213241_at	PLXNC1	0.57	0.0093	-0.243
217757_at	A2M	0.57	0.0034	-0.297
201508_at	IGFBP4	0.57	0.08	-0.153
203473_at	SLCO2B1	0.57	0.2	-0.118
213001_at	ANGPTL2	0.57	0.88	-0.016
203370_s_at	PDLIM7	0.57	0.89	0.014
221900_at	COL8A2	0.57	0.0013	-0.214
205407_at	RECK	0.57	0.034	-0.349
221541_at	CRISPLD2	0.56	0.48	-0.063
202465_at	PCOLCE	0.56	0.73	-0.038
210605_s_at	MFGE8	0.56	0.02	-0.302
203940_s_at	VASH1	0.56	0.46	-0.112
204150_at	STAB1	0.56	0.95	0.006
201150_s_at	TIMP3	0.56	0.0057	-0.237
203083_at	THBS2	0.54	0.85	-0.014
