Genes	Correlation with CD133	P value	Expression level in upper quartile of CD133
IL-13	20.05	0.52	2.18
IL-13R-alpha1	20.18	0.03	9.63
IL-13R-alpha2	0.11	0.18	8.88
IL-4	0.02	0.79	2.19
IL-4R-alpha	20.4	0	4.75
TLR2	20.15	0.08	7.36
CD14	20.07	0.38	10.68
GATA3	20.2	0.02	2.52
STAT6	20.25	0	6.24
FCER1-alpha	20.16	0.05	2.44
FCER1-gamma	20.08	0.32	10.21
FCER2	20.2	0.01	2.11
IL-17-alpha	20.21	0.01	2.4
IL-17-beta	0.22	0.01	2.35
IL-17R-alpha	0.28	0	7.62
IL-17R-beta	0.19	0.02	8.06
STAT3	0.09	0.29	11.39
IL-6	20.12	0.14	5.64
IL-6R	20.25	0	5.17
IL-6ST	20.13	0.13	12.67
JAK1	20.09	0.3	10.85
JAK2	20.08	0.37	5.6
JAK3	20.14	0.1	2.23
STAT1	20.04	0.64	11.66
STAT2	20.09	0.28	2.34
STAT5-alpha	20.24	0	4.24
STAT5-betta	0.13	0.12	8.02
TGF-beta1	20.35	0	6.94
TGF-beta2	0.03	0.71	7.36
TGF-beta3	20.32	0	5.42
TGF-betaR1	20.17	0.04	2.39
TGF-betaR2	20.39	0	8.39
IL-10	20.23	0.01	2.45
IL-10R-alpha	20.2	0.02	6.89
IL-10R-beta	20.17	0.04	8.23
FoxP3	0	0.99	2.21
CTLA-4	20.07	0.44	1.98
CCL2	20.12	0.17	10.07
CCR4	20.13	0.13	1.9
IFN-gamma	0.13	0.14	2.2
IFN-gammaR1	20.1	0.26	11.26
IFN-gammaR2	20.15	0.08	10.09
IL-12-alpha	20.09	0.29	2.36
IL-12-beta	20.06	0.45	2.38
IL-12R-beta1	20.13	0.13	2.19
IL-12R-beta2	20.09	0.31	2.15
STAT4	20.25	0	2.3
