Gene name	FC	P-value	FDR %	ACCN	Description
AOX1	6.94	0	0.01	NM_001159	Aldehyde oxidase 1
FGB	6.22	0.52	3.66	NM_005141	Fibrinogen beta chain
DPP4	3.92	0.52	1.56	NM_001935	Dipeptidyl-peptidase 4
SLC1A1	3.87	0.52	2.23	NM_004170	Solute carrier family 1 member 1
ENST00000381298	3.77	0	0	ENST00000381298	Interleukin-6 receptor subunit beta precursor (IL-6R-beta) (interleukin-6 signal transducer) (membrane glycoprotein 130) (gp130) (oncostatin-M receptor alpha subunit) (CD130 antigen) (CDw130).
HAPLN1	3.71	0	0	NM_001884	Hyaluronan and proteoglycan link protein 1
PTPRR	3.61	0	0	NM_002849	Protein tyrosine phosphatase, receptor type, R transcript variant 1
GLT1D1	3.42	0.52	1.21	NM_144669	Glycosyltransferase 1 domain containing 1
RARRES1	3.2	0	0.15	NM_002888	Retinoic acid receptor responder transcript variant 2
HABP2	3.02	0.52	2.58	NM_004132	Hyaluronan-binding protein 2
IMPA2	2.86	0	0	NM_014214	Inositol(myo)-1(or 4)-monophosphatase 2
MFAP4	2.86	0.52	3.09	NM_002404	Microfibrillar-associated protein 4
SNX10	2.83	0.52	0.87	NM_013322	Sorting nexin 10
FCGR3A	2.83	0	0.06	NM_000569	Fc fragment of IgG, low affinity IIIa, receptor
TLE2	2.73	0	0	NM_003260	Transducin-like enhancer of split 2
PRL	2.68	0	0.26	NM_000948	Prolactin
LCP1	2.64	0	0.9	NM_002298	Lymphocyte cytosolic protein 1
TGM2	2.53	0	0.27	NM_198951	Transglutaminase 2 transcript variant 2
RND3	2.53	0	0	NM_005168	Rho family GTPase 3
LOC387763	2.53	0.52	3.55	ENST00000339446	Hypothetical LOC387763, partial cds.
LAMA4	2.52	0	0	NM_002290	Laminin, alpha 4
ENST00000383706	2.51	0.52	1.31	ENST00000383706	ADAMTS-9 precursor (EC 3.4.24.-) (A disintegrin and metalloproteinase with thrombospondin motifs 9) (ADAM-TS 9) (ADAM-TS9).
MLPH	2.51	0	0	NM_024101	Melanophilin transcript variant 1
ALOX15B	2.48	0	0	NM_001141	Arachidonate 15-lipoxygenase, type B transcript variant d
LBP	2.47	0.52	3.13	NM_004139	Lipopolysaccharide binding protein
LUM	2.46	0.52	2.28	NM_002345	Lumican
DHRS3	2.44	0.52	4.57	NM_004753	Dehydrogenase/reductase
GATA6	2.44	0.52	1.93	NM_005257	GATA-binding protein 6
CHST11	2.44	0	0.86	NM_018413	Carbohydrate
HTR2A	2.43	0.52	3.13	NM_000621	5-hydroxytryptamine
MLLT11	2.4	0.52	4.01	NM_006818	Myeloid/lymphoid or mixed-lineage leukemia
RP1-93H18.5	2.36	0	0	NM_001010919	Hypothetical protein LOC441168
XCL1	2.35	0	0	NM_002995	Chemokine
GLIPR1	2.33	0.52	0.52	NM_006851	GLI pathogenesis-related 1
ENPEP	2.31	0.52	4.17	NM_001977	Glutamyl aminopeptidase
FILIP1L	2.3	0	0	NM_182909	Filamin A interacting protein 1-like transcript variant 1
SERPING1	2.3	0	0.37	NM_000062	Serpin peptidase inhibitor, clade G member 1, transcript variant 1
DEPDC1B	2.26	0.52	1.68	NM_018369	DEP-domain containing 1B
MMRN1	2.26	0.81	4.95	NM_007351	Multimerin 1
KLRC3	2.24	0.52	3.36	NM_007333	Killer cell lectin-like receptor subfamily C, member 3 transcript variant 2
ENST00000370395	2.24	0.52	1.87	ENST00000370395	CSL-type zinc finger-containing protein 1
HCLS1	2.23	0.52	0.97	NM_005335	Hematopoietic cell-specific Lyn substrate 1
ITGB2	2.22	0	0.4	NM_000211	Integrin, beta 2
