Gene Symbol	Probeset ID	p-value	Fold-Change
NPTX2	213479_at	1.65E-06	106.478
CRABP1	205350_at	2.80E-18	45.8411
COL15A1	203477_at	5.33E-07	32.3036
BGN	213905_x_at	3.15E-13	32.171
BMP2	205290_s_at	8.64E-05	31.0729
SCARA5	229839_at	1.76E-07	26.2514
CA12	203963_at	4.93E-05	23.7163
LRRC17	205381_at	4.94E-12	22.8333
RGS5	209071_s_at	1.94E-09	21.7348
KIAA1199	212942_s_at	0.000239442	21.0912
RGS5	218353_at	3.65E-09	19.3665
IGFBP5	211959_at	1.24E-05	19.2737
BMP2	205289_at	4.49E-05	18.7749
RGS5	209070_s_at	1.56E-09	18.2659
CA12	204508_s_at	1.11E-05	17.3102
BGN	201261_x_at	2.84E-12	16.7535
LOC100130725 /// PAGE2 /// PAGE2B	231307_at	1.69E-10	16.676
SLC7A11	209921_at	2.76E-10	16.0988
SLC7A11	217678_at	1.25E-10	16.0668
SPARCL1	200795_at	4.31E-08	15.6751
SCARA5	235849_at	1.78E-07	15.5775
CA12	215867_x_at	2.08E-05	14.3666
EDN3	208399_s_at	1.31E-07	13.8131
CXCL11	211122_s_at	0.000379072	13.7396
	1569100_a_at	0.000480476	13.6045
RGS5	1555725_a_at	2.92E-08	13.153
CA12	210735_s_at	8.80E-06	11.512
ADRA2A	209869_at	1.55E-08	10.8406
SOX2	228038_at	0.000450492	10.8292
CA12	214164_x_at	1.44E-05	10.6931
NPPC	221348_at	1.25E-13	10.2942
APOD	201525_at	0.000359345	10.0619
MTSS1	203037_s_at	0.000365645	9.97005
BGN	201262_s_at	3.48E-08	9.79951
TCHH	213780_at	1.55E-11	9.53852
	232752_at	2.33E-12	9.45806
ASS1	207076_s_at	4.92E-06	9.42567
CHST1	205567_at	0.00011602	9.39794
MRC2	37408_at	4.20E-06	8.97135
ASNS	205047_s_at	1.65E-05	8.76501
SLC7A11	207528_s_at	2.79E-19	8.44935
HS3ST3A1	219985_at	1.47E-09	8.17801
LPL	203548_s_at	7.88E-06	8.13141
DEPDC6	218858_at	1.20E-05	8.07835
PCSK2	204870_s_at	2.77E-14	7.93167
VLDLR	209822_s_at	4.58E-07	7.78804
GPC4	204984_at	3.21E-05	7.5985
WNT5A	205990_s_at	7.01E-06	7.50319
FREM2	230964_at	0.000320555	6.95953
TCN1	205513_at	5.65E-05	6.74166
LAMP3	205569_at	0.000112745	6.68302
GRIA4	238663_x_at	4.11E-11	6.51265
TMEM158	213338_at	1.33E-07	6.41974
GPC4	204983_s_at	6.55E-05	6.36513
CHAC1	219270_at	1.01E-05	6.35733
GJB1	204973_at	0.000189928	6.35603
VCAM1	203868_s_at	4.21E-05	6.20031
GPR64	206002_at	0.000104922	6.12025
CBS	212816_s_at	0.000970336	6.07905
COX7B2	231265_at	2.45E-09	6.05025
VSNL1	203798_s_at	1.52E-15	5.87053
	215126_at	1.26E-05	5.83359
CX3CL1	823_at	2.95E-05	5.69091
EGR3	206115_at	1.89E-05	5.59906
HEY1	44783_s_at	5.45E-05	5.46058
CBS	1553972_a_at	0.000986714	5.33889
LOC100132832 /// LOC441259 /// LOC730324 /// PMS2 /// PMS2L1 /// PMS2L12 /// PMS2L2 /// PMS2L3 /// PMS2L5	216039_at	1.80E-07	5.31976
VSNL1	203797_at	2.00E-11	5.3092
LPL	203549_s_at	6.04E-05	5.28982
MAN1C1	218918_at	1.77E-05	5.24988
ALDH1L2	231202_at	6.54E-05	5.22458
TRIB3	1555788_a_at	0.000104986	5.22177
HEY1	218839_at	0.000103549	5.15514
PNMA2	209598_at	4.48E-05	5.10997
MS4A7	223343_at	0.000211604	5.04808
	240173_at	2.46E-05	5.03597
GABRA2	207014_at	6.46E-07	5.00689
MOCOS	219959_at	7.02E-05	4.89842
PPM1E	236302_at	2.83E-06	4.83012
EGR1	227404_s_at	2.35E-05	4.74731
PCSK2	204869_at	1.21E-12	4.72576
	232687_at	0.000847444	4.71599
ACPP	204393_s_at	5.73E-09	4.63597
MTHFD2	201761_at	6.20E-08	4.54053
HS6ST2	230030_at	2.87E-05	4.49747
NR0B1	206645_s_at	0.000252474	4.45446
CTH	217127_at	6.81E-06	4.45037
TRIB3	218145_at	0.000572042	4.38086
METTL7B	227055_at	0.000162142	4.38041
EGR1	201694_s_at	1.85E-05	4.35354
KLF4	221841_s_at	0.000589009	4.31267
HS6ST2	1552767_a_at	2.62E-05	4.27951
WNT5A	213425_at	1.39E-06	4.27644
ANKRD44	235777_at	1.79E-07	4.24499
	238378_at	4.21E-06	4.23282
CHST6	223786_at	6.86E-05	4.20593
HHEX	215933_s_at	1.18E-05	4.18768
LRP11	225060_at	0.00010651	4.15287
DNM1	215116_s_at	3.00E-06	4.13605
PCK2	202847_at	5.77E-07	4.13365
PAQR5	242871_at	8.30E-12	4.13362
DNAJC12	218976_at	0.000494251	4.12236
FGFBP3	238453_at	0.00102203	4.09669
SSX2	210497_x_at	2.51E-08	4.08945
NTSR1	207360_s_at	1.96E-15	4.08478
GDPD1	238681_at	5.53E-05	4.05058
CLIC6	227742_at	0.000420737	4.02502
CD70	206508_at	1.35E-10	4.00606
PNKD	233177_s_at	8.40E-05	3.99154
MYL10	221659_s_at	1.98E-11	3.96399
SSX1	206626_x_at	6.54E-05	3.9609
CD1D	205789_at	0.000176218	3.90884
PDLIM4	218691_s_at	0.000196555	3.87831
FBLN2	203886_s_at	5.46E-05	3.87721
PTPRO	1554199_at	2.72E-07	3.84309
B3GNT5	225612_s_at	0.000244399	3.83871
UTS2D	243175_at	1.00E-05	3.83631
MYH14	226988_s_at	0.000145309	3.82185
ACSS2	234312_s_at	7.31E-06	3.81995
SMAGP	209679_s_at	5.85E-05	3.77739
TAC1	206552_s_at	6.18E-13	3.76559
FLI1	204236_at	0.000199775	3.75653
MYH14	232977_x_at	0.000170317	3.72255
OLIG2	213824_at	0.0010314	3.69997
FGFR2	203638_s_at	2.97E-07	3.62133
	236709_at	1.91E-06	3.60489
GDPD1	1555606_a_at	6.66E-07	3.60451
LHFPL3	236761_at	1.12E-08	3.60242
PPEF1	206547_s_at	1.60E-05	3.50558
HHEX	204689_at	4.59E-05	3.48282
HS6ST2	1552766_at	2.31E-09	3.4656
CTH	206085_s_at	1.55E-05	3.45941
FGFRL1	223648_s_at	0.000833231	3.45238
ACPP	237030_at	7.87E-10	3.45159
LOC100130648 /// SSX2 /// SSX2B	216471_x_at	1.01E-07	3.4515
MYH14	219946_x_at	6.13E-05	3.39243
B3GNT5	1554835_a_at	3.48E-05	3.38532
MS4A7	223344_s_at	0.000351708	3.36008
CX3CL1	203687_at	4.21E-05	3.35952
TFB1M	228075_x_at	7.43E-10	3.35767
DDIT4	202887_s_at	0.000655682	3.35544
C2orf40	223623_at	2.24E-06	3.349
TFB1M	219169_s_at	2.04E-09	3.3246
LOC283352	1569454_a_at	0.000106109	3.27206
TBL1X	213400_s_at	6.95E-05	3.26071
BEAN	214068_at	3.70E-07	3.25992
MYH14	234290_x_at	0.000204168	3.25884
PAP2D	231397_at	5.43E-09	3.23767
MRO	224323_s_at	2.99E-05	3.23059
PELI1	218319_at	0.000247677	3.21255
COL9A1	222008_at	1.94E-06	3.17736
PAP2D	242825_at	1.06E-10	3.14883
EDN3	217154_s_at	5.19E-05	3.14055
DCHS2	242764_at	1.75E-19	3.13146
PC	204476_s_at	3.65E-08	3.13056
	242860_at	4.94E-12	3.09009
NDE1	227249_at	0.000144855	3.05741
FAM108C1	225436_at	0.000338257	3.04197
PSPH	205048_s_at	0.000120775	3.02747
EGR1	201693_s_at	0.000552921	3.0256
ITGB3	216261_at	0.000989212	3.02044
NUDT19	235384_at	6.72E-12	3.01831
PDZD2	209493_at	0.000314716	2.98949
SCN4B	236359_at	0.000449205	2.98091
GDF11	216860_s_at	0.00026757	2.96714
LOC100130648 /// SSX2 /// SSX2B	207493_x_at	1.01E-09	2.96604
GPRIN3	1556698_a_at	0.000203535	2.96097
	1559316_at	1.62E-05	2.93382
GPR56	206582_s_at	0.000146154	2.92379
FAM102B	226568_at	1.63E-07	2.91983
MAN1C1	214180_at	5.36E-05	2.91544
TAF9B	221618_s_at	0.000262982	2.908
