Symbol	Name	ProbeId	Adult:Log2FC	Adult:adj_p-value
Mobp	myelin-associated oligodendrocytic basic protein	A_52_P384465	Adult:6.01814579815406	Adult:2.60415098503521e-07
Pgbd5	piggyBac transposable element derived 5	A_51_P167313	Adult:5.53548763902612	Adult:5.78213342127991e-10
Slc2a5	solute carrier family 2 (facilitated glucose transporter), member 5	A_51_P514405	Adult:5.18425338107362	Adult:0.000133607273599503
Nov	nephroblastoma overexpressed gene	A_52_P105537	Adult:4.55939036564871	Adult:5.51563046953986e-05
1190002H23Rik	RIKEN cDNA 1190002H23 gene	A_51_P226269	Adult:4.38688246349593	Adult:1.65668977984353e-11
Krtap28-13	keratin associated protein 28-13	A_51_P269721	Adult:4.32244141771178	Adult:1.74643601576194e-08
Gm5148	predicted gene 5148	A_52_P214408	Adult:4.20488312398723	Adult:4.12177596079923e-06
Cecr2	cat eye syndrome chromosome region, candidate 2 homolog (human)	A_52_P260468	Adult:4.1450447008894	Adult:2.57365451497529e-06
0610010O12Rik	RIKEN cDNA 0610010O12 gene	A_52_P227937	Adult:4.01239976629312	Adult:7.20881651389247e-06
Plat	plasminogen activator, tissue	A_52_P405772	Adult:3.99588735419302	Adult:5.36958458656035e-06
Trim66	tripartite motif-containing 66	A_52_P859051	Adult:3.9117297337705	Adult:1.02104990372021e-05
Lancl3	LanC lantibiotic synthetase component C-like 3 (bacterial)	A_51_P358722	Adult:3.89777180105185	Adult:3.66712710642694e-07
S100b	S100 protein, beta polypeptide, neural	A_51_P208083	Adult:3.8841407673167	Adult:5.07800454866712e-06
Mt2	metallothionein 2	A_51_P246317	Adult:3.85755842022688	Adult:5.91585018507344e-07
Wnt5b	wingless-related MMTV integration site 5B	A_51_P137991	Adult:3.61484966170667	Adult:4.07735329182482e-11
Cited4	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4	A_51_P109099	Adult:3.54387912315826	Adult:7.00025747948603e-09
Eps8l2	EPS8-like 2	A_52_P257426	Adult:3.46891523710816	Adult:4.23022997041123e-10
Mt1	metallothionein 1	A_51_P294979	Adult:3.45385508467656	Adult:4.6672598119834e-07
Crispld1	cysteine-rich secretory protein LCCL domain containing 1	A_51_P249749	Adult:3.40039625668836	Adult:5.01944335332385e-08
Sntg2	syntrophin, gamma 2	A_51_P369998	Adult:3.39375746587406	Adult:0.00176809619349817
Mcoln2	mucolipin 2	A_51_P434301	Adult:3.24551278820364	Adult:0.000716421260118611
