Symbol	Gene name	Fold-change	p-value
G0S2	G0/G1 switch 2	5.46	1.38E-02
MMP1	Matrix metallopeptidase 1	5.31	9.82E-03
SH2D2A	SH2 domain containing 2A	4.17	3.28E-02
HSPA6	Heat shock 70kDA protein 6	4.02	3.55E-02
ESM1	Endothelial cell-specific molecule 1	3.37	9.17E-03
LOC646960	Trypsin serine protease-like	3.37	2.11E-02
TMEM200A	Transmembrane protein 200A	3.36	1.38E-02
hCG_1749898	N/A	2.97	2.54E-02
IL13RA2	Interleukin 13 receptor, alpha 2	2.91	1.03E-03
ANGPTL4	Angiopoietin-like 4	2.65	6.12E-03
PTX3	Pentraxin 3, long	2.57	1.41E-02
DUSP6	Dual specificity phosphatase 6	2.54	3.72E-02
RGS4	Regulator of G-protein signaling 4	2.48	1.39E-03
KISS1	KISS-1 metastasis-suppressor	2.43	1.06E-02
LAMB3	Laminin, beta 3	2.17	6.30E-03
DUSP5	Dual specificity phosphatase 5	2.15	2.87E-02
IL24	Interleukin 24	2.14	3.79E-02
SPRY4	Sprouty homolog 4	2.1	2.45E-02
FZD8	Frizzled homolog 8	2.05	1.63E-02
PLAUR	Plasminogen activator, urokinase receptor	2.04	6.12E-03
PHLDA1	Pleckstrin homology-like domain, family A, member 1	2.04	2.45E-02
DOCK4	Dedicator of cytokinesis 4	2.02	1.20E-02
