Gene Symbol	Name	Fold-Change (SOS vs. Control)	p-value (SOS vs. Control)	adjusted p-value (SOS vs. Control)
CYP7A1	cytochrome P450, family 7, subfamily A, polypeptide 1	-5.36	0.0016	0.0369
KANK4	KN motif and ankyrin repeat domains 4	-3.59	0	0.0057
HEATR7B1	HEAT repeat containing 7B1	-3.57	0.001	0.0313
THRSP	thyroid hormone responsive (SPOT14 homolog, rat)	-3.46	0.0005	0.026
ZNF385B	zinc finger protein 385B	-3.04	0.0013	0.0351
C5orf13	chromosome 5 open reading frame 13	-2.85	0.0011	0.0331
ZGPAT	zinc finger, CCCH-type with G patch domain	-2.76	0.0004	0.0227
VSNL1	visinin-like 1	-2.75	0.0008	0.0293
SULT1E1	sulfotransferase family 1E, estrogen-preferring, member 1	-2.7	0.0013	0.0352
MREG	melanoregulin	-2.62	0.002	0.0412
DGAT2	diacylglycerol O-acyltransferase homolog 2 (mouse)	-2.6	0.0001	0.0137
GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	-2.57	0.0002	0.0198
ABCC6P1	ATP-binding cassette, sub-family C, member 6 pseudogene 1	-2.52	0.0002	0.0204
GIPC2	GIPC PDZ domain containing family, member 2	-2.49	0.0007	0.0276
AGBL2	ATP/GTP binding protein-like 2	-2.48	0	0.0079
C10orf114	chromosome 10 open reading frame 114	-2.47	0.0009	0.031
PPP1R1A	protein phosphatase 1, regulatory (inhibitor) subunit 1A	-2.47	0	0.0057
GLYAT	glycine-N-acyltransferase	-2.44	0.0002	0.0174
GSTA1	glutathione S-transferase alpha 1	-2.43	0.0019	0.0401
SCG5	secretogranin V (7B2 protein)	-2.41	0.0009	0.0308
DNMT3L	DNA (cytosine-5-)-methyltransferase 3-like	-2.4	0.0001	0.0168
AMACR	alpha-methylacyl-CoA racemase	-2.37	0.0018	0.039
SH3RF2	SH3 domain containing ring finger 2	-2.35	0.0013	0.0346
LOC149703	hypothetical protein LOC149703	-2.33	0.0011	0.0322
ATOH7	atonal homolog 7 (Drosophila)	-2.33	0	0.007
HSD17B14	hydroxysteroid (17-beta) dehydrogenase 14	-2.28	0	0.0124
LOC730101	hypothetical LOC730101	-2.27	0.0004	0.0233
SORBS2	sorbin and SH3 domain containing 2	-2.24	0.0022	0.0429
BBOX1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxyla	-2.23	0.0009	0.0302
C10orf140	chromosome 10 open reading frame 140	-2.23	0.0016	0.0372
HAPLN4	hyaluronan and proteoglycan link protein 4	-2.22	0.0001	0.0159
PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3C	-2.22	0.0007	0.0278
LOC100130232	LP2209	-2.2	0.0008	0.03
RAB26	RAB26, member RAS oncogene family	-2.17	0.0021	0.0425
SEC14L2	SEC14-like 2 (S. cerevisiae)	-2.16	0.0005	0.025
ETNK2	ethanolamine kinase 2	-2.15	0	0.0094
NINL	ninein-like	-2.13	0.0011	0.033
MEGF10	multiple EGF-like-domains 10	-2.13	0	0.0121
DHDPSL	dihydrodipicolinate synthase-like, mitochondrial	-2.12	0.0009	0.0312
SLC2A4RG	SLC2A4 regulator	-2.12	0.0006	0.027
MME	membrane metallo-endopeptidase	-2.09	0.0004	0.0226
TSKU	tsukushin	-2.08	0.0011	0.0323
CCL14 /// CCL14-CCL15 /// CCL15	chemokine (C-C motif) ligand 14 /// chemokine ligand 14, chemokine ligand 15 tra	-2.08	0.0001	0.0167
HAO2	hydroxyacid oxidase 2 (long chain)	-2.06	0.0009	0.0304
C14orf167	chromosome 14 open reading frame 167	-2.06	0.0019	0.04
SLC22A7	solute carrier family 22 (organic anion transporter), member 7	-2.02	0.0029	0.0478
CAPN3	calpain 3, (p94)	-2.02	0.0001	0.013
LIME1	Lck interacting transmembrane adaptor 1	-2.01	0.0005	0.0242
MOGAT2	monoacylglycerol O-acyltransferase 2	-2.01	0.001	0.032
NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)	-2.01	0.0008	0.0297
EFHD1	EF-hand domain family, member D1	-2.01	0.0002	0.0172
SSTR1	somatostatin receptor 1	-1.99	0.0001	0.0146
FCN2	ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)	-1.99	0	0.0114
FAM84A	family with sequence similarity 84, member A	-1.99	0.0032	0.0496
LSS	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	-1.97	0.0008	0.03
RORC	RAR-related orphan receptor C	-1.97	0.0011	0.0331
SEMA4G	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cyt	-1.97	0.0005	0.0259
ACACB	acetyl-Coenzyme A carboxylase beta	-1.97	0.0005	0.024
DAK	dihydroxyacetone kinase 2 homolog (S. cerevisiae)	-1.97	0.0027	0.0466
PLG	plasminogen	-1.96	0.0015	0.0365
PRKAB2	protein kinase, AMP-activated, beta 2 non-catalytic subunit	-1.96	0.0016	0.0375
KLB	klotho beta	-1.95	0.0001	0.013
SLC6A1	solute carrier family 6 (neurotransmitter transporter, GABA), member 1	-1.95	0.0016	0.0373
ODZ1	odz, odd Oz/ten-m homolog 1(Drosophila)	-1.94	0.0008	0.03
C5orf4	chromosome 5 open reading frame 4	-1.92	0.0005	0.0248
HDHD3	haloacid dehalogenase-like hydrolase domain containing 3	-1.88	0.0012	0.0335
PRRG4	Proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)	-1.88	0.0008	0.0296
CHAD	chondroadherin	-1.88	0.0002	0.02
TMEM139	transmembrane protein 139	-1.88	0.001	0.0314
AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	-1.87	0	0.0116
ZBTB20	zinc finger and BTB domain containing 20	-1.87	0.0028	0.0471
KIAA1161	KIAA1161	-1.87	0.0023	0.0436
C2orf82	chromosome 2 open reading frame 82	-1.86	0.0013	0.0349
GNAO1	guanine nucleotide binding protein (G protein), alpha activating activity polype	-1.86	0.0003	0.0205
PITPNM3	PITPNM family member 3	-1.86	0	0.0065
SKAP1	src kinase associated phosphoprotein 1	-1.86	0.0006	0.0261
SLC16A10	solute carrier family 16, member 10 (aromatic amino acid transporter)	-1.86	0.0006	0.027
B3GAT1	beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)	-1.86	0.0002	0.0189
C8orf46	chromosome 8 open reading frame 46	-1.85	0.0008	0.0291
FGFR4	fibroblast growth factor receptor 4	-1.85	0.0001	0.013
GOLGA2L1	golgi autoantigen, golgin subfamily a, 2-like 1	-1.85	0.0002	0.0197
CLEC4G	C-type lectin domain family 4, member G	-1.85	0.0003	0.0223
PPP1R16A	protein phosphatase 1, regulatory (inhibitor) subunit 16A	-1.85	0.0025	0.045
FAM149A	family with sequence similarity 149, member A	-1.85	0.0001	0.0153
SLC25A42	solute carrier family 25, member 42	-1.85	0.0001	0.013
WDR5B	WD repeat domain 5B	-1.84	0.0001	0.0151
ATP6V0E2	ATPase, H+ transporting V0 subunit e2	-1.84	0.0002	0.0171
CHST13	carbohydrate (chondroitin 4) sulfotransferase 13	-1.84	0.0021	0.0421
DAO	D-amino-acid oxidase	-1.83	0.0002	0.02
CDON	Cdon homolog (mouse)	-1.83	0.0025	0.0449
SNED1	sushi, nidogen and EGF-like domains 1	-1.83	0	0.0093
ZNF238	zinc finger protein 238	-1.83	0.0026	0.0458
RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	-1.83	0.0031	0.0489
NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D	-1.83	0.0021	0.0422
C14orf132	chromosome 14 open reading frame 132	-1.83	0.0001	0.0153
ZMYND12	zinc finger, MYND-type containing 12	-1.82	0	0.0066
GPER	G protein-coupled estrogen receptor 1	-1.82	0.0022	0.043
CLMN	calmin (calponin-like, transmembrane)	-1.81	0.0022	0.0431
TMEM37	transmembrane protein 37	-1.81	0	0.0087
PTH1R	parathyroid hormone 1 receptor	-1.8	0	0.0087
CLDN14	claudin 14	-1.8	0.001	0.0314
CYP3A43	cytochrome P450, family 3, subfamily A, polypeptide 43	-1.8	0.0021	0.0415
CLCN5	chloride channel 5	-1.79	0.0007	0.0286
GLYCTK	glycerate kinase	-1.79	0.0013	0.0346
SLCO4C1	solute carrier organic anion transporter family, member 4C1	-1.79	0	0.0079
CNKSR2	connector enhancer of kinase suppressor of Ras 2	-1.78	0.0017	0.0384
PKLR	pyruvate kinase, liver and RBC	-1.78	0.0007	0.0283
CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	-1.77	0.0026	0.0453
JMJD5	jumonji domain containing 5	-1.76	0.002	0.0411
EXPH5	exophilin 5	-1.76	0.0008	0.03
STAB2	stabilin 2	-1.76	0.0011	0.0321
GCAT	glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)	-1.75	0	0.0114
GPD1	glycerol-3-phosphate dehydrogenase 1 (soluble)	-1.75	0.0003	0.0205
FAM117A	family with sequence similarity 117, member A	-1.75	0.0028	0.0473
ACVR1C	activin A receptor, type IC	-1.75	0.003	0.0483
SEC14L4	SEC14-like 4 (S. cerevisiae)	-1.74	0.0024	0.044
ACOX2	acyl-Coenzyme A oxidase 2, branched chain	-1.74	0.0019	0.0404
NCKAP5	NCK-associated protein 5	-1.74	0.0002	0.0192
LOC283481	hypothetical protein LOC283481	-1.74	0.0004	0.0226
EPB41L5	erythrocyte membrane protein band 4.1 like 5	-1.74	0.0021	0.0422
SLC47A1	solute carrier family 47, member 1	-1.73	0.0001	0.0138
STARD10	StAR-related lipid transfer (START) domain containing 10	-1.73	0.0006	0.0274
C12orf69	chromosome 12 open reading frame 69	-1.73	0.0003	0.0223
RHBG	Rh family, B glycoprotein (gene/pseudogene)	-1.73	0	0.0065
PRKAG2	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	-1.72	0.003	0.0487
C6orf124	chromosome 6 open reading frame 124	-1.71	0.0003	0.0221
NBR2	neighbor of BRCA1 gene 2 (non-protein coding)	-1.71	0.0004	0.0226
AR	androgen receptor	-1.71	0.0012	0.0342
IMMP1L	IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae)	-1.71	0.0006	0.0263
NR1I2	nuclear receptor subfamily 1, group I, member 2	-1.71	0.0016	0.0375
CMBL	carboxymethylenebutenolidase homolog (Pseudomonas)	-1.71	0.0004	0.0224
ACSL6	Acyl-CoA synthetase long-chain family member 6	-1.71	0.0005	0.0246
hCG_2008140	hypothetical LOC729614	-1.71	0.0027	0.0462
RGNEF	Rho-guanine nucleotide exchange factor	-1.71	0.0016	0.0376
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	-1.71	0.0008	0.029
FTCD	formiminotransferase cyclodeaminase	-1.7	0.0013	0.0352
SH3PXD2A	SH3 and PX domains 2A	-1.7	0.002	0.0407
SLC6A13	solute carrier family 6 (neurotransmitter transporter, GABA), member 13	-1.7	0.0015	0.0365
ALDH1L1	aldehyde dehydrogenase 1 family, member L1	-1.7	0.0003	0.0205
CROT	carnitine O-octanoyltransferase	-1.7	0.0031	0.0489
KLF9	Kruppel-like factor 9	-1.7	0.0012	0.0335
KLHDC1	kelch domain containing 1	-1.7	0.0004	0.0234
SLC38A3	solute carrier family 38, member 3	-1.7	0.0031	0.0495
GRB14	growth factor receptor-bound protein 14	-1.69	0.0016	0.0368
SUOX	sulfite oxidase	-1.69	0.0018	0.0388
NHSL1	NHS-like 1	-1.69	0.0024	0.0442
CYP4F3	cytochrome P450, family 4, subfamily F, polypeptide 3	-1.69	0.0003	0.022
LRRN3	leucine rich repeat neuronal 3	-1.69	0.0022	0.0431
SAT2	spermidine/spermine N1-acetyltransferase family member 2	-1.69	0.0015	0.0365
ENOSF1	enolase superfamily member 1	-1.69	0.0024	0.0445
A2LD1	AIG2-like domain 1	-1.68	0.0001	0.013
C12orf72	chromosome 12 open reading frame 72	-1.68	0.0001	0.0165
ATXN7L1	ataxin 7-like 1	-1.68	0.0002	0.0203
CPPED1	calcineurin-like phosphoesterase domain containing 1	-1.68	0	0.013
PDE4DIP	phosphodiesterase 4D interacting protein	-1.68	0	0.0092
SIK2	salt-inducible kinase 2	-1.68	0.0003	0.0205
SLC25A10	solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), mem	-1.68	0.0001	0.0168
GFRA1	GDNF family receptor alpha 1	-1.68	0.0001	0.013
TCEA3	transcription elongation factor A (SII), 3	-1.68	0.0008	0.03
NCRNA00086 /// NCRNA00087	non-protein coding RNA 86 /// non-protein coding RNA 87	-1.67	0.0014	0.0361
EML6	echinoderm microtubule associated protein like 6	-1.67	0.0016	0.0369
CBARA1	calcium binding atopy-related autoantigen 1	-1.67	0.0021	0.0421
TMEM97	transmembrane protein 97	-1.67	0.003	0.0484
OSBPL6	oxysterol binding protein-like 6	-1.67	0.0014	0.0359
SSX2IP	synovial sarcoma, X breakpoint 2 interacting protein	-1.67	0.0007	0.0282
FANCC	Fanconi anemia, complementation group C	-1.67	0.0002	0.0194
SCRN2	secernin 2	-1.66	0.0002	0.0189
FAM85A	family with sequence similarity 85, member A	-1.66	0.0002	0.0173
AK3L1	adenylate kinase 3-like 1	-1.66	0.0012	0.0342
ADH6	alcohol dehydrogenase 6 (class V)	-1.66	0.002	0.0411
SLC25A23	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23	-1.66	0.0009	0.0304
FLJ39653	hypothetical FLJ39653	-1.66	0.003	0.0488
LOC100287552	PNAS-119	-1.66	0.0002	0.0204
KIAA0427	KIAA0427	-1.66	0.0005	0.0259
ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	-1.66	0.0015	0.0362
CES7	carboxylesterase 7	-1.65	0.0017	0.0387
C21orf34	chromosome 21 open reading frame 34	-1.65	0.0005	0.0247
ANXA9	annexin A9	-1.65	0.0005	0.0239
KIAA1683	KIAA1683	-1.65	0.0002	0.0181
IGFALS	insulin-like growth factor binding protein, acid labile subunit	-1.65	0.0016	0.0372
TTC36	tetratricopeptide repeat domain 36	-1.65	0.0001	0.0153
PNPLA7	patatin-like phospholipase domain containing 7	-1.64	0.0007	0.0283
CA5A	carbonic anhydrase VA, mitochondrial	-1.64	0.0014	0.0355
ZNF680	zinc finger protein 680	-1.64	0.0018	0.0396
TM6SF2	transmembrane 6 superfamily member 2	-1.64	0.0001	0.013
PAIP2B	poly(A) binding protein interacting protein 2B	-1.64	0.0001	0.0168
SCLY	selenocysteine lyase	-1.64	0.0015	0.0361
CNTNAP2	contactin associated protein-like 2	-1.64	0.0019	0.0404
SLC46A3	solute carrier family 46, member 3	-1.64	0.0003	0.0213
FOXP2	forkhead box P2	-1.64	0.0014	0.036
RND2	Rho family GTPase 2	-1.64	0.0016	0.0376
FMO4	flavin containing monooxygenase 4	-1.63	0.0021	0.0424
SLC46A1	solute carrier family 46 (folate transporter), member 1	-1.63	0	0.0109
RAD54L2	RAD54-like 2 (S. cerevisiae)	-1.63	0.0004	0.0224
LOC285986	hypothetical protein LOC285986	-1.63	0.0029	0.0477
UPB1	ureidopropionase, beta	-1.63	0.0002	0.0171
CAPN5	calpain 5	-1.63	0.0015	0.0361
PPARA	peroxisome proliferator-activated receptor alpha	-1.62	0.0009	0.031
RBP5	retinol binding protein 5, cellular	-1.62	0.0001	0.013
NGFR	nerve growth factor receptor (TNFR superfamily, member 16)	-1.62	0.0006	0.0265
PRKCZ	protein kinase C, zeta	-1.61	0.0007	0.0281
LOC284440	hypothetical LOC284440	-1.61	0.0012	0.0339
GJB1	gap junction protein, beta 1, 32kDa	-1.61	0.0007	0.0285
VIPR1	vasoactive intestinal peptide receptor 1	-1.61	0.0011	0.0326
CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	-1.61	0.0016	0.0369
TSPAN12	tetraspanin 12	-1.61	0.0031	0.0495
IQSEC1	IQ motif and Sec7 domain 1	-1.61	0.0002	0.0171
CUL5	cullin 5	-1.6	0.0002	0.0197
FBXL4	F-box and leucine-rich repeat protein 4	-1.6	0.0002	0.0174
SELENBP1	selenium binding protein 1	-1.6	0.0002	0.0184
ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	-1.6	0.0002	0.0201
PCYT2	phosphate cytidylyltransferase 2, ethanolamine	-1.59	0.0003	0.0221
hCG_1811732	hypothetical LOC151534	-1.59	0.0012	0.0335
TNFAIP8L1	tumor necrosis factor, alpha-induced protein 8-like 1	-1.59	0.0013	0.0346
LOC257396	hypothetical protein LOC257396	-1.59	0.0004	0.0224
ASB4	ankyrin repeat and SOCS box-containing 4	-1.59	0.0009	0.0303
QDPR	Quinoid dihydropteridine reductase	-1.59	0.0022	0.0426
C11orf71	chromosome 11 open reading frame 71	-1.58	0.0001	0.0131
CTTNBP2	cortactin binding protein 2	-1.58	0.0001	0.0152
KIF22	kinesin family member 22	-1.58	0.0004	0.0228
DHFR	dihydrofolate reductase	-1.58	0.001	0.0313
C14orf73	chromosome 14 open reading frame 73	-1.58	0.0007	0.0281
TFDP2	Transcription factor Dp-2 (E2F dimerization partner 2)	-1.58	0.0001	0.0163
HFE2	hemochromatosis type 2 (juvenile)	-1.57	0.0004	0.0235
ARSD	arylsulfatase D	-1.57	0.0014	0.036
SULT1A2	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2	-1.57	0.0012	0.0332
NFIA	nuclear factor I/A	-1.57	0.0004	0.0237
DIO1	deiodinase, iodothyronine, type I	-1.57	0.0002	0.0184
C1orf175 /// TTC4	chromosome 1 open reading frame 175 /// tetratricopeptide repeat domain 4	-1.57	0.0005	0.0243
FGFR3	fibroblast growth factor receptor 3	-1.57	0.0018	0.0389
RICS	Rho GTPase-activating protein	-1.57	0.0017	0.038
FOXN2	forkhead box N2	-1.56	0.0031	0.0495
AKR7A3	aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)	-1.56	0	0.0071
MUM1	melanoma associated antigen (mutated) 1	-1.56	0.0009	0.0311
DCT	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	-1.56	0.0007	0.0287
TSPYL4	TSPY-like 4	-1.56	0.0015	0.0362
LOC439911	hypothetical gene supported by NM_194304	-1.56	0.0002	0.0202
C9orf95	chromosome 9 open reading frame 95	-1.56	0	0.012
ESPN	espin	-1.56	0.0001	0.0159
BMPER	BMP binding endothelial regulator	-1.56	0.0007	0.0282
PIGV	phosphatidylinositol glycan anchor biosynthesis, class V	-1.55	0.0001	0.0152
FLJ33996	hypothetical protein FLJ33996	-1.55	0.0004	0.0225
MMAB	methylmalonic aciduria (cobalamin deficiency) cblB type	-1.55	0.0024	0.0439
PVALB	parvalbumin	-1.55	0.001	0.0314
CYP4F12	cytochrome P450, family 4, subfamily F, polypeptide 12	-1.55	0.0003	0.0207
LOC255512	hypothetical protein LOC255512	-1.55	0.0003	0.0223
LRRK2	leucine-rich repeat kinase 2	-1.55	0.0029	0.0481
TMEM120A	transmembrane protein 120A	-1.55	0.0001	0.013
KIAA1958	KIAA1958	-1.55	0.0026	0.0456
SCAI	suppressor of cancer cell invasion	-1.55	0.0003	0.0215
DHRS1	dehydrogenase/reductase (SDR family) member 1	-1.55	0.0024	0.044
KIAA1147	KIAA1147	-1.55	0.0006	0.0275
ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	-1.55	0.0019	0.0402
ALDH3A2	aldehyde dehydrogenase 3 family, member A2	-1.55	0.001	0.0314
CNDP1	carnosine dipeptidase 1 (metallopeptidase M20 family)	-1.55	0.0008	0.0297
ABHD1	abhydrolase domain containing 1	-1.54	0.0002	0.0174
PMS2L1 /// PMS2L5	postmeiotic segregation increased 2-like 1 pseudogene /// postmeiotic segregatio	-1.54	0.0001	0.0165
SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	-1.54	0.0014	0.0359
BDH2	3-hydroxybutyrate dehydrogenase, type 2	-1.54	0.0002	0.0174
FAM168A	family with sequence similarity 168, member A	-1.54	0.0002	0.0181
TRPM7	Transient receptor potential cation channel, subfamily M, member 7	-1.54	0.0023	0.0436
NCAM2	neural cell adhesion molecule 2	-1.54	0.0015	0.0361
