Probe ID	Gene	Location	Down 4-fold	Down 2-fold
1270_at	RAP1GA1:RAP1 GTPase activating protein 1	1p36.1-p35	12%	78%
35168_f_at	COL16A1: collagen, type XVI,  1	1p35-p34	74%	81%
1911_s_at	GADD45A: growth arrest DNA-damage-inducible  	1p31.2-p31.1	52%	81%
34174_s_at	Latrophilin	1p31.1	80%	92%
36543_at	F3: coagulation factor III	1p22-p21	67%	78%
38059_g_at	DPT: dermatopontin	1q12-q23	65%	76%
265_s_at	SELE: selectin E	1q22-q25	54%	76%
32249_at	HFL1: H factor (complement)-like 1	1q32	50%	76%
41320_s_at	LRRFIP1: leucine-rich repeat interacting protein	2p24.3-p24.1	47%	90%
40936_at	CRIM1: cysteine-rich motor neuron 1	2p21	43%	78%
38194_s_at	IGKC: immunoglobulin  constant	2p12	72%	78%
40775_at	ITM2C: integral membrane protein 2C	2p	74%	83%
35461_at	PLA2R1: phospholipase A2 receptor 1	2q23-q24	80%	98%
34760_at	KIAA0022	2q24.2	29%	80%
34800_at	LRIG1: integral membrane glycoprotein LIG-1	3	40%	76%
31844_at	HGD: homogentisate 1,2-dioxygenase	3q21	76%	92%
1715_at	TNFSF10: tumor necrosis factor member 10	3q26	45%	89%
36681_at	APOD: apolipoprotein D	3q26.2-qter	74%	81%
36503_at	SCYA21: small inducible cytokine A21	9p13	63%	78%
1596_g_at	TEK tyrosine kinase	9p21	32%	72%
38364_at	BCE-1	9q21.31	45%	74%
41839_at	GAS1: growth arrest-specific 1	9q21.3-q22	74%	78%
38280_s_at	DKFZp76 1J0523	9q22.1	63%	98%
36042_at	NTRK2: neurotrophic tyrosine kinase receptor 2	9q22.1	60%	76%
32612_at	GSN gelsolin	9q33	56%	87%
33440_at	TCF8 transcription factor 8	10p11.2	50%	83%
41245_at	GDF10: growth differentiation factor 10	10q11.1	70%	85%
32666_at	SDF1: stromal cell-derived factor 1	10q11.1	56%	76%
1970_s_at	FGFR2: fibroblast growth factor receptor 2	10q26	56%	78%
1145_g_at	FGFR2: fibroblast growth factor receptor K-SAM IV	10q26	45%	78%
31687_f_at	HBB: hemoglobin,  	11p15.5	65%	89%
38339_at	butyrobetaine  2-oxoglutarate dioxygenase	11p14.3	70%	83%
36029_at	C11orf8: chromosome 11 open reading frame 8	11p13	67%	89%
32242_at	CRYAB: cystallin  -B	11q22	78%	78%
32243_g_at	CRYAB: cystallin  -B	11q22	63%	78%
40496_at	C1S: complement component 1s	12p13	67%	81%
34637_f_at	ADH1A: alcohol de-hydrogenase 1A	4q21-q23	90%	98%
35730_at	ADH1B: alcohol de-hydrogenase 1B	4q21-q23	83%	94%
38488_s_at	IL15 interleukin 15	4q31	60%	81%
36939_at	GPM6A glycoprotein M6A	4q34	63%	83%
37394_at	C7: complement component 7	5p13	54%	83%
39317_at	cytidine monophosphate-N-acetylneuraminic acid hydroxylase	6p22-p23	65%	83%
36917_at	LAMA2: laminin,  2	6q22-q23	65%	81%
32585_at	EPB41L2: erythrocyte membrane protein	6q23	10%	78%
39593_at	similar to fibrinogen-like 2	7	65%	78%
40398_s_at	MEOX2: mesenchyme homeo box 2	7p22.1-p21.3	83%	87%
36119_at	CAV1: caveolin-1	7q31.1	63%	89%
339_at	CAV2: caveolin 2	7q31.1	69%	89%
41739_s_at	CALD1: caldesmon 1	7q33	58%	87%
38430_at	FABP4: fatty acid binding protein 4, adipocyte	8q21	63%	78%
546_at	PKIA: protein kinase inhibitor  	8q21.11	60%	87%
36202_at	PKIA: protein kinase inhibitor  	8q21.11	47%	83%
32765_f_at, 32764_at	PGCP: plasma glutamate carboxypeptidase	8q22.2	81%	89%
39757_at	SDC2: syndecan 2	8q22-q23	45%	81%
37611_at	TNFRSF11B: tumor necrosis factor receptor	8q24	78%	87%
34672_at	KIAA0603	13q21.33	18%	76%
1597_at	GAS6: growth arrest-specific 6	13q34	23%	78%
37906_at	LTBP2: latent TGF  binding protein 2	14q24	69%	85%
39038_at	FBLN5: fibulin 5	14q32.1	58%	80%
37864_s_at	IGHG3: immunoglobulin heavy constant  3	14q32.33	78%	81%
542_at	CRABP1: cellular retinoic acid-binding protein 1	15q24	61%	87%
543_g_at	CRABP1: cellular retinoic acid-binding protein 1	15q24	61%	81%
31525_s_at	HBA:  globin	16p13.3	80%	94%
38754_at	P8: p8 protein	16p11.2	70%	87%
40928_at	DKFZP564A122	17q11.2	32%	78%
35226_at	EYA2: eyes absent 2	20q13.1	70%	92%
31477_at	TFF3: trefoil factor 3	21q22.3	74%	78%
37897_s_at	TFF3: trefoil factor 3	21q22.3	69%	76%
36040_at	SH3BGR: SH3 domain binding protein	21q22.3	27%	78%
38026_at	FBLN1 fibulin 1	22q13.31	85%	89%
33273_f_at, 33274_f_at	IGL: immunoglobulin  locus	22q11.1-q11.2	74%	78%
37630_at	Similar to chordin-like	Xq22	85%	89%
33074_g_at	PAK3: p21-activated kinase 3	Xq22.3-q23	67%	90%
39350_at	GPC3: glypican 3	Xq26.1	54%	78%
