Gene Symbol	Entrez ID	beta	Description
AIMP2	7965	0.00013	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2
ALOX5AP	241	-0.00258	arachidonate 5-lipoxygenase-activating protein
ANKZF1	55139	0.00014	ankyrin repeat and zinc finger domain containing 1
ANXA1	301	-0.00894	annexin A1
APOL1	8542	-0.00287	apolipoprotein L
ARMCX2	9823	-0.00455	armadillo repeat containing, X-linked 2
ASCC2	84164	-0.00265	activating signal cointegrator 1 complex subunit 2
ATP5E	514	0.00071	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit
ATP5J	522	0.01706	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6
B4GALT5	9334	0.00971	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5
BCL2A1	597	-0.01016	BCL2-related protein A1
BIN1	274	-0.02015	bridging integrator 1
C19orf62	29086	0.00889	chromosome 19 open reading frame 62
CCL2	6347	-0.00493	chemokine (C-C motif) ligand 2
CCL5	6352	-0.00326	chemokine (C-C motif) ligand 5
CD209	30835	-0.00919	CD209 molecule
CD38	952	-0.005	CD38 molecule
CD8A	925	-0.00398	CD8a molecule
CDC14B	8555	0.00091	CDC14 cell division cycle 14 homolog B (S. cerevisiae)
CDK7	1022	0.0178	cyclin-dependent kinase 7
CHD8	57680	-0.01343	chromodomain helicase DNA binding protein 8
CLDN7	1366	0.0106	claudin 7
CNDP2	55748	-0.00045	CNDP dipeptidase 2 (metallopeptidase M20 family)
COL13A1	1305	0.0047	collagen, type XIII, alpha 1
COX17	10063	0.0107	COX17 cytochrome c oxidase assembly homolog (S. cerevisiae)
COX6A1	1337	0.01703	cytochrome c oxidase subunit VIa polypeptide 1
CTSH	1512	-0.02393	cathepsin H
CXCL2	2920	-0.00214	chemokine (C-X-C motif) ligand 2
CXCL9	4283	-0.00723	chemokine (C-X-C motif) ligand 9
CXCR7	57007	0.01148	chemokine (C-X-C motif) receptor 7
DAD1	1603	-0.005	defender against cell death 1
DNAJB1	3337	0.01212	DnaJ (Hsp40) homolog, subfamily B, member 1
DSTN	11034	0.01296	destrin (actin depolymerizing factor)
EFHA1	221154	0.04564	EF-hand domain family, member A1
EIF2B1	1967	0.00335	eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa
EIF3K	27335	0.00034	eukaryotic translation initiation factor 3, subunit K
FAM127B	26071	-0.0121	family with sequence similarity 127, member B
FCER1G	2207	-0.00784	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide
FGL2	10875	-0.00203	fibrinogen-like 2
FKBP1B	2281	0.00577	FK506 binding protein 1B, 12.6 kDa
FNDC3A	22862	0.00892	fibronectin type III domain containing 3A
G6PD	2539	-0.00899	glucose-6-phosphate dehydrogenase
GLRX3	10539	0.00114	glutaredoxin 3
GPHN	10243	-0.00446	gephyrin
GRSF1	2926	-0.01055	G-rich RNA sequence binding factor 1
GSTM3	2947	-0.00083	glutathione S-transferase mu 3 (brain)
GTF3A	2971	0.00298	general transcription factor IIIA
HADHA	3030	0.02175	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit
HDAC1	3065	0.00199	histone deacetylase 1
HK2	3099	-0.00202	hexokinase 2
HLA-DPB1	3115	-0.00185	major histocompatibility complex, class II, DP beta 1
