Curated Gene Symbol	Gene Symbol	Gene ID	r	P
PAEP	PAEP	5047	1	0
SERPINA12	SERPINA12	145264	0.512	1.55E-05
	-	647955	-0.488	4.22E-05
DPPA5	DPPA5	340168	-0.433	3.48E-04
PCDHB6	PCDHB6	56130	0.432	3.63E-04
	-	642044	0.423	5.00E-04
TMEM88B	TMEM88B	643965	-0.41	7.66E-04
LATS1	LATS1	9113	-0.409	7.96E-04
OR4F15	OR4F15	390649	0.402	9.83E-04
FAM71A	FAM71A	149647	0.401	1.02E-03
MXI1	MXI1	4601	0.4	1.07E-03
ZNF438	ZNF438	220929	-0.397	1.16E-03
MMD2	MMD2	221938	-0.393	1.30E-03
HAND1	HAND1	9421	-0.392	1.37E-03
DCAF16	DCAF16	54876	0.389	1.51E-03
OR5J2	OR5J2	282775	-0.383	1.77E-03
	-	652673	0.381	1.91E-03
LCN1	LCN1	3933	0.379	2.01E-03
PMP2	PMP2	5375	-0.378	2.08E-03
FBXO22-AS1	FBXO22OS	692224	0.377	2.11E-03
	-	400807	0.376	2.20E-03
BIRC8	BIRC8	112401	0.376	2.23E-03
APOC4	APOC4	346	-0.375	2.24E-03
USP48	USP48	84196	0.375	2.27E-03
TIGD3	TIGD3	220359	-0.375	2.27E-03
	-	283294	0.371	2.58E-03
FAM181A	FAM181A	90050	0.366	2.91E-03
	-	647797	0.365	2.99E-03
TMPRSS12	TMPRSS12	283471	0.364	3.08E-03
AKT3	AKT3	10000	0.364	3.14E-03
CRLF2	CRLF2	64109	0.362	3.33E-03
	-	647876	0.361	3.34E-03
	-	653397	0.36	3.49E-03
	-	646717	-0.358	3.63E-03
PRDM14	PRDM14	63978	0.356	3.92E-03
ZNF778	ZNF778	197320	0.355	3.96E-03
	-	647894	-0.355	3.96E-03
MED12L	MED12L	116931	0.355	4.05E-03
PHF13	PHF13	148479	0.354	4.05E-03
	-	647003	-0.354	4.15E-03
	-	652662	-0.352	4.28E-03
ARGFXP2	ARGFXP2	503640	-0.352	4.31E-03
RNF19A	RNF19A	25897	0.352	4.37E-03
	-	649158	-0.35	4.55E-03
	-	650475	0.349	4.66E-03
DPCR1	DPCR1	135656	0.348	4.81E-03
EMILIN3	EMILIN3	90187	0.348	4.88E-03
ZCCHC10	ZCCHC10	54819	-0.345	5.19E-03
HECW1	HECW1	23072	-0.345	5.25E-03
	-	653472	0.345	5.27E-03
KRTAP3-2	KRTAP3-2	83897	0.345	5.28E-03
SCARF1	SCARF1	8578	-0.345	5.30E-03
	-	647551	0.344	5.32E-03
	-	646173	-0.344	5.33E-03
KIF17	KIF17	57576	-0.343	5.49E-03
GGT7	GGT7	2686	0.343	5.52E-03
	-	440080	0.343	5.55E-03
	-	642548	0.343	5.59E-03
	LOC642666	642666	0.342	5.67E-03
GLYCTK	GLYCTK	132158	-0.342	5.70E-03
	-	645438	-0.342	5.71E-03
HPSE2	HPSE2	60495	0.341	5.81E-03
SLC25A30	SLC25A30	253512	-0.341	5.81E-03
TFF2	TFF2	7032	0.341	5.82E-03
WT1	WT1	7490	-0.339	6.11E-03
PDILT	PDILT	204474	0.338	6.23E-03
PCDHGA7	PCDHGA7	56108	0.338	6.24E-03
KCNIP2	KCNIP2	30819	-0.338	6.27E-03
	-	652883	0.338	6.34E-03
CDK15	CDK15	65061	0.338	6.36E-03
OR52E5	OR52E5	390082	-0.337	6.42E-03
SLC25A1	SLC25A1	6576	-0.337	6.49E-03
ACTR3BP2	FKSG73	440888	0.336	6.58E-03
OR11H6	OR11H6	122748	-0.336	6.68E-03
	LOC646903	646903	0.338	6.76E-03
DNAJC28	DNAJC28	54943	-0.335	6.78E-03
MYO1D	MYO1D	4642	-0.334	6.92E-03
SPAG1	SPAG1	6674	0.334	7.00E-03
	-	643566	-0.334	7.03E-03
MBD3L1	MBD3L1	85509	0.333	7.11E-03
C10orf99	C10orf99	387695	-0.333	7.13E-03
GABRA1	GABRA1	2554	0.333	7.14E-03
RPL32P36	RPL32P36	392447	-0.332	7.32E-03
	-	730953	0.331	7.46E-03
	-	642282	-0.33	7.69E-03
ADNP	ADNP	23394	0.33	7.76E-03
FBXO21	FBXO21	23014	0.329	7.88E-03
	-	644705	0.329	7.92E-03
	-	650422	-0.329	7.98E-03
TOMM40L	TOMM40L	84134	-0.328	8.14E-03
ATP6V1B1	ATP6V1B1	525	0.327	8.32E-03
PALM2-AKAP2	PALM2-AKAP2	445815	0.327	8.37E-03
ARFIP2	ARFIP2	23647	-0.327	8.39E-03
PPP1R32	C11orf66	220004	0.327	8.41E-03
	-	401056	0.327	8.42E-03
LRRC14	LRRC14	9684	0.326	8.49E-03
PDE6G	PDE6G	5148	-0.326	8.51E-03
VGLL2	VGLL2	245806	-0.326	8.55E-03
ATF7IP	ATF7IP	55729	0.326	8.63E-03
SGK2	SGK2	10110	0.325	8.77E-03
OR12D2	OR12D2	26529	-0.324	9.08E-03
PRR12	PRR12	57479	0.323	9.20E-03
KIAA1462	KIAA1462	57608	-0.323	9.20E-03
	-	642383	-0.323	9.23E-03
IL17RA	IL17RA	23765	-0.323	9.25E-03
	FLJ22536	401237	0.322	9.48E-03
CDK10	CDK10	8558	0.322	9.54E-03
AMDHD2	AMDHD2	51005	-0.322	9.57E-03
CADPS	CADPS	8618	-0.321	9.74E-03
