Curated Gene Symbol	Gene	delta Ct in normal samples (mean +/- SD)	delta Ct in pathological samples (mean +/- SD)	p valuea	Pathological/normal(-fold)
CYFIP2	CYFIP2	10.11 +/- 0.34	9.87 +/- 0.93	n.s.	1.18
IL8	IL8	5.02 +/- 0.97	4.76 +/- 1.77	n.s.	1.19
	IL1beta	5.51 +/- 0.98	6.50 +/- 1.96	n.s.	0.5
IL12A	IL12A	17.31 +/- 1.23	16.90 +/- 0.84	n.s.	1.32
	IFNgamma	20.20 +/- 1.48	17.14 +/- 1.09	n.s.	8.34
TNF	TNFSF2	9.65 +/- 1.14	9.83 +/- 1.68	n.s.	0.88
LTB	TNFSF3	11.84 +/- 1.77	10.14 +/- 1.05	<0.05	3.25
TNFSF10	TNFSF10	8.55 +/- 0.41	7.95 +/- 0.48	<0.05	1.51
TNFSF12	TNFSF12	9.13 +/- 0.29	9.49 +/- 0.71	n.s.	0.77
TNFSF13B	TNFSF13B	8.22 +/- 0.80	8.67 +/- 0.41	n.s.	0.73
	PDGFbeta	20.50 +/- 0.72	21.40 +/- 1.03	n.s.	0.54
