Index	Mutated	Normal	FC	P value	FDR	Probe set	Description	Gene symbol
113	1342	128	10,52	0,000503	0,240	202018_s_at	Lactotransferrin	LTF
616	362	46,7	7,76	0,003493	0,308	237395_at	Cytochrome P450, family 4, subfamily Z, polypeptide 1	CYP4Z1
3073	1009	142	7,10	0,021674	0,385	206378_at	Secretoglobin, family 2A, member 2	SCGB2A2
376	119	17,7	6,68	0,001962	0,284	214451_at	Transcription factor AP-2 beta	TFAP2B
578	337	60,5	5,57	0,003174	0,300	227702_at	Cytochrome P450, family 4, subfamily X, polypeptide 1	CYP4X1
146	210	38,4	5,47	0,000669	0,244	219768_at	V-set domain containing T cell activation inhibitor 1	VTCN1
86	129	24,2	5,31	0,000327	0,201	204607_at	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	HMGCS2
2613	78,7	15,9	4,95	0,017744	0,371	205358_at	Glutamate receptor, ionotropic, AMPA 2	GRIA2
116	23,2	4,83	4,81	0,000513	0,240	203908_at	Solute carrier family 4, sodium bicarbonate cotransporter, member 4	SLC4A4
117	79,4	18,0	4,42	0,000518	0,240	239723_at	Solute carrier family 40 (iron-regulated transporter), member 1	SLC40A1
625	56,6	13,0	4,34	0,003549	0,308	1553394_a_at	Transcription factor AP-2 beta	TFAP2B
413	148	34,6	4,28	0,002175	0,286	240304_s_at	Transmembrane channel-like 5	TMC5
5181	216	50,9	4,25	0,039946	0,421	223864_at	Ankyrin repeat domain 30A	ANKRD30A
179	446	106	4,21	0,000826	0,244	223315_at	Netrin 4	NTN4
246	120	29,2	4,12	0,001128	0,251	210096_at	Cytochrome P450, family 4, subfamily B, polypeptide 1	CYP4B1
1043	312	80,2	3,89	0,006080	0,319	204041_at	Monoamine oxidase B	MAOB
192	44,1	11,6	3,80	0,000899	0,244	1553434_at	Cytochrome P450 4Z2 pseudogene	CYP4Z2P
2038	52,4	14,3	3,65	0,013273	0,355	211682_x_at	UDP glucuronosyltransferase 2 family, polypeptide B28	UGT2B28
819	69,6	19,6	3,54	0,004678	0,312	218963_s_at	Keratin 23 (histone deacetylase inducible)	KRT23
451	56,1	15,9	3,53	0,002410	0,288	230238_at	Ankyrin repeat domain 43	ANKRD43
177	85,8	24,3	3,52	0,000819	0,244	202888_s_at	Alanyl (membrane) aminopeptidase	ANPEP
1	40,9	11,9	3,43	0,000004	0,099	231227_at	Wingless-type MMTV integration site family, member 5A	WNT5A
1208	121	35,3	3,42	0,007161	0,324	219580_s_at	Transmembrane channel-like 5	TMC5
118	171	51,7	3,30	0,000526	0,240	204364_s_at	Receptor accessory protein 1	REEP1
680	15,2	4,62	3,29	0,003908	0,308	232277_at	Solute carrier family 28 member 3	SLC28A3
48	91,7	28,0	3,28	0,000195	0,201	219557_s_at	Nuclear receptor interacting protein 3	NRIP3
1871	339	105	3,24	0,012080	0,353	204014_at	Dual specificity phosphatase 4	DUSP4
1000	123	38,0	3,23	0,005782	0,316	203355_s_at	Pleckstrin and Sec7 domain containing 3	PSD3
521	80,7	25,4	3,18	0,002775	0,291	219630_at	PDZK1 interacting protein 1	PDZK1IP1
3570	73,4	23,7	3,10	0,025784	0,394	226147_s_at	Polymeric immunoglobulin receptor	PIGR
1001	20,8	6,75	3,08	0,005791	0,316	238133_at	Netrin G1	NTNG1
2553	1238	402	3,08	0,017275	0,370	219197_s_at	Signal peptide, CUB domain, EGF-like 2	SCUBE2
6088	237	77,6	3,06	0,049699	0,446	229764_at	Tumor protein p63 regulated 1	TPRG1
133	66,1	21,7	3,05	0,000589	0,240	230316_at	SEC14-like 2 (S. cerevisiae)	SEC14L2
102	79,0	26,1	3,03	0,000402	0,216	204541_at	SEC14-like 2 (S. cerevisiae)	SEC14L2
53	19,2	6,32	3,03	0,000205	0,201	209292_at	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	ID4
98	28,1	9,36	3,00	0,000382	0,213	204855_at	Serpin peptidase inhibitor, clade B (ovalbumin), member 5	SERPINB5
150	1110	371	2,99	0,000691	0,244	227556_at	Nucleoside diphosphate kinase 7	NME7
4302	326	110	2,97	0,032016	0,407	212774_at	Zinc finger protein 238	ZNF238
1484	65,9	22,2	2,97	0,009119	0,336	220177_s_at	Transmembrane protease, serine 3	TMPRSS3
15	129	43,4	2,96	0,000054	0,191	209291_at	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	ID4
268	204	68,9	2,96	0,001277	0,260	217966_s_at	Family with sequence similarity 129, member A	FAM129A
55	110	37,1	2,96	0,000212	0,201	212325_at	LIM and calponin homology domains 1	LIMCH1
987	113	38,1	2,96	0,005695	0,315	222904_s_at	Transmembrane channel-like 5	TMC5
227	40,0	13,6	2,93	0,001050	0,250	222862_s_at	Adenylate kinase 5	AK5
284	177	60,7	2,92	0,001390	0,263	222288_at	Hypothetical protein FLJ20489	-
392	211	72,6	2,91	0,002058	0,285	227182_at	Sushi domain containing 3	SUSD3
389	45,7	15,8	2,89	0,002023	0,284	223949_at	Transmembrane protease, serine 3	TMPRSS3
194	26,6	9,28	2,87	0,000900	0,244	205513_at	Transcobalamin I (vitamin B12 binding protein, R binder family)	TCN1
1174	283	99,0	2,86	0,006896	0,321	204015_s_at	Dual specificity phosphatase 4	DUSP4
555	78,8	27,6	2,85	0,003021	0,296	1553589_a_at	PDZK1 interacting protein 1	PDZK1IP1
28	121	42,5	2,84	0,000131	0,201	205990_s_at	Wingless-type MMTV integration site family, member 5A	WNT5A
364	83,8	29,7	2,82	0,001899	0,284	203354_s_at	Pleckstrin and Sec7 domain containing 3	PSD3
100	144	51,0	2,82	0,000390	0,213	206401_s_at	Microtubule-associated protein tau	MAPT
72	46,1	16,4	2,81	0,000277	0,201	213425_at	Wingless-type MMTV integration site family, member 5A	WNT5A
27	1769	641	2,76	0,000127	0,201	201242_s_at	ATPase, Na+/K+ transporting, beta 1 polypeptide	ATP1B1
2139	167	61,4	2,72	0,014063	0,359	225728_at	Sorbin and SH3 domain containing 2	SORBS2
204	183	67,2	2,72	0,000935	0,244	228481_at	Periostin, osteoblast specific factor	POSTN
56	873	322	2,71	0,000216	0,201	201243_s_at	ATPase, Na+/K+ transporting, beta 1 polypeptide	ATP1B1
280	27,5	10,2	2,71	0,001368	0,263	219308_s_at	Adenylate kinase 5	AK5
1117	21,9	8,12	2,70	0,006533	0,319	204455_at	Dystonin	DST
548	23,9	8,88	2,69	0,002964	0,295	1563367_at	Hypothetical protein LOC100128977	LOC100128977
3020	54,5	20,2	2,69	0,021271	0,385	207981_s_at	Estrogen-related receptor gamma	ESRRG
19	273	101	2,69	0,000081	0,201	212328_at	LIM and calponin homology domains 1	LIMCH1
1231	188	70,0	2,69	0,007320	0,324	204288_s_at	Sorbin and SH3 domain containing 2	SORBS2
1794	144	54,5	2,64	0,011486	0,350	203130_s_at	Kinesin family member 5C	KIF5C
714	63,3	24,1	2,63	0,004096	0,308	227154_at	Immunoglobin superfamily, member 21	IGSF21
1524	47,2	18,0	2,62	0,009416	0,337	231098_at	Transcribed locus	-
375	43,6	16,7	2,61	0,001960	0,284	226847_at	Follistatin	FST
590	59,4	22,9	2,59	0,003254	0,301	243806_at	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	SIAT8F
4089	55,1	21,3	2,58	0,030066	0,402	209480_at	Major histocompatibility complex, class II, DQ beta 1	HLA-DQB1
2399	588	228	2,58	0,015996	0,365	207847_s_at	Mucin 1, cell surface associated	MUC1
1299	85,1	33,4	2,55	0,007740	0,325	219440_at	Retinoic acid induced 2	RAI2
256	57,6	22,6	2,55	0,001196	0,255	222900_at	Nuclear receptor interacting protein 3	NRIP3
1455	103	40,5	2,53	0,008896	0,334	211000_s_at	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	IL6ST
5348	61,6	24,4	2,52	0,041927	0,429	209351_at	Keratin 14	KRT14
196	44,4	17,8	2,50	0,000908	0,244	226029_at	Vang-like 2 (van gogh, Drosophila)	VANGL2
166	193	77,3	2,49	0,000777	0,244	212327_at	LIM and calponin homology domains 1	LIMCH1
141	86,0	34,5	2,49	0,000645	0,244	243030_at	Mitogen-activated protein kinase kinase kinase 1	MAP3K1
90	242	97,2	2,49	0,000332	0,201	202149_at	Neural precursor cell expressed, developmentally down-regulated 9	NEDD9
1591	1263	509	2,48	0,009901	0,340	201667_at	Gap junction protein, alpha 1, 43kDa	GJA1
1408	62,9	25,5	2,47	0,008513	0,330	224358_s_at	Membrane-spanning 4-domains, subfamily A, member 7	MS4A7
5145	52,1	21,1	2,46	0,039615	0,421	213695_at	Paraoxonase 3	PON3
1310	426	173	2,46	0,007819	0,325	217967_s_at	Family with sequence similarity 129, member A	FAM129A
8	359	146	2,46	0,000015	0,099	212240_s_at	Phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	PIK3R1
658	41,6	17,1	2,43	0,003814	0,308	239907_at	Transcribed locus	-
2749	794	327	2,43	0,019005	0,378	202357_s_at	Complement factor B	CFB
4852	55,2	22,8	2,42	0,036972	0,417	229030_at	Calpain 8	CAPN8
2562	48,7	20,1	2,42	0,017375	0,371	209369_at	Annexin A3	ANXA3
