Gene symbol	Gene	Associated syndrome	Signal	Effect of serum
COMP	Cartilage oligomeric matrix protein	Pseudoachondrodysplasia, mult. epiphyseal dysplasia	10.6	Increased
AGC1	Aggrecan 1	Dwarfism, spinal abnormalitiesa	9.7	Increased
MATN3	Matrilin 3	Multiple epiphyseal dysplasia	5.5	Increased
FN1	Fibronectin 1	Ehlers-Danlos syndrome (type X)	14.9	Unchanged
SPARC	Secreted prot., acidic, cys.-rich (osteonectin)	Eye abnormalities and osteopeniaa	14.2	Unchanged
COL1A1	Collagen, type I, alpha 1	Osteogenesis imperfecta	13	Unchanged
COL11A1	Collagen, type XI, alpha 1	Stickler syndrome (type II), Marshal syndrome	12.9	Unchanged
COL5A2	Collagen, type V, alpha 2	Ehlers-Danlos syndrome (types I and II)	11.7	Unchanged
HXB	Hexabrachion (tenascin C)	No phenotypea	11.2	Unchanged
DGCR6	DiGeorge syndrome critical region gene 6	DiGeorge syndrome	11	Unchanged
CRTL1	Cartilage linking protein 1	Spondyloepiphyseal dysplasiaa	10.9	Unchanged
HSPG2	Heparan sulfate proteoglycan 2 (perlecan)	Schwartz-Jampel syndrome, dyssegmental dysplasia	10.8	Unchanged
COL4A1	Collagen, type IV, alpha 1		10	Unchanged
CSPG2	Chondroitin sulfate proteoglycan 2 (versican)		9.6	Unchanged
MGP	Matrix gla protein	Keutel syndrome	8.9	Unchanged
FBLN5	Fibulin 5	Cutis laxa (autosomal recessive)	8.6	Unchanged
COL7A1	Collagen, type VII, alpha 1	Epidermolysis bullosa dystrophica	8	Unchanged
COL3A1	Collagen, type III, alpha 1	Ehlers-Danlos syndrome (types III and IV)	12.5	Decreased
CHMI	Chondromodulin I precursor	No phenotypea	ND	Induced
COL10A1	Collagen, type X, alpha 1	Metaphyseal chondrodysplasia (Schmid type)	ND	Induced
ELN	Elastin	Supravalvular aortic stenosis	ND	Induced
BGLAP	Bone gla protein (osteocalcin)	Subtle changes in bone mineralizationa	ND	Unchanged
COL2A1	Collagen, type II, alpha 1	Spondyloepiphyseal dysplasia, Kniest dysplasia	ND	Unchanged
COL9A1	Collagen, type IX, alpha 1	multiple epiphyseal dysplasia	ND	Unchanged
SPP1	Secreted phosphoprotein 1 (osteopontin)	Subtle changes in bone mineralizationa	ND	Unchanged
