Symbol (HUGO)	Gene	Microarray data ratio  DMD/REF	Microarray data ratio AGING/REF	Domain
ITPR3	inositol 1,4,5-triphosphate receptor, type 3	-0.493154203	-0.2830119	calcium ion
CACNA1D	calcium channel, voltage-dependent, L type, alpha 1D subunit	-0.466040025	-0.9573424	calcium ion
RYR3	ryanodine receptor 3	-0.36288225	-0.6817275	calcium ion
CACNB2	calcium channel, voltage-dependent, beta 2 subunit	-0.289010279	-0.687426425	calcium ion
ATP2B3	ATPase, Ca++ transporting, plasma membrane 3	-0.384214625	0.33202515	calcium ion
PLN	phospholamban	-0.7510328	NS	calcium ion
TRPC7	putative capacitative calcium channel	-0.58278955	NS	calcium ion
TRPC3	transient receptor potential cation channel, subfamily C, member 3	-0.561273347	NS	calcium ion
CACNB3	calcium channel, voltage-dependent, beta 3 subunit	-0.1990925	NS	calcium ion
ATP2B2	ATPase, Ca++ transporting, plasma membrane 2	-0.164330775	NS	calcium ion
CACNG7	calcium channel, voltage-dependent, gamma subunit 7	0.5316933	0.31748106	calcium ion
CACNG8	calcium channel, voltage-dependent, gamma subunit 8	0.3484419	NS	calcium ion
CACNG4	calcium channel, voltage-dependent, gamma subunit 4	NS	-0.34447095	calcium ion
ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	NS	0.337979	calcium ion
CCL8	chemokine (C-C motif) ligand 8	NS	0.4147241	calcium ion
ITPR2	inositol 1,4,5-triphosphate receptor, type 2	NS	0.23499525	calcium ion
ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	-0.529731025	-0.224889193	cell adhesion
PCDH12	protocadherin 12	-0.45321991	-0.8927684	cell adhesion
CDH9	cadherin 9, type 2 (T1-cadherin)	-0.39502575	-0.3369936	cell adhesion
ITGB8	integrin, beta 8	-0.394693225	-0.2611023	cell adhesion
ADRM1	adhesion regulating molecule 1	-0.31040895	-0.3913027	cell adhesion
CDH16	cadherin 16, KSP-cadherin	-0.339804325	NS	cell adhesion
TYRO3	TYRO3 protein tyrosine kinase	-0.4247102	NS	cell adhesion
LAMA1	laminin, alpha 1	-0.515233436	NS	cell adhesion
CDH8	cadherin 8, type 2	-0.2912714	NS	cell adhesion
PTPNS1	protein tyrosine phosphatase, non-receptor type substrate 1	-0.259678363	NS	cell adhesion
CD44	CD44 antigen (homing function and Indian blood group system)	-0.2174149	NS	cell adhesion
NID	nidogen (enactin)	0.207604105	0.258166748	cell adhesion
LAMA5	laminin, alpha 5	0.22555865	0.287321545	cell adhesion
CDH19	cadherin 19, type 2	0.401754875	0.40962755	cell adhesion
PTPRF	protein tyrosine phosphatase, receptor type, F	0.401807437	0.254309	cell adhesion
ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	0.535616636	0.32031995	cell adhesion
COL6A2	collagen, type VI, alpha 2	0.54673895	0.322124325	cell adhesion
CTNNA1	catenin (cadherin-associated protein), alpha 1, 102kDa	0.7181337	0.451671625	cell adhesion
ITGB5	integrin, beta 5	0.2416921	NS	cell adhesion
GP1BA	glycoprotein Ib (platelet), alpha polypeptide	0.277461704	NS	cell adhesion
ITGA7	integrin, alpha 7	0.287976775	NS	cell adhesion
LAMA3	laminin, alpha 3	0.30225265	NS	cell adhesion
CLSTN1	calsyntenin 1	0.38185185	NS	cell adhesion
COL4A6	collagen, type IV, alpha 6	0.4060466	NS	cell adhesion
FBLN5	fibulin 5	0.413095545	NS	cell adhesion
CDH2	cadherin 2, type 1, N-cadherin (neuronal)	0.42880855	NS	cell adhesion
ITGB4	integrin, beta 4	0.485799825	NS	cell adhesion
SCGF	stem cell growth factor; lymphocyte secreted C-type lectin	0.535346025	NS	cell adhesion
COL6A3	collagen, type VI, alpha 3	0.5561714	NS	cell adhesion
NID2	nidogen 2 (osteonidogen)	0.590008375	NS	cell adhesion
CD34	CD34 antigen	0.601390425	NS	cell adhesion
PCDHB14	protocadherin beta 14	0.6039136	NS	cell adhesion
ILK	integrin-linked kinase	0.647367	NS	cell adhesion
SPP1	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	0.7617777	NS	cell adhesion
LAMB1	laminin, beta 1	0.791153775	NS	cell adhesion
MCAM	melanoma cell adhesion molecule	1.0943835	NS	cell adhesion
CDH4	cadherin 4, type 1, R-cadherin (retinal)	NS	-0.45997425	cell adhesion
CDH23	cadherin related 23	NS	-0.31101615	cell adhesion
PCDHGA8	protocadherin gamma subfamily A, 8	NS	-0.44878525	cell adhesion
DSC2	desmocollin 2	NS	-0.288814645	cell adhesion
FCN1	ficolin (collagen/fibrinogen domain containing) 1	NS	-0.48439625	cell adhesion
ITGA9	integrin, alpha 9	NS	-0.3783271	cell adhesion
MMRN	multimerin	NS	-0.2507193	cell adhesion
DPT	dermatopontin	NS	0.61156305	cell adhesion
PLXNC1	plexin C1	NS	0.6043818	cell adhesion
CDH1	cadherin 1, type 1, E-cadherin (epithelial)	NS	0.320724175	cell adhesion
SORBS1	sorbin and SH3 domain containing 1	NS	0.337225	cell adhesion
WISP2	WNT1 inducible signaling pathway protein 2	NS	0.4497886	cell adhesion
SOLUBLECD44(CD4-1A	soluble CD44 (CD44) mRNA, with exon v10 extension, partial cds.	NS	0.45	cell adhesion
AAMP	angio-associated, migratory cell protein	-0.61825025	-0.7008532	cell motility
HGFAC	HGF activator	-0.25706755	NS	cell motility
SEMA3B	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	0.35392495	0.343656365	cell motility
CAPZA1	capping protein (actin filament) muscle Z-line, alpha 1	0.409725995	0.412644925	cell motility
TSPAN-1	tetraspan 1	0.4316834	NS	cell motility
ARPC1B	actin related protein 2/3 complex, subunit 1B, 41kDa	0.570305075	NS	cell motility
CALM3	calmodulin 3 (phosphorylase kinase, delta)	NS	-0.373699075	cell motility
SEMA6A	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	NS	0.435825795	cell motility
DCTN3	dynactin 3 (p22)	-0.864798642	NS	cytokinesis
CDC2	cell division cycle 2, G1 to S and G2 to M	-0.449369975	NS	cytokinesis
PPP1CC	protein phosphatase 1, catalytic subunit, gamma isoform	-0.19704625	NS	cytokinesis
CETN2	centrin, EF-hand protein, 2	0.40778095	NS	cytokinesis
CCNG1	cyclin G1	NS	0.40982245	cytokinesis
IL8	interleukin 8	-0.990014829	NS	defense response
MBP	myelin basic protein	-0.8252757	NS	defense response
C6	complement component 6	-0.807926925	-0.390701563	defense response
CCL13	chemokine (C-C motif) ligand 13	-0.753801525	-0.3703296	defense response
GAGEB1	G antigen, family B, 1 (prostate associated)	-0.64411075	-0.614065525	defense response
ULBP3	UL16 binding protein 3	-0.601396325	-0.423838675	defense response
HLA-G	HLA-G histocompatibility antigen, class I, G	-0.5443039	-0.73373195	defense response
FLJ10979	hypothetical protein FLJ10979	-0.53040095	-0.7561844	defense response
C8A	complement component 8, alpha polypeptide	-0.477746825	-0.2448879	defense response
DPP4	dipeptidylpeptidase IV (CD26, adenosine deaminase complexing protein 2)	-0.4581545	0.285821958	defense response
CX3CR1	chemokine (C-X3-C motif) receptor 1	-0.453052575	-0.4359734	defense response
SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	-0.450031925	NS	defense response
CCR5	chemokine (C-C motif) receptor 5	-0.440255075	NS	defense response
KLKB1	kallikrein B, plasma (Fletcher factor) 1	-0.43562	-0.2417418	defense response
AIRE	autoimmune regulator (automimmune polyendocrinopathy candidiasis ectodermal dystrophy)	-0.431614088	-0.692243675	defense response
IL16	interleukin 16 (lymphocyte chemoattractant factor)	-0.412173575	NS	defense response
NCR1	natural cytotoxicity triggering receptor 1	-0.3987614	-0.4996453	defense response
ORM1	orosomucoid 1	-0.3930201	NS	defense response
OPRK1	opioid receptor, kappa 1	-0.3686521	-0.373812125	defense response
PPBP	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	-0.362292	NS	defense response
DNAM-1	adhesion glycoprotein	-0.348811	NS	defense response
IFNG	interferon, gamma	-0.33085245	NS	defense response
CCRL1	chemokine (C-C motif) receptor-like 1	-0.32419795	0.4111678	defense response
TNF	tumor necrosis factor (TNF superfamily, member 2)	-0.299508	NS	defense response
IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	-0.29538883	NS	defense response
IL19	interleukin 19	-0.244797925	-0.41331715	defense response
TNFRSF5	tumor necrosis factor receptor superfamily, member 5	-0.24028615	-0.7421089	defense response
LCN1	lipocalin 1 (protein migrating faster than albumin, tear prealbumin)	-0.224726929	-0.6311997	defense response
IL21R	interleukin 21 receptor	0.219344975	NS	defense response
FN1	fibronectin 1	0.342351	NS	defense response
PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	0.3663842	NS	defense response
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	0.369624175	0.3402384	defense response
IFI30	interferon, gamma-inducible protein 30	0.45697685	NS	defense response
CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	0.4598966	0.234072	defense response
APOL3	apolipoprotein L, 3	0.462643268	NS	defense response
GPI	glucose phosphate isomerase	0.489358275	NS	defense response
