Probeset id	Gene name	Relative expression in ABC subtype	P value
203434_s_at	MME	0.132278	1.13E-08
200644_at	MARCKSL1	0.329419	1.15E-05
231887_s_at	KIAA1274	0.292135	0.000428
210957_s_at	AFF2	0.259275	0.001387
1569034_a_at	LOC440864	0.255301	0.001387
213906_at	MYBL1	0.109777	0.001519
203140_at	BCL6	0.280438	0.002314
200952_s_at	CCND2	3.198628	0.002548
226818_at	MPEG1	3.234286	0.003641
238353_at	RASL11A	0.221408	0.004212
208456_s_at	RRAS2	0.271944	0.004212
200953_s_at	CCND2	3.121784	0.004212
229437_at	BIC	4.01049	0.00471
1564078_at	ADAM29	0.21113	0.00592
203921_at	CHST2	3.378442	0.012226
227189_at	CPNE5	0.34044	0.038768
210146_x_at	LILRB2	2.99697	0.048152
209924_at	CCL18	3.105019	0.06152
220059_at	STAP1	0.291457	0.070096
225353_s_at	C1QC	3.31241	0.07347
1554343_a_at	STAP1	0.335478	0.104217
227265_at	FGL2	3.078797	0.116685
32128_at	CCL18	3.153534	0.135954
224405_at	FCRL5	2.854751	0.207072
