Pathway	Gene symbol	Fold change
Regulation of actin cytoskeleton	Itgav	2.8284
Regulation of actin cytoskeleton	Fgfr1	2.2974
Regulation of actin cytoskeleton	Iqgap1	2.4623
Regulation of actin cytoskeleton	F2r	3.4822
Regulation of actin cytoskeleton	Abi2	3.0314
Regulation of actin cytoskeleton	Actn4	2.1435
Regulation of actin cytoskeleton	Fgf12	3.4822
Regulation of actin cytoskeleton	Ssh1	2.2974
Regulation of actin cytoskeleton	Gna13	2.2974
Regulation of actin cytoskeleton	Itga8	2.639
Regulation of actin cytoskeleton	Arpc2	2.8284
Regulation of actin cytoskeleton	Actn1	2.4623
Focal adhesion,	Col3a1	5.278
ECM-receptor interaction	Igf1r	3.4822
ECM-receptor interaction	Col5a2	5.6569
ECM-receptor interaction	Igf1	4.5948
ECM-receptor interaction	Col1a2	6.498
ECM-receptor interaction	Zyx	2.1435
ECM-receptor interaction	Parva	2.4623
ECM-receptor interaction	Ccnd2 (cyclin D2)	4.9246
ECM-receptor interaction	Col6a2	2.4622
ECM-receptor interaction	cd44	2.4623
ECM-receptor interaction	Sdc4	4.2871
Tight junction	Gnai2	2
Tight junction	Epb4.1	2
Tight junction	Cldn5	4.2871
Tight junction	Ppp2ca	2
Tight junction	Myh11	2
Tight junction	Spnb2	2.639
Tight junction	Myh7	14.9285
Oxidative phosphorylation	Ndufa4	-2
Oxidative phosphorylation	Atp5g2	-2
Oxidative phosphorylation	Ndufab1	-2.1435
Oxidative phosphorylation	Atp5a1	-2
Oxidative phosphorylation	Ndufa9	-2
Oxidative phosphorylation	Uqcrc2	-2
Oxidative phosphorylation	Ndufs8	-2.1435
Oxidative phosphorylation	Atp6v1c1	2.1435
Oxidative phosphorylation	Cox7a1	-2.639
Oxidative phosphorylation	Sdha	-2.8284
Oxidative phosphorylation	Atp5j	-2
Oxidative phosphorylation	Atp5c1	-2
Oxidative phosphorylation	Ndufv2	-2.1435
Oxidative phosphorylation	Sdhd	-2.8284
Citrate cycle (TCA cycle)	Idh2	-2.2974
Citrate cycle (TCA cycle)	Dld	-4
Citrate cycle (TCA cycle)	Cs	-4.2871
Citrate cycle (TCA cycle)	Sucla2	-2.1435
Citrate cycle (TCA cycle)	Idh3a	-4
Citrate cycle (TCA cycle)	Mdh1	-2
