Probe set	Gene symbol	MM1S FC	OPM1 FC	Description
212986_s_at	TLK2	-2.65		Tousled-like kinase 2
203725_at	GADD45A	2.58		Growth arrest and DNA-damage-inducible, alpha
222879_s_at	POLH	3.34		Polymerase (DNA directed), eta
203409_at	DDB2	3.81		Damage-specific DNA binding protein 2, 48kDa
236535_at	SMC6		-16.06	SMC6 structural maintenance of chromosomes 6-like 1 (yeast)
209849_s_at	RAD51C		-5.26	RAD51 homolog C (S. cerevisiae)
209902_at	ATR		-4.74	Ataxia telangiectasia and Rad3 related
228535_at	RAD1		-4.69	RAD1 homolog (S. pombe)
204146_at	RAD51AP1		-4.59	RAD51 associated protein 1
210416_s_at	CHEK2		-3.99	CHK2 checkpoint homolog (S. pombe)
201589_at	SMC1A		-3.41	SMC1 structural maintenance of chromosomes 1-like 1 (yeast)
201223_s_at	RAD23B		-2.95	RAD23 homolog B (S. cerevisiae)
218527_at	APTX		-2.9	Aprataxin
214426_x_at	CHAF1A		-2.65	Chromatin assembly factor 1, subunit A (p150)
205024_s_at	RAD51		-2.61	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)
219510_at	POLQ		-2.59	Polymerase (DNA directed), theta
223261_at	POLK		-2.48	Polymerase (DNA directed) kappa
201746_at	TP53		2.42	Tumor protein p53 (Li-Fraumeni syndrome)
210886_x_at	TP53AP1		3.54	TP53-activated protein 1
205072_s_at	XRCC4	-9.32	-19.94	X-ray repair complementing defective repair in cells 4
208393_s_at	RAD50	-3.93	-7.95	RAD50 homolog (S cerevisiae)
208643_s_at	XRCC5	-2.5	-14.01	X-ray repair complementing defective repair in cells 5
235609_at	BRIP1	-2.42	-7.32	BRCA1-interacting protein C-terminal helicase 1
239635_at	TMEM137	2.52	3.81	RNA-binding motif protein 14
205875_s_at	TREX1	2.72	4.21	Three prime repair exonuclease 1
238736_at	REV3L	4.18	3.5	REV3-like, catalytic subunit of DNA polymerase zeta (yeast)
