Name	HCCLM6/SMMC-7721 ratio	Description	Expression
MAZ	3.1	MYC-associated zinc finger protein	Up-regulation
E4BP4	2.86	nuclear factor, IL- 3 regulated	Up-regulation
c-Myb	2.8	v-myb myeloblastosis viral oncogene	Up-regulation
GATA-2	2.74	GATA binding protein 2	Up-regulation
TEF1	2.73	activator	Up-regulation
PEBP2	2.39	polyoma enhancer binding protein 2	Up-regulation
Smad3/4	2.27	MADH3/4	Up-regulation
IRF-1/2	2.21	interferon regulatory factor 1/2	Up-regulation
PEBP	2.13	polyoma enhancer binding protein	Up-regulation
GAG	2.13	amyloid precursor protin (APP) regulator	Up-regulation
ADR1	2.1	alcohol dehydrogenase regulatory gene 1	Up-regulation
NF-E2	0.19	nuclear factor (erythroid-derived 2), 45 kDa	Down-regulation
EGR	0.21	early growth response	Down-regulation
C/EBPa	0.22	CCAAT/enhancer binding protein alpha	Down-regulation
E2F-1	0.28	E2F transcription factor 1	Down-regulation
CYP1A1	0.3	cytochrome P450-c	Down-regulation
HiNF-A	0.31	A nuclear protein	Down-regulation
Sp1	0.31	Sp1 transcription factor	Down-regulation
E12/E47	0.31	enhancer binding factors E12/E47	Down-regulation
PARP	0.34	poly(ADP-ribose) synthetase/polymerase	Down-regulation
ELK1	0.34	member of ETS oncogene family	Down-regulation
E4F1	0.34	E4F transcription factor 1	Down-regulation
