Gene Symbol	Gene name	UniGene annotation	Fold-change/Coefficient of variation
TIMD2	TIMD2: T-cell immunoglobulin and mucin domain containing 2	Mm.234654	0.16/18%
TNFRSF19L	TNFRSF19L: tumor necrosis factor receptor superfamily, member 19-like	Mm.40336	0.22/11%
GHR	GHR: growth hormone receptor	Mm.3986	0.22/21%
CXCL7	CXCL7: chemokine (C-X-C motif) ligand 7	Mm.293614	0.28/29%
CCL19	CCL19: chemokine (C-C motif) ligand 19	Mm.258946	0.29/13%
IGF1	IGF1: insulin-like growth factor I	Mm.268521	0.30/10%
TBLYM	TBLYM: transcription factor TBLYM	Mm.94519	0.34/26%
OSM	OSM: oncostatin M precursor	Mm.131422	0.43/5%
SCYE1	SCYE1: small inducible cytokine subfamily E member 1	Mm.235137	0.44/11%
IL1RN	IL1RN: interleukin-1 receptor antagonist	Mm.882	0.46/21%
SOCS6	SOCS6: suppressor of cytokine signaling 6	Mm.91920	0.46/24%
IL17BR	IL17BR:interleukin-17B receptor	Mm.269363	0.47/16%
IGF2	IGF2: insulin-like growth factor II	Mm.3862	0.50/8%
IL13	IL13: interleukin-13	Mm.1284	0.53/4%
GPR44	GPR44: putative G protein-coupled receptor GPR44	Mm.56903	0.55/27%
TNFRSF19	TNFRSF19: tumor necrosis factor receptor superfamily member 19	Mm.281356	0.58/9%
CSF1	CSF1: macrophage colony stimulating factor-1	Mm.795	0.59/21%
CXCL12	CXCL12: chemokine (C-X-C motif) ligand 12	Mm.303231	0.60/11%
TNFRSF9	TNFRSF9: tumor necrosis factor receptor superfamily member 9	Mm.244187	0.61/27%
CCR4	CCR4: chemokine (C-C motif) receptor 4	Mm.1337	0.63/21%
TNFRSF5	TNFRSF5: tumor necrosis factor receptor superfamily 5	Mm.271833	1.57/22%
CXCL9	CXCL9: chemokine ligand 9	Mm.766	1.68/21%
TNFRSF11B	TNFRSF11B: tumor necrosis factor receptor superfamily 11B	Mm.15383	1.61/13%
GZMA	GZMA: GRANZYME A	Mm.15510	1.65/19%
IFRD1	IFRD1: interferon-related developmental regulator 1	Mm.168	1.71/16%
DDR3	DDR3: death domain receptor 3	Mm.101198	1.71/30%
EDA	EDA: ECTODYSPLASIN A.	Mm.328086	1.77/17%
CCL2	CCL2: chemokine (C-C motif) ligand 2	Mm.290320	1.91/17%
IL22R	IL22R: IL-22 receptor, alpha 1	Mm.261647	1.91/30%
CXCL16	CXCL16: chemokine (C-X-C motif) ligand 16	Mm.46424	1.93/18%
CCR5	CCR5: chemokine (C-C motif) receptor 5	Mm.14302	2.00/30%
PRF1	PRF1: PERFORIN 1	Mm.240313	2.06/16%
TXLN	TXLN: TAXILIN	Mm.268863	2.14/30%
F3	F3: coagulation factor III	Mm.273188	2.51/9%
IL23R	IL23R: interleukin-23 receptor	Mm.221227	2.59/17%
MPL	MPL: thrombopoietin receptor	Mm.4864	2.66/11%
IL1F5	IL1F5: interleukin 1 family member 5	Mm.29261	2.91/4%
GZMB	GZMB: GRANZYME B	Mm.14874	3.49/28%
CCL5	CCL5: chemokine (C-C motif) ligand 5	Mm.284248	6.06/29%
CXCL10	CXCL10: chemokine (C-X-C motif) ligand 10	Mm.877	6.72/5%
