Genes	Up or downregulated in relapse signature compared to diagnosis	Pt1	Pt2	Pt3	Reh	RS4:11	MV4:11
BIRC5	Upregulated	Y	Y	Y	Y	Y	Y
PSAP	Upregulated	N	N	N	N	N	N
AP2S1	Upregulated	N	Y	N	N	Y	N
PTBP1	Upregulated	Y	Y	Y	N	Y	Y
FOXM1	Upregulated	Y	Y	Y	Y	Y	Y
GTSE1	Upregulated	N	Y	Y	N	N	Y
TAF13	Upregulated	Y	N	N	N	N	N
HMGA1	Upregulated	N	Y	Y	N	N	N
MCM7	Upregulated	Y	Y	Y	Y	Y	N
KIF2C	Upregulated	N	Y	Y	N	N	Y
GTSE1	Upregulated	N	Y	N	Y	N	N
AP2S1	Upregulated	N	N	N	N	Y	N
TYMS	Upregulated	Y	Y	Y	N	Y	Y
FANCD2	Upregulated	Y	Y	Y	N	Y	Y
KIAA0101	Upregulated	N	Y	Y	Y	Y	N
PTBP1	Upregulated	Y	Y	Y	N	Y	Y
MRPS18B	Upregulated	N	N	N	Y	Y	Y
ORC6L	Upregulated	N	Y	Y	N	N	N
PRR11	Upregulated	N	N	N	Y	N	N
ATP1A1	Upregulated	N	Y	Y	N	N	N
CTTN	Upregulated	Y	Y	NA	NA	N	N
BGN	Upregulated	NA	NA	NA	NA	NA	NA
SLC9A3R1	Upregulated	N	N	N	N	N	N
TK1	Upregulated	N	Y	N	N	Y	N
GAA	Upregulated	N	N	N	Y	Y	N
SLC37A4	Upregulated	N	N	N	N	Y	N
AMOTL2	Upregulated	NA	N	NA	NA	NA	NA
AKR1C1	Upregulated	N	Y	N	Y	N	N
ESPL1	Upregulated	N	Y	N	N	N	N
RELN	Upregulated	N	Y	N	NA	N	NA
HIST1H4A	Upregulated	N	N	N	N	N	N
ST7	Upregulated	NA	Y	Y	NA	N	Y
AP2S1	Upregulated	N	N	N	N	Y	N
NEF-sp,LOC81691	Upregulated	N	Y	N	N	N	N
DMC1	Upregulated	N	Y	N	Y	NA	N
septin8	Upregulated	N	N	N	N	N	N
GART	Upregulated	Y	Y	N	NA	N	N
GRN	Upregulated	N	N	N	N	N	N
AKR1C2	Upregulated	Y	N	N	NA	N	N
TMEM97	Upregulated	Y	Y	N	N	Y	N
C10orf56	Upregulated	N	N	N	N	N	N
C10orf56	Upregulated	N	N	N	N	N	N
MSTP9	Upregulated	N	N	N	NA	Y	Y
OBSL1	Upregulated	NA	NA	Y	NA	NA	N
MLC1	Upregulated	N	Y	N	NA	N	N
RECQL4	Upregulated	N	Y	Y	N	Y	N
LAPTM4B	Upregulated	Y	Y	NA	NA	NA	NA
PLK3	Upregulated	N	N	Y	N	N	N
TUBA3D	Upregulated	N	Y	Y	N	N	N
PNPO	Upregulated	N	N	N	N	N	N
CENPM	Upregulated	N	Y	N	N	Y	N
CENTA2	Upregulated	Y	Y	Y	Y	N	N
PRMT7	Upregulated	Y	N	Y	N	N	N
POLQ	Upregulated	Y	Y	N	Y	Y	Y
MEIG1	Upregulated	N	N	N	N	N	N
ESPL1	Upregulated	N	Y	N	N	N	N
CD9	Downregulated	N	Y	N	Y	N	Y
C3orf37	Downregulated	Y	N	N	Y	Y	Y
NR3C1	Downregulated	N	N	N	Y	Y	Y
SETX	Downregulated	N	N	N	Y	Y	N
GABBR1	Downregulated	Y	Y	Y	Y	N	Y
IFIT5	Downregulated	Y	N	N	Y	N	Y
IFIT5	Downregulated	Y	N	N	Y	N	NA
KLF7	Downregulated	N	Y	N	Y	Y	Y
DOPEY2	Downregulated	N	N	Y	Y	Y	N
BPG181B	Downregulated	Y	Y	Y	Y	Y	N
IQCB1	Downregulated	N	N	N	Y	Y	Y
HRK	Downregulated	Y	Y	N	Y	NA	Y
ZNF238	Downregulated	NA	NA	NA	Y	NA	Y
NCOA3	Downregulated	Y	Y	N	Y	Y	N
MED21	Downregulated	N	N	N	N	N	N
MED21	Downregulated	N	Y	N	N	N	N
KIAA0922	Downregulated	N	N	Y	Y	Y	N
ITSN2	Downregulated	N	N	N	Y	Y	N
