Gene symbol	Gene name	Fold change	Gene function
ACP5	Acid phosphatase 5, tartrate resistant	2.5	Extracellular matrix component/regulation/adhesion
ALPL	Alkaline phosphatase, liver/bone/kidney	2.1	Extracellular matrix component/regulation/adhesion
BGLAP	Bone gamma-Carboxyglutamate (gla) protein (osteocalcin)	15.1	Extracellular matrix component/regulation/adhesion
CDH11	Cadherin 11, type 2, OB-cadherin (osteoblast)	1.6	Extracellular matrix component/regulation/adhesion
CHAD	Chondroadherin	9.3	Extracellular matrix component/regulation/adhesion
CLEC3B	C-type lectin domain family 3, member B	1.6	Extracellular matrix component/regulation/adhesion
COL11A1	Collagen, type XI, alpha 1	4.2	Extracellular matrix component/regulation/adhesion
COL11A2	Collagen, type XI, alpha 2	4.4	Extracellular matrix component/regulation/adhesion
COL13A1	Collagen, type XIII, alpha 1	3.5	Extracellular matrix component/regulation/adhesion
COL5A2	Collagen, type V, alpha 2	1.8	Extracellular matrix component/regulation/adhesion
EXT2	Exostoses (multiple) 2	1.6	Extracellular matrix component/regulation/adhesion
EXTL1	Exostoses (multiple)-like 1	1.5	Extracellular matrix component/regulation/adhesion
IBSP	Integrin-binding sialoprotein	1.9	Extracellular matrix component/regulation/adhesion
MATN3	Matrilin 3	1.4	Extracellular matrix component/regulation/adhesion
MEPE	Matrix extracellular Phosphoglycoprotein	-3.6	Extracellular matrix component/regulation/adhesion
MMP2	Matrix metallopeptidase 2	2.2	Extracellular matrix component/regulation/adhesion
PCSK5	Proprotein convertase subtilisin/kexin type 5	2.1	Extracellular matrix component/regulation/adhesion
PHEX	Phosphate regulating endopeptidase homolog, X-linked	1.9	Extracellular matrix component/regulation/adhesion
PRELP	Proline/arginine-rich end leucine-rich repeat protein	1.2	Extracellular matrix component/regulation/adhesion
SPARC	Secreted protein, acidic, cysteine-rich (osteonectin)	2.1	Extracellular matrix component/regulation/adhesion
ARID5B	AT-rich interactive domain 5B (MRF1-like)	1.5	Transcription factor/transcription factor regulation
CHRDL2	Chordin-like 2	1.7	Transcription factor/transcription factor regulation
DLX1	Distal-less homeobox 1	1.6	Transcription factor/transcription factor regulation
DLX5	Distal-less homeobox 5	1.9	Transcription factor/transcription factor regulation
EIF2AK3	Eukaryotic translation initiation factor 2-alpha kinase 3	1.4	Transcription factor/transcription factor regulation
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	-1.2	Transcription factor/transcription factor regulation
EYA1	Eyes absent homolog 1 (Drosophila)	2	Transcription factor/transcription factor regulation
FOXC1	Forkhead box C1	1.7	Transcription factor/transcription factor regulation
GAS1	Growth arrest-specific 1	1.8	Transcription factor/transcription factor regulation
GLI2	GLI family zinc finger 2	1.4	Transcription factor/transcription factor regulation
HDAC4	Histone deacetylase 4	1.9	Transcription factor/transcription factor regulation
HOXD12	Homeobox D12	1.4	Transcription factor/transcription factor regulation
MEF2D	Myocyte enhancer factor 2D	1.4	Transcription factor/transcription factor regulation
MSX1	msh homeobox 1	2.4	Transcription factor/transcription factor regulation
OSR2	Odd-skipped related 2 (Drosophila)	1.4	Transcription factor/transcription factor regulation
PCGF2	Polycomb group ring finger 2	1.7	Transcription factor/transcription factor regulation
PRKCA	Protein kinase C, alpha	1.8	Transcription factor/transcription factor regulation
PRRX1	Paired related homeobox 1	1.2	Transcription factor/transcription factor regulation
PRRX2	Paired related homeobox 2	1.5	Transcription factor/transcription factor regulation
SATB2	SATB homeobox 2	2.5	Transcription factor/transcription factor regulation
SHOX2	short stature homeobox 2	1.5	Transcription factor/transcription factor regulation
SIX2	SIX homeobox 2	1.4	Transcription factor/transcription factor regulation
