Symbol	Entrez Gene ID	GSE12667	Bhattacharjee adenocarcinomas	Shedden Umich
TMPRSS2	7113	0.624	0.56	0.539
NISCH	11188	0.522	0.136	0.432
CTSD	1509	0.475	0.345	0.158
CRY2	1408	0.472	-0.113	0.38
CREBBP	1387	0.456	0.155	0.334
NFIB	4781	0.449	0.276	0.459
CLPTM1L	81037	0.44	NA	NA
TMED4	222068	0.432	NA	NA
CCNL2	81669	0.42	NA	0.225
ALCAM	214	0.417	0.188	0.241
ROCK1	6093	0.408	NA	0.088
MXD4	10608	0.401	0.169	0.251
PPM1A	5494	0.4	0.041	0.12
CYB561	1534	0.4	0.187	0.274
YAP1	10413	0.388	0.247	0.12
SMAD7	4092	0.387	0.297	0.236
SF3A3	10946	0.386	-0.22	0.309
ZC3H11A	9877	0.385	0.114	0.31
RANBP9	10048	0.381	0.156	0.289
DHRS1	115817	0.356	0.096	0.347
NFYC	4802	0.352	-0.166	0.146
INTS3	65123	0.347	-0.071	0.239
LDOC1L	84247	0.345	NA	NA
AGPAT3	56894	0.341	NA	-0.024
FOXA1	3169	0.34	0.242	0.188
ZBTB22	9278	0.339	0.228	0.152
AP4S1	11154	0.335	NA	0.134
THUMPD1	55623	0.335	0.245	0.361
AHCYL1	10768	0.329	0.268	0.329
SRRM1	10250	0.328	NA	0.128
ZFP90	146198	0.327	NA	NA
KLF9	687	0.325	0.217	0.207
GPR177	79971	0.323	NA	0.421
RAB33B	83452	0.314	NA	0.283
ANGEL2	90806	0.311	0.039	0.326
PLD4	122618	0.307	NA	NA
APBB1	322	0.306	0.004	-0.001
RAB25	57111	0.306	NA	0.231
WDR26	80232	0.301	NA	-0.028
AKTIP	64400	0.298	NA	0.222
CD63	967	0.29	0.439	0.24
AKAP8L	26993	0.287	-0.091	0.233
DPM2	8818	0.286	0.201	0.251
SCP2	6342	0.285	0.215	0.357
ZNF23	7571	0.285	0.047	0.135
CSDE1	7812	0.284	NA	-0.038
USP4	7375	0.283	0.177	0.375
TPP1	1200	0.281	0.155	0.026
ERBB3	2065	0.274	0.232	0.227
RGS3	5998	0.27	0.27	0.202
BLZF1	8548	0.27	NA	NA
ARMCX2	9823	0.268	-0.05	0.031
SLC39A8	64116	0.261	0.511	0.321
RFNG	5986	0.261	-0.014	0.088
PCBD1	5092	0.254	0.085	0.177
PTOV1	53635	0.252	-0.232	-0.019
CDCA7L	55536	0.244	NA	NA
DHRS7B	25979	0.244	NA	0.246
AASS	10157	0.241	0.246	0.12
PTPRF	5792	0.24	-0.179	0.15
BCKDK	10295	0.232	0.13	0.032
SLTM	79811	0.226	NA	0.216
XPR1	9213	0.22	NA	NA
ATP13A1	57130	0.219	NA	0.076
GUSB	2990	0.218	0.222	0.158
PHF13	148479	0.216	NA	NA
NUCKS1	64710	0.215	NA	NA
EPC1	80314	0.212	NA	NA
EFNA4	1945	0.212	0.133	0.23
SNTA1	6640	0.211	0.006	0.057
KLC4	89953	0.208	NA	NA
SOX4	6659	0.201	0.083	0.142
MVK	4598	0.195	0.073	0.133
POLR2C	5432	0.192	0.21	0.315
LPP	4026	0.188	0.236	0.278
HGS	9146	0.187	-0.011	0.092
