Curated Gene Symbol	Symbol	Gene name	Fold-change	p-value
WISP2	WISP2	WNT1 inducible signaling pathway protein 2	-3.94	6.50E-03
PPP2R2B	PPP2R2B	Protein phosphatase 2, regulatory subunit B, ?	-3.23	6.12E-03
LUM	LUM	Lumican	-2.43	3.39E-02
CPA4	CPA4	Carboxypeptidase A4	-2.24	1.56E-02
BDKRB2	BDKRB2	Bradykinin receptor B2	-2.21	1.14E-02
DHRS3	DHRS3	Dehydrogenase/reductase member 3	-2.19	8.97E-03
CYP1B1	CYP1B1	Cytochrome P450, family 1, subfamily B, polypeptide 1	-2.18	1.67E-02
COL3A1	COL3A1	Collagen, type III, ?1	-2.15	1.28E-02
ATOH8	ATOH8	Atonal homolog 8	-2.14	6.50E-03
OLR1	OLR1	Oxidized low density lipoprotein receptor 1	-2.13	3.11E-03
MGARP	C4orf49	Chromosome 4 open reading frame 49	-2.13	8.51E-03
MEST	MEST	Mesoderm specific transcript homolog	-2.07	2.25E-02
SOWAHD	ANKRD58	Ankyrin repeat domain 58	-2.07	3.02E-02
CD24	CD24	CD24 molecule pseudogene 4	-2.04	4.30E-03
	LOC728392	N/A	-2.03	7.10E-03
ADAMTS5	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5	-2.01	1.39E-02
