Feature 	Class 	t-test 	Log fold change 	Perm 1% 	Perm 5% 	Perm 10% 	Gene Symbol 	Description 	 
213633_at 	no_CIS 	1.51	-0.8	2.46	2.04	1.85	SH3BP1 	SH3-domain binding protein 1 	 
212784_at 	no_CIS 	1.36	-0.8	2.27	1.86	1.7	CIC 	capicua homolog (Drosophila) 	 
209241_x_at	 no_CIS 	1.13	-0.6	1.78	1.48	1.33	MINK 	misshapen/NIK-related kinase 	 
217941_s_at	 CIS 	2.3	1.3	1.96	1.66	1.47	ERBB2IP 	erbb2 interacting protein 	 
201877_s_at	 CIS 	2.27	1.3	1.9	1.62	1.45	PPP2R5C 	"protein phosphatase 2, regulatory subunit B (B56), gamma isoform "	 
209630_s_at	 CIS 	1.97	1.1	1.54	1.31	1.15	--- 	"Homo sapiens cDNA FLJ38058 fis, clone CTONG2014898, mRNA sequence "	 
202777_at 	CIS 	1.93	1.1	1.51	1.29	1.12	SHOC2 	soc-2 suppressor of clear homolog (C. elegans) 	 
200958_s_at	 CIS 	1.92	1.3	1.49	1.28	1.11	SDCBP 	syndecan binding protein (syntenin) 	 
209579_s_at	 CIS 	1.79	1	1.36	1.16	1.01	MBD4 	methyl-CpG binding domain protein 4 	 
209004_s_at	 CIS 	1.63	0.9	1.21	1	0.89	FBXL5 	F-box and leucine-rich repeat protein 5 	 
218150_at 	CIS 	1.6	1	1.18	0.98	0.86	ARL5 	ADP-ribosylation factor-like 5 	 
202076_at 	CIS 	1.53	0.9	1.12	0.92	0.82	BIRC2 	baculoviral IAP repeat-containing 2 	 
204640_s_at	 CIS 	1.45	0.9	1.03	0.83	0.75	SPOP 	speckle-type POZ protein 	 
201887_at 	CIS 	1.32	0.8	0.92	0.74	0.66	IL13RA1 	"interleukin 13 receptor, alpha 1 "	 
212802_s_at	 CIS 	1.31	0.7	0.91	0.72	0.65	DKFZP434 C212 	DKFZP434C212 protein 	 
212899_at 	CIS 	1.29	0.7	0.89	0.71	0.64	KIAA1028 	KIAA1028 protein 	 
