Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location	Entrez Gene
200862_at	24-dehydrocholesterol reductase	DHCR24	1p33-p31.1	1718
201294_s_at	WD repeat and SOCS box-containing 1	WSB1	17q11.1	26118
201791_s_at	7-dehydrocholesterol reductase	DHCR7	11q13.2-q13.5	1717
201810_s_at	SH3-domain binding protein 5 (BTK-associated)	SH3BP5	3p24.3	9467
201819_at	scavenger receptor class B, member 1	SCARB1	12q24.31	949
202068_s_at	low density lipoprotein receptor (familial hypercholesterolemia)	LDLR	19p13.3	3949
202191_s_at	growth arrest-specific 7	GAS7	17p13.1	8522
202379_s_at	natural killer-tumor recognition sequence	NKTR	3p23-p21	4820
202409_at	putative insulin-like growth factor II associated protein	LOC492304	11p15.5	492304
202410_x_at	insulin-like growth factor 2 (somatomedin A)	IGF2	11p15.5	3481
202679_at	Niemann-Pick disease, type C1	NPC1	18q11-q12	4864
202992_at	complement component 7	C7	5p13	730
203058_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	PAPSS2	10q23-q24	9060
203060_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	PAPSS2	10q23-q24	9060
203381_s_at	apolipoprotein E	APOE	19q13.2	348
203424_s_at	insulin-like growth factor binding protein 5	IGFBP5	2q33-q36	3488
203646_at	ferredoxin 1	FDX1	11q22	2230
203647_s_at	ferredoxin 1	FDX1	11q22	2230
204309_at	cytochrome P450, family 11, subfamily A, polypeptide 1 /// cytochrome P450, family 11, subfamily A, polypeptide 1	CYP11A1	15q23-q24	1583
204345_at	collagen, type XVI, alpha 1	COL16A1	1p35-p34	1307
204419_x_at	hemoglobin, gamma A /// hemoglobin, gamma A /// hemoglobin, gamma G /// hemoglobin, gamma G	HBG1 /// HBG2	11p15.5	3047 /// 3048
204450_x_at	apolipoprotein A-I /// similar to Apolipoprotein A-I precursor (Apo-AI)	APOA1 /// LOC440837	11q23-q24 /// 22p13	335 /// 440837
204548_at	steroidogenic acute regulator	STAR	8p11.2	6770
204579_at	fibroblast growth factor receptor 4	FGFR4	5q35.1-qter	2264
204731_at	transforming growth factor, beta receptor III (betaglycan, 300kDa)	TGFBR3	1p33-p32	7049
204848_x_at	hemoglobin, gamma A /// hemoglobin, gamma A /// hemoglobin, gamma G /// hemoglobin, gamma G	HBG1 /// HBG2	11p15.5	3047 /// 3048
205502_at	cytochrome P450, family 17, subfamily A, polypeptide 1	CYP17A1	10q24.3	1586
205522_at	homeo box D4	HOXD4	2q31.1	3233
206093_x_at	tenascin XB	TNXB	6p21.3	7148
206286_s_at	teratocarcinoma-derived growth factor 1	TDGF1	3p21.31	6997
206292_s_at	sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1	SULT2A1	19q13.3	6822
206293_at	sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1	SULT2A1	19q13.3	6822
206339_at	cocaine- and amphetamine-regulated transcript	CART	5q13.2	9607
206404_at	fibroblast growth factor 9 (glia-activating factor)	FGF9	13q11-q12	2254
206645_s_at	nuclear receptor subfamily 0, group B, member 1	NR0B1	Xp21.3-p21.2	190
206793_at	phenylethanolamine N-methyltransferase	PNMT	17q21-q22	5409
207813_s_at	ferredoxin reductase	FDXR	17q24-q25	2232
208451_s_at	complement component 4A /// complement component 4B /// complement component 4B, telomeric	C4A /// C4B	6p21.3	432395 /// 720 /// 721
208610_s_at	serine/arginine repetitive matrix 2	SRRM2	16p13.3	23524
