Gene ID	Fold Change	Gene Symbol	Gene Title
Gga.4981.2.S1_at	10.66666667	HBE1 /// HBG2	hemoglobin, epsilon 1 /// hemoglobin, gamma G
Gga.17762.1.S1_at	10.36347518	SPERT	spermatid associated
Gga.4170.1.S1_at	10.33787129	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)
Gga.10208.1.S1_a_at	9.260188088	FHL5	four and a half LIM domains 5
Gga.18046.1.S1_at	8.593137255	---	---
Gga.540.1.S1_at	8.493469101	MGP	matrix Gla protein
Gga.3807.1.S2_s_at	8.362469928	ALDH1A3	aldehyde dehydrogenase 1 family, member A3
Gga.19409.1.S1_at	6.330969267	COL4A2	collagen, type IV, alpha 2
Gga.9086.1.S1_at	6.329768271	RHAG	Rh-associated glycoprotein
Gga.4564.1.S1_a_at	6.279878971	FMO6P	flavin containing monooxygenase 6 pseudogene
GgaAffx.26371.1.S1_at	6.056485356	SLC12A1	solute carrier family 12 (sodium/potassium/chloride transporters), member 1
GgaAffx.983.1.S1_at	5.94132918	SLC12A1	solute carrier family 12 (sodium/potassium/chloride transporters), member 1
GgaAffx.26371.2.S1_s_at	5.867647059	SLC12A1	solute carrier family 12 (sodium/potassium/chloride transporters), member 1
Gga.12510.1.S1_at	5.864384463	LOC420043	similar to keratin 10; cytokeratin 10
Gga.4564.2.S1_a_at	5.797205949	FMO6P	flavin containing monooxygenase 6 pseudogene
Gga.15884.1.S1_at	5.536713287	FNDC1	fibronectin type III domain containing 1
Gga.6218.1.S1_at	5.447949527	MFAP5	microfibrillar associated protein 5
Gga.9024.1.S1_at	5.232954545	C8orf22	chromosome 8 open reading frame 22
Gga.6976.1.S1_at	5.022527794	LOC416235	ovoinhibitor
Gga.496.1.S1_at	5	RELN	reelin
Gga.4679.1.S1_at	4.97241867	LOC418833	response gene to complement 32
GgaAffx.13038.1.S1_at	4.911932178	PRPS2	phosphoribosyl pyrophosphate synthetase 2
Gga.2667.1.S1_at	4.834116796	SULT1C3	sulfotransferase family, cytosolic, 1C, member 3
