Symbol	Entrez Gene Name	Affymetrix_ID	Fold Change	Fold Change	Location	Type
AARS	alanyl-tRNA synthetase	201000_at	-2.518	-1.467	Cytoplasm	enzyme
ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	202850_at	-1.318		Cytoplasm	transporter
ACADVL	acyl-Coenzyme A dehydrogenase, very long chain	200710_at		-2.101	Cytoplasm	enzyme
ADIPOR2	adiponectin receptor 2	201346_at	-1.356		Plasma Membrane	other
ADM	adrenomedullin	202912_at	1.595		Extracellular Space	other
AK2	adenylate kinase 2	212174_at	1.203		Cytoplasm	kinase
AKAP12	A kinase (PRKA) anchor protein 12	210517_s_at	-1.184	-1.010	Cytoplasm	transporter
AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	202139_at	-1.500		Cytoplasm	enzyme
ALDH1A3	aldehyde dehydrogenase 1 family, member A3	203180_at	-2.321		Cytoplasm	enzyme
ANP32A	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	201051_at	-1.705	-2.256	Nucleus	other
ANXA10	annexin A10	210143_at		1.249	Unknown	other
APLP2	amyloid beta (A4) precursor-like protein 2	208702_x_at	-1.397	1.553	Extracellular Space	other
ARC	activity-regulated cytoskeleton-associated protein	210090_at		-1.037	Cytoplasm	other
ARHGEF2	Rho/Rac guanine nucleotide exchange factor (GEF) 2	209435_s_at	-1.159	1.321	Cytoplasm	other
ARL6IP5	ADP-ribosylation-like factor 6 interacting protein 5	200761_s_at	1.535		Cytoplasm	other
ARMET	mesencephalic astrocyte-derived neurotrophic factor	202655_at	-1.213	1.270	Extracellular Space	other
ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	203427_at	-2.039		Nucleus	other
ASNS	asparagine synthetase	205047_s_at	1.981		Unknown	enzyme
ASPM	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	219918_s_at	-1.118	-1.414	Nucleus	other
ATAD2	ATPase family, AAA domain containing 2	218782_s_at	-1.054		Unknown	other
ATF3	activating transcription factor 3	202672_s_at	-1.310	2.520	Nucleus	transcription regulator
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	200779_at	-2.587		Nucleus	transcription regulator
ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	201243_s_at	-1.671	1.239	Plasma Membrane	transporter
ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	212361_s_at	-1.313		Cytoplasm	transporter
