Category	Regeneration	RCC	Gene Symbol
Morphogenesis	Up	Down	CRYM
Morphogenesis	Up	Down	CTGF
Morphogenesis	Up	Down	GPC3
Morphogenesis	Up	Down	CYR61
Morphogenesis	Up	Down	MYL6
Morphogenesis	Up	Down	TCF21
Morphogenesis	Up	Down	THBS1
Morphogenesis	Down	Up	FHL1
Morphogenesis	Down	Up	KDR
Morphogenesis	Down	Up	PKD1
Morphogenesis	Down	Up	RTN3
Morphogenesis	Down	Up	VEGF
Morphogenesis	Down	Up	GADD45G
Extracellular space	Up	Down	APOE
Extracellular space	Up	Down	IF
Extracellular space	Up	Down	DCN
Extracellular space	Up	Down	CTGF
Extracellular space	Up	Down	GC
Extracellular space	Up	Down	GPC3
Extracellular space	Up	Down	CYR61
Extracellular space	Up	Down	MMP2
Extracellular space	Up	Down	PLAT
Extracellular space	Up	Down	SDC1
Extracellular space	Up	Down	THBS1
Extracellular space	Up	Down	TACSTD2
Extracellular space	Down	Up	BCKDHA
Extracellular space	Down	Up	CD59
Extracellular space	Down	Up	COX6C
Extracellular space	Down	Up	IGFBP1
Extracellular space	Down	Up	IGFBP3
Extracellular space	Down	Up	KDR
Extracellular space	Down	Up	Klk1
Extracellular space	Down	Up	LPL
Extracellular space	Down	Up	MEP1A
Extracellular space	Down	Up	ENPP2
Extracellular space	Down	Up	RTN3
Extracellular space	Down	Up	VEGF
Metabolism	Up	Down	APOE
Metabolism	Up	Down	CTGF/IGFBP8
Metabolism	Down	Up	BCKDHA
Metabolism	Down	Up	AMACR
Metabolism	Down	Up	ENPP2
Metabolism	Down	Up	MTHFD1
Metabolism	Down	Up	MAT2A
Metabolism	Down	Up	SHMT2
Metabolism	Down	Up	SPTLC1
Metabolism	Down	Up	LPL
Metabolism	Down	Up	SHMT1
Metabolism	Down	Up	PTPRB
Metabolism	Down	Up	SOD2
Metabolism	Down	Up	CPT1A
Metabolism	Down	Up	ACOX1
Metabolism	Down	Up	EGLN1
Glycolysis	Down	Up	PGK1
Glycolysis	Down	Up	HK1
Signal transduction	Up	Down	SAR1
Signal transduction	Up	Down	RALBP1
Signal transduction	Up	Down	NR2F6
Signal transduction	Up	Down	SMC1L1
Signal transduction	Up	Down	TACSTD2
Signal transduction	Down	Up	IGFBP1
Signal transduction	Down	Up	IGFBP3
Signal transduction	Down	Up	ARHE
Signal transduction	Down	Up	PCTK3
Signal transduction	Down	Up	VEGF
Signal transduction	Down	Up	CD59
Signal transduction	Down	Up	FRAP1
Angiogenesis	Up	Down	CTGF
Angiogenesis	Up	Down	CYR61
Angiogenesis	Up	Down	THBS1
Angiogenesis	Down	Up	VEGF
Angiogenesis	Down	Up	KDR
Transcription	Up	Down	TCF21
Transcription	Up	Down	ZNF144
Transcription	Up	Down	NR2F6
Transcription	Down	Up	GRSF1
Transcription	Down	Up	NCOA4
Transcription	Down	Up	PAPOLA
Transcription	Down	Up	UBE2V1
Transcription	Down	Up	EIF4A2
Transcription	Down	Up	MKNK2
Transcription	Down	Up	SOD2
Transport	Up	Down	GC
Transport	Up	Down	SLC1A1
Transport	Up	Down	APOE
Transport	Up	Down	SAR1
Transport	Up	Down	RALBP1
Transport	Down	Up	SCP2
Transport	Down	Up	SLC16A7
Transport	Down	Up	GJB2
Transport	Down	Up	ATP1B1
Transport	Down	Up	COX6C
Transport	Down	Up	SLC22A1
Transport	Down	Up	CPT1A
Transport	Down	Up	ACOX1
Transport	Down	Up	ARHE
Proteolysis	Up	Down	IF
Proteolysis	Up	Down	PLAT
Proteolysis	Down	Up	Klk1
Proteolysis	Down	Up	MEP1A
Immune	Down	Up	CEACAM1
Immune	Down	Up	CD59
DNA	Up	Down	SMC1L1
DNA	Up	Down	CTGF/IGFBP8
DNA	Down	Up	TOP3B
DNA	Down	Up	RRM1
DNA	Down	Up	GADD45G
DNA	Down	Up	FRAP1
Cell adhesion	Up	Down	THBS1
Cell adhesion	Up	Down	CTGF/IGFBP8
Cell adhesion	Up	Down	CYR61/IGFBP10
Cell adhesion	Down	Up	PKD1
Cell differentiation	Down	Up	FHL1
Cell differentiation	Down	Up	GADD45G
De/phosphorylation	Up	Down	PTPRO
De/phosphorylation	Up	Down	PPP2CB
De/phosphorylation	Down	Up	PTPRB
De/phosphorylation	Down	Up	PCTK3
De/phosphorylation	Down	Up	MKNK2
De/phosphorylation	Down	Up	KDR
Ubiquitination	Up	Down	ZNF144
Ubiquitination	Down	Up	UBE2V1
Ubiquitination	Down	Up	EGLN1
Others	Up	Down	TJP2
Others	Up	Down	MT2A
Others	Up	Down	TM4SF3
Others	Up	Down	SDC1
Others	Up	Down	CORO1B
Others	Up	Down	WSB1
Others	Up	Down	MYL6
Others	Up	Down	AKAP2
Others	Up	Down	CRYM
Others	Up	Down	DCN
Others	Down	Up	HARS
Others	Down	Up	C16orf5
Others	Down	Up	RTN3
Others	Down	Up	KIAA1049
Others	Down	Up	HSPH1
Others	Down	Up	KIF21A
Others	Down	Up	ADD3
Others	Down	Up	HSPD1
Others	Down	Up	CAPNS1
