Accession No.	Gene Symbol	Gene Name	pValue for Comparison of HIV-1-Infected Individuals vs Controls (Quantitative PCR)	Ratio of Signal between HIV-1-Infected Individuals and Controls
N98591	IL6	IL-6	0.0004	166.4
W92812	PPBP	Proplatelet basic protein (chemokine (C-X-C motif) ligand 7)	0.001	3.58
AA425102	CCL2	Chemokine (C-C motif) ligand 2	0.0001	12.85
NM_002984	CCL4	Chemokine (C-C motif) ligand 4	0.005	5.99
AA457705	IER3	Immediate early response 3	0.0071	3.06
H77597	MT1H	Metallothionein 1H	0.0002	8.58
H53340	MT1G	Metallothionein 1G	0.0008	5.09
T49159	PAI2	Serine (or cysteine) proteinase inhibitor, clade B (OVA), member 2	0.0043	6.88
W02699	CD153	CD30L	0.0004	0.38
AA167728	SIVA	CD27-binding (Siva) protein	0.018	0.48
AI952615	p21	CDKN1A/Waf1/Cip1/Sdi1	0.022	1.54
