Genes	MDA-MB-231-ER	MDA-MB-231-ER+FOXA1+GATA3	MDA-MB-231-VECTOR	MCF-7
ADM	-0.4017	-0.005	-0.229	-0.957
BTG3	-0.1259	0.2662	-0.1426	0.2829
BUB1B	-0.1775	0.2885	-0.3203	0.8149
BUB3	-0.0864	0.3135	-0.3099	0.3275
C5	0.0778	-0.0408	0.4723	0.3067
CCNB1	-0.1262	0.0048	-0.2925	0.4548
CCNH	-0.1685	0.1072	-0.3137	0.5714
CDC20	-0.3262	-0.1532	-0.1927	-0.7982
CTNNB1	0.0007	0.2981	-0.2511	-0.3844
CXCL16	0.076	0.0837	0.2917	-0.2865
DCK	-0.1173	0.5445	-0.3151	0.6906
DHCR7	-0.0213	0.0307	-0.3698	0.4043
DLG1	-0.1871	0.3145	-0.1727	0.3105
DYNLT3	0.0194	0.4118	-0.3475	1.3551
E2F2	-0.1623	0.0013	0.4579	0.39
EDN1	-0.1697	-0.1699	-0.315	-0.377
EEF1E1	0.1183	0.3617	-0.4793	0.6973
EIF4E	-0.0755	0.3035	-0.4862	0.318
EVL	0.0729	0.106	0.2666	0.3715
FANCL	0.0448	0.3999	-0.4712	0.6902
FEN1	-0.1367	0.0606	0.2739	0.6126
HELLS	-0.331	0.1652	0.1369	0.5655
HMGB1	-0.0862	0.0874	-0.2818	0.5037
KLF5	0.0347	0.3432	-0.1733	-0.289
KPNA2	-0.0392	0.2908	-0.5002	0.394
ID1	-0.041	-0.1255	0.3677	-1.0794
ID3	-0.0048	-0.2171	0.5788	-0.7279
IGFBP6	-0.1748	-0.0891	-0.289	0.4097
IL10	0.015	0.3331	-0.3337	0.3334
ID4	-0.034	0.0523	-0.401	-0.274
IGFBP3	0.4467	-0.0714	0.178	-1.549
LAMP3	0.0189	0.0941	0.3162	-0.3167
LCN2	-0.0459	-0.3879	-0.3188	-0.7357
LCP1	-0.0275	-0.0114	-0.5671	0.4827
LEP	0.0462	0.5209	-0.482	0.3602
NAP1L1	-0.0191	0.4361	-0.2714	0.3904
NEDD1	-0.1342	0.3111	-0.1839	0.5341
NEK7	-0.1821	0.325	0.0326	0.4284
MAD2L1	-0.1695	0.4849	-0.3909	0.8926
MAEL	0.0722	0.0144	0.3392	-0.2643
MBD4	-0.1	0.3452	-0.2835	0.3852
MSH2	-0.1107	0.2798	-0.3573	1.2195
MYC	-0.0036	0.0581	-0.2705	0.5277
NPM1	0.0601	0.1652	-0.2799	0.371
NQO1	0.0825	0.3018	-0.3321	-0.6606
NUCKS1	-0.2348	0.1002	-0.3011	0.298
NUF2	-0.1105	0.1992	-0.2901	0.4839
OAS3	-0.0185	0.1797	-0.3003	-0.3421
PLCD1	0.0611	-0.1079	0.2646	-0.3579
PLK1	-0.0942	0.0151	-0.2634	0.2659
PLK2	-0.1315	0.1729	-0.371	-0.3456
PNN	-0.2835	-0.0103	-0.1121	0.6184
POLA1	-0.0288	-0.0775	0.3531	0.7351
POLD3	-0.0818	0.3277	-0.079	0.363
RANBP9	0.0129	0.4459	-0.3825	0.4015
RAP1B	0.0308	0.4527	-0.2955	0.3387
RBAK	-0.4016	-0.0177	0.1339	0.3357
RLF	-0.1412	0.2829	-0.257	0.3432
SLC9A1	0.0023	-0.0591	0.2929	-0.3382
SMC3	-0.1216	0.2499	-0.34	0.586
SNAI2	-0.3668	-0.1479	0.0608	-0.6055
SURF1	-0.0059	-0.1039	0.2687	-0.3888
TAF9	-0.0621	0.2669	-0.2994	0.5642
TFF1	0.4896	-0.0298	-0.0634	1.7254
TFF3	0.2416	0.006	-0.0419	0.8531
TFRC	-0.3581	0.0272	-0.1006	0.2865
TIMP1	0.1884	-0.089	0.2888	-0.4528
TSN	-0.1083	0.2508	-0.3159	0.2833
UGCG	-0.3388	-0.0914	-0.1639	1.0264
UHMK1	-0.5064	-0.0553	-0.0331	0.3599
XRCC2	-0.0986	0.1431	-0.269	0.5513
