U133 ID	Gene Symbol	Name	Location	Weight
205990_s_at	WNT5A	Wingless-type MMTV integration site family, member 5A	3p21-p14	20.065
203708_at	PDE4B	Phosphodiesterase 4B, cAMP-specific	1p31	20.053
201990_a_at	CREBL2	cAMP responsive element binding protein-like 2	12p13	20.046
218751_s_at	FBXW7	F-box and WD repeat domain containing 7	4q31.3	20.044
201889_at	FAM3C	family with sequence similarity 3, member C	7q31	20.039
206405_x_at	USP6	USP6 N-terminal like	17p13	20.038
219049_at	CSGALNACT1	Chondroitin sulfate N-acetylgalactosaminyltransferase 1	8p21.3	20.037
205862_at	CREB1	cAMP responsive element binding protein 1	2p25.1	20.034
219748_at	TREML2	Triggering receptor expressed on myeloid cells-like 2	6p21.1	20.033
204786_s_at	IFNAR2	Interferon (alpha, beta and omega) receptor 2	21q22.1,21q22.11	20.033
204204_at	SLC31A2	Solute carrier family 31 (copper transporters), member 2	9q31-q32	20.025
217825_s_at	UBE2J1	Ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	6q15	20.02
213555_at	RWDD2A	RWD domain-containing protein 2A-like	6q14.2	20.019
212122_at	RHOQ	Ras homolog gene family, member Q	2p21	20.016
203895_at	PLCB4	Phospholipase C, beta 4	20p12	20.015
202043_s_at	SMS	Spermine synthase	Xp22.1	0.011
217104_at	ST20	Suppressor of tumorigenicity 20	15q25.1	0.012
212055_at	C18orf10	Chromosome 18 open reading frame 10	18q12.2	0.025
221210_s_at	NPL	N-acetylneuraminate pyruvate lyase	1q25	0.032
