Gene Symbol	Probeset ID	p-value	Fold-Change
XIST	224588_at	0.000194883	94.3248
XIST	221728_x_at	0.000199754	53.9597
XIST	214218_s_at	0.000272075	35.6043
XIST	227671_at	0.000104436	33.8801
XIST	224590_at	0.000462051	27.6561
XIST	224589_at	0.000176719	14.5387
LOC100130725 /// PAGE2 /// PAGE2B	231307_at	5.01E-10	14.2193
DNASE2B	220380_at	9.47E-05	12.8888
SNAI2	213139_at	0.000280525	8.95228
PNMA2	209598_at	3.86E-05	5.2127
	239806_at	5.99E-08	4.93859
PHACTR2	227947_at	8.21E-06	4.93805
ALS2	226291_at	2.90E-06	4.64963
MAP3K5	203837_at	2.12E-05	4.64431
MBP	210136_at	2.62E-05	4.52102
SOX13	38918_at	0.000192478	4.48521
FOXA3	228463_at	1.59E-08	4.41856
KLHDC8A	219331_s_at	5.71E-05	4.37432
HAPLN1	230895_at	1.24E-12	4.26565
TLE1	228284_at	0.000114576	4.17856
	216405_at	7.70E-10	4.1696
PHACTR2	204049_s_at	9.06E-05	4.13594
NXN	219489_s_at	6.48E-05	4.03347
HAPLN1	205523_at	2.93E-08	3.99058
TLE1	203221_at	0.000387579	3.78042
FAM82A1	235349_at	2.00E-06	3.72989
KCNK5	219615_s_at	0.00014333	3.71429
MAP3K5	203836_s_at	6.72E-06	3.61635
PHACTR2	204048_s_at	3.69E-05	3.59634
HAPLN1	230204_at	4.53E-07	3.5859
	231113_at	7.06E-05	3.54822
SEC14L4	239492_at	0.000144287	3.5286
KLHDC8A	222871_at	4.12E-06	3.50408
MYL10	221659_s_at	1.65E-10	3.42962
LOC100192378	1559965_at	5.55E-06	3.27652
COX7B2	231265_at	2.25E-06	3.27338
COX6A1	224344_at	2.08E-06	3.17811
LAMA4	216081_at	2.61E-05	3.13812
C9orf3	212848_s_at	1.37E-08	2.93006
	214896_at	0.000121948	2.88534
	227210_at	1.10E-06	2.85641
	242488_at	0.000137463	2.85515
ITIH5L	234894_at	0.00038748	2.84551
DHH	1552730_at	8.80E-06	2.84152
RHOC	235742_at	8.77E-05	2.78976
UGP2	205480_s_at	0.000440324	2.77759
TANC2	224952_at	7.80E-05	2.76021
RAB3B	227123_at	0.000205783	2.74218
	220833_at	3.58E-07	2.68231
ST8SIA5	206258_at	1.37E-06	2.66146
CHRM3	1559633_a_at	4.33E-05	2.65276
RAB3B	205924_at	2.07E-06	2.63244
HAPLN1	205524_s_at	9.06E-08	2.62463
	1557389_at	4.65E-11	2.61765
C9orf3	232270_at	3.96E-06	2.56055
LOC645431	236835_at	1.87E-05	2.54242
RAPGEF4	205651_x_at	3.88E-05	2.53007
CORO2A	227177_at	6.93E-10	2.51256
	1570107_at	4.16E-05	2.50961
	241764_at	0.000438973	2.4844
PON3	213695_at	6.38E-05	2.39751
	226392_at	2.67E-06	2.37687
	240865_at	6.44E-06	2.36941
EPHB3	204600_at	0.000309983	2.36457
NUDT19	235384_at	1.06E-09	2.33003
DOK7	240633_at	1.03E-07	2.32747
LAMA4	210989_at	0.000306825	2.32541
CUGBP2	202158_s_at	4.21E-05	2.32539
PMP2	206826_at	1.92E-05	2.32453
	1569122_at	0.000318578	2.31931
CHRM3	1553705_a_at	3.13E-05	2.27602
PMP2	235127_at	0.000109526	2.25565
LAD1	203287_at	3.16E-06	2.2357
CHRM3	214596_at	3.54E-07	2.22379
TAF9B	226037_s_at	7.70E-07	2.21652
C2orf82	230244_at	1.14E-06	2.20743
	241452_at	9.54E-07	2.20317
CUGBP2	202157_s_at	0.000358961	2.2015
TANC2	208425_s_at	3.42E-05	2.17063
BEAN	214068_at	0.000165384	2.11662
TRIM14	203148_s_at	0.000285036	2.1116
	242277_at	5.51E-05	2.10045
LOC100192378	1559966_a_at	0.000323644	2.09892
LOC349160	233934_at	1.07E-05	2.09571
	1556935_at	0.000185186	2.04268
GP1BB /// SEPT5	206655_s_at	0.000327149	2.03054
COL9A2	213622_at	1.76E-05	2.01375
GPR157	227970_at	0.000482042	2.01119
SH3BGRL2	225354_s_at	0.000112362	-2.00658
CCDC13	1554022_at	0.000246248	-2.00728
SUV420H1	222759_at	3.05E-05	-2.0118
FAM178A	235590_at	4.25E-06	-2.02098
PGAM2	205736_at	2.65E-05	-2.0234
NLGN4X	1554689_a_at	0.000376168	-2.02632
C1orf114	1555112_a_at	1.52E-09	-2.02802
PFTK1	211502_s_at	1.96E-07	-2.02802
CNOT7	1552344_s_at	0.000301261	-2.02803
	1570424_at	6.56E-07	-2.0349
WASF1	204165_at	0.000532108	-2.04581
NR1I2	207202_s_at	9.73E-08	-2.04882
SDCCAG8	1554237_at	0.000295047	-2.05378
GAP43	216967_at	2.03E-07	-2.06367
TMEM171	240770_at	0.00010811	-2.07316
MAGEH1	218573_at	0.000369596	-2.0776
MAGEC3	216592_at	3.64E-11	-2.09292
MCPH1	1554155_at	1.54E-05	-2.10986
F2RL2	206795_at	3.75E-05	-2.12598
TXK	206828_at	1.15E-05	-2.14228
ENAH	1553672_at	0.00024688	-2.14535
GLIPR2	225604_s_at	0.000385722	-2.14854
KLF14	1552813_at	8.54E-05	-2.1609
CBLN2	242301_at	6.85E-06	-2.17059
SGEF	233903_s_at	0.000393258	-2.19456
RGL1	209568_s_at	0.000115874	-2.2004
ASAH1	1555419_a_at	0.000456933	-2.2263
CDH13	204726_at	0.000440823	-2.22953
	233176_at	6.93E-06	-2.24441
	1562099_at	2.75E-11	-2.25397
IRS1	235392_at	0.000152796	-2.25755
EXOC4	224926_at	2.89E-05	-2.27887
PCDHB4	240317_at	0.000247463	-2.28854
PRLR	227629_at	0.000170689	-2.31506
F2R	1569642_at	1.55E-05	-2.34434
	230744_at	0.000498676	-2.35047
XRCC4	205071_x_at	0.00031603	-2.36985
TCTEX1D1	1553635_s_at	3.63E-11	-2.38371
LOC389634	1564426_x_at	0.000174296	-2.39158
PARD3B	228411_at	0.000190792	-2.3938
HKDC1	237323_at	2.23E-05	-2.41402
	236036_at	1.07E-06	-2.41545
	239195_at	1.43E-13	-2.42077
RAI14	202052_s_at	0.000313734	-2.42735
6-Sep	212415_at	0.000124814	-2.43571
FOXN3	222494_at	0.000188333	-2.43682
CNTNAP5	1553013_at	2.34E-05	-2.44426
GAGE1	208283_at	1.41E-08	-2.44437
MAP1LC3C	221697_at	2.21E-07	-2.45086
OLFM3	1554526_at	0.000252103	-2.46237
CSDA	201161_s_at	3.54E-07	-2.4667
CLCA4	220026_at	9.21E-16	-2.48229
COCH	1554242_a_at	3.50E-05	-2.48805
FOXN3	205022_s_at	0.000189349	-2.49464
SYNGR3	205691_at	0.000222115	-2.50025
AVPR2	208108_s_at	1.35E-07	-2.5222
	1569218_at	2.16E-09	-2.5303
WNT16	221113_s_at	1.94E-11	-2.53477
CSDA	201160_s_at	2.37E-06	-2.54361
PCSK2	204870_s_at	7.53E-08	-2.57263
FSTL1	208782_at	0.000105575	-2.58913
ASAH1	213902_at	0.000300118	-2.5947
EPAS1	200878_at	3.76E-06	-2.59785
LAMB3	209270_at	0.000342768	-2.61414
ARMCX5	219335_at	1.13E-05	-2.64968
UTS2D	243175_at	0.000437515	-2.65299
DKK3	230508_at	0.000324387	-2.66703
COL4A6	213992_at	3.24E-10	-2.68214
LOC145678	216106_at	0.000132136	-2.70659
	243932_at	0.000282127	-2.71496
TPBG	203476_at	0.000504061	-2.72143
DAGLA	214128_at	4.20E-05	-2.74509
TDRD3	214028_x_at	0.000517808	-2.75003
LOC440416	229669_at	8.04E-07	-2.78134
BRD7P3	221093_at	1.69E-08	-2.78425
C1orf99	1561331_at	4.78E-07	-2.79168
COLEC11	219873_at	5.59E-08	-2.79231
ITPR1	211323_s_at	4.34E-06	-2.80711
PRRG1	205618_at	8.17E-06	-2.81107
ST8SIA2	239537_at	2.18E-05	-2.86597
FOXN3	218031_s_at	0.000201117	-2.87413
	243036_at	3.78E-06	-2.88647
PDE1A	233547_x_at	7.32E-08	-2.93593
	214078_at	5.80E-15	-2.95501
PDE1A	236234_at	1.88E-10	-2.98824
PFTK1	204604_at	3.28E-11	-2.99345
PDE1A	1558680_s_at	1.59E-10	-3.01707
SETD6	219751_at	5.67E-07	-3.01933
ELAVL4	238073_at	1.36E-15	-3.0278
LOC653786 /// OTOA	1553432_s_at	1.08E-08	-3.03132
PCDH18	225975_at	1.79E-05	-3.08997
DENND2A	221885_at	6.84E-07	-3.09137
TGFB2	220407_s_at	5.19E-06	-3.09162
PDE1A	231213_at	2.33E-07	-3.10453
NRIP1	202599_s_at	2.92E-05	-3.11316
	229201_at	0.000425607	-3.13908
C1orf114	206721_at	4.36E-08	-3.14502
RGS3	203823_at	1.63E-05	-3.15033
HLX	214438_at	5.90E-06	-3.15679
CLDN1	218182_s_at	0.000147898	-3.17129
BEND5	219670_at	1.89E-05	-3.18416
ITPR1	240052_at	3.16E-06	-3.18458
F11R	223000_s_at	5.31E-06	-3.20905
ITPR1	216944_s_at	2.94E-06	-3.24651
OLFM3	1554524_a_at	5.37E-05	-3.33754
DENND2A	53991_at	1.33E-06	-3.39257
SERPINB1	212268_at	9.75E-07	-3.4106
