Gene symbol	Gene name	Fold change (microarray/RT-PCR)
Olfm4	olfactomedin 4	5.52/4.14
Muc4	mucin 4, cell surface associated	3.85/2.02
Cldn6	claudin 6	3.22
Grhl3	grainyhead-like 3 (Drosophila)	2.53//1.76
Ddr1	discoidin domain receptor tyrosine kinase 1	2.5/1.32
Emp2	epithelial membrane protein 2	2.43/1.38
Lamc2	laminin, gamma 2	2.26
Atrn	attractin	2.18
Hmga1	high mobility group AT-hook 1	1.83
Il11	interleukin 11	1.64/1.60
Il13ra2	interleukin 13 receptor, alpha 2	0.53/0.57
Agr2	anterior gradient homolog 2 (Xenopus laevis)	0.51/0.60
Rock1	Rho-associated, coiled-coil containing protein kinase 1	0.5
Sec14l2	SEC14-like 2 (S. cerevisiae)	0.43
Afp	alpha-fetoprotein	0.36
Pdlim4	PDZ and LIM domain 4	0.33
Mia	melanoma inhibitory activity	0.33
Nr2f2	nuclear receptor subfamily 2, group F, member 2	0.3/0.43
Cxcl17	chemokine (C-X-C motif) ligand 17	0.23/0.24
