# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|AK012104|12974	mgi_symbol|Cs|Cs
entrezgene|BM124000|230101	mgi_symbol|Gba2|Gba2
refseq_dna|NM_008322|NM_008322	mgi_symbol|Idh2|Idh2
entrezgene|AW106963|18534	mgi_symbol|Pck1|Pck1
refseq_dna|NM_018874|NM_018874	mgi_symbol|Pnliprp1|Pnliprp1
entrezgene|AK017272|16956	mgi_symbol|Lpl|Lpl
entrezgene|BE979765|103142	mgi_symbol|Rdh9|Rdh9
refseq_dna|NM_024406|NM_024406	mgi_symbol|Fabp4|Fabp4
entrezgene|BB829192|20454	mgi_symbol|Siat9|Siat9
entrezgene|BC018263|216454	mgi_symbol|CRAD-L|CRAD-L
entrezgene|U09114|14645	mgi_symbol|Glul|Glul
entrezgene|BC019483|107869	mgi_symbol|Cth|Cth
refseq_dna|NM_080845|NM_080845	mgi_symbol|Ftcd|Ftcd
entrezgene|BC024120|234724	mgi_symbol|Tat|Tat
refseq_dna|NM_007494|NM_007494	mgi_symbol|Ass1|Ass1
entrezgene|AA792094|14718	mgi_symbol|Got1|Got1
entrezgene|BC021950|231691	mgi_symbol|Sds|Sds
refseq_dna|NM_138595|NM_138595	mgi_symbol|Gldc|Gldc
entrezgene|L07645|15109	mgi_symbol|Hal|Hal
refseq_dna|NM_007482|NM_007482	mgi_symbol|Arg1|Arg1
embl|AK013765|AK013765	mgi_symbol|Ecgf1|Ecgf1
entrezgene|AF128849|13088	mgi_symbol|Cyp2b20|Cyp2b20
refseq_dna|NM_009998|NM_009998	mgi_symbol|Cyp2b10|Cyp2b10
entrezgene|J03953|14864	mgi_symbol|Gstm3|Gstm3
refseq_dna|NM_028089|NM_028089	mgi_symbol|Cyp2c55|Cyp2c55
entrezgene|BC015290|234671	mgi_symbol|Ces2|Ces2
refseq_dna|NM_008183|NM_008183	mgi_symbol|Gstm2|Gstm2
refseq_dna|NM_008898|NM_008898	mgi_symbol|Por|Por
refseq_dna|NM_008184|NM_008184	mgi_symbol|Gstm6|Gstm6
refseq_dna|NM_133660|NM_133660	mgi_symbol|Es22|Es22
