Probeset ID	Gene	Description	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value (%)
AGI_MM_OLIGO_A_51_P422751	Clca3	chloride channel calcium activated 3	-12.55460848	-9.06	0.721647355	543.4783	0.148059224
AGI_MM_OLIGO_A_51_P453909	Cyp2f2	cytochrome P450, family 2, subfamily f, polypeptide 2	-6.452467716	-5.79	0.897331107	56.88282	0.148059224
AGI_MM_OLIGO_A_51_P113585	Oit1	oncoprotein induced transcript 1	-6.771157218	-5.39	0.79602346	45.47522	0.148059224
AGI_MM_OLIGO_A_51_P134829	Hoxc9	homeo box C9	-1.902204901	-3.776666667	1.985415275	43.45937	0.344106022
AGI_MM_OLIGO_A_51_P501299	Rhox2	reproductive homeobox 2	-7.850170797	-5.19	0.661132112	36.79176	0.148059224
AGI_MM_OLIGO_A_51_P241740	Pyy	peptide YY	-8.421336796	-4.833333333	0.573938966	29.01073	0.148059224
AGI_MM_OLIGO_A_51_P371867	3830417A13Rik	RIKEN cDNA 3830417A13 gene	-5.040869303	-4.663333333	0.925104987	28.43332	0.148059224
AGI_MM_OLIGO_A_51_P362176	Fgg	fibrinogen, gamma polypeptide	-2.925931117	-4.11	1.404681052	28.34467	0.148059224
AGI_MM_OLIGO_A_51_P482128	Krt1-15	keratin complex 1, acidic, gene 15	-7.583021167	-4.643333333	0.612332899	24.94388	0.148059224
AGI_MM_OLIGO_A_51_P499698	2300003P22Rik	RIKEN cDNA 2300003P22 gene	-4.92102881	-4.39	0.89208988	23.54049	0.148059224
AGI_MM_OLIGO_A_51_P338040	AW146242	expressed sequence AW146242	-3.867394365	-4.516666667	1.167883655	19.92826	0.148059224
AGI_MM_OLIGO_A_51_P167403	Bglap-rs1	bone gamma-carboxyglutamate protein, related sequence 1	-3.472008258	-3.933333333	1.132869809	19.84915	0.148059224
AGI_MM_OLIGO_A_51_P287418	Man1a	mannosidase 1, alpha	-3.797579272	-4.223333333	1.112111961	17.89549	0.148059224
AGI_MM_OLIGO_A_51_P290826	Calca	calcitonin/calcitonin-related polypeptide, alpha	-3.307154433	-3.776666667	1.141968645	17.27116	0.148059224
AGI_MM_OLIGO_A_51_P194415	Slco3a1	solute carrier organic anion transporter family, member 3a1	-2.712890385	-3.92	1.444953331	15.89572	0.148059224
AGI_MM_OLIGO_A_51_P305437	Rcn1	reticulocalbin 1	-3.541098188	-4.026666667	1.137123698	15.55936	0.148059224
AGI_MM_OLIGO_A_51_P231103	Defb1	defensin beta 1	-5.641635775	-3.9	0.691288866	15.45595	0.148059224
AGI_MM_OLIGO_A_51_P361678	Cgnl1	cingulin-like 1	-4.90978227	-3.916666667	0.79772716	14.4113	0.148059224
AGI_MM_OLIGO_A_51_P101474	Trfr2	transferrin receptor 2	-4.720752757	-3.933333333	0.833200453	14.38021	0.148059224
AGI_MM_OLIGO_A_51_P163015	Arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	-2.513371561	-3.356666667	1.335523453	14.3575	0.148059224
AGI_MM_OLIGO_A_51_P190279	Nup62	nucleoporin 62	-2.886862493	-3.386666667	1.173130579	14.3472	0.148059224
AGI_MM_OLIGO_A_51_P398723	Flt1	FMS-like tyrosine kinase 1	-3.465188312	-3.526666667	1.017741707	14.08252	0.148059224
AGI_MM_OLIGO_A_51_P276305	Stra8	stimulated by retinoic acid gene 8	-5.835920099	-3.83	0.656280404	14.05481	0.148059224
AGI_MM_OLIGO_A_51_P409349	Trim29	tripartite motif protein 29	-5.364033418	-3.746666667	0.698479367	14.02131	0.148059224
AGI_MM_OLIGO_A_51_P472795	Slc1a7	solute carrier family 1 (glutamate transporter), member 7	-2.160441311	-3.046666667	1.410205707	13.9958	0.148059224
AGI_MM_OLIGO_A_51_P294161	4930422G04Rik	RIKEN cDNA 4930422G04 gene	-1.857672564	-2.783333333	1.498290596	12.88162	0.36388223
AGI_MM_OLIGO_A_51_P504314	Prpf38b	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B	-1.088843222	-2.086666667	1.916406902	12.83532	4.484408549
AGI_MM_OLIGO_A_51_P280761	Baz1a	bromodomain adjacent to zinc finger domain 1A	-1.478950021	-2.523333333	1.706165386	12.71618	1.010928962
AGI_MM_OLIGO_A_51_P427563	Cpne8	copine VIII	-3.863095743	-3.533333333	0.914637785	12.66945	0.148059224
AGI_MM_OLIGO_A_51_P494125	Akp2	alkaline phosphatase 2, liver	-3.975686797	-3.753333333	0.944071685	12.63105	0.148059224
AGI_MM_OLIGO_A_51_P264956	Kif1b	kinesin family member 1B	-1.298870148	-2.343333333	1.804132104	12.37164	2.272482995
AGI_MM_OLIGO_A_51_P409583	3110045G13Rik	RIKEN cDNA 3110045G13 gene	-2.780355832	-3.26	1.172511792	12.3533	0.148059224
AGI_MM_OLIGO_A_51_P199352	2310015B20Rik	RIKEN cDNA 2310015B20 gene	-2.851204846	-3.173333333	1.112979777	11.66317	0.148059224
AGI_MM_OLIGO_A_51_P147984	Itlna	intelectin a	-1.954048606	-2.84	1.453392711	11.58212	0.248030836
AGI_MM_OLIGO_A_51_P120017	Pde2a	phosphodiesterase 2A, cGMP-stimulated	-3.640961104	-3.43	0.942058951	11.4692	0.148059224
AGI_MM_OLIGO_A_51_P360672	Lrrc28	leucine rich repeat containing 28	-1.818853566	-2.67	1.467957647	11.45738	0.36388223
AGI_MM_OLIGO_A_51_P294891	Ppargc1b	peroxisome proliferative activated receptor, gamma, coactivator 1 beta	-1.573528588	-2.466666667	1.567602067	11.05705	0.681211452
AGI_MM_OLIGO_A_51_P221460	Ormdl3	ORM1-like 3 (S. cerevisiae)	-1.726253326	-2.596666667	1.504221094	10.93972	0.36388223
AGI_MM_OLIGO_A_51_P452711	Kcnmb4	potassium large conductance calcium-activated channel, subfamily M, beta member 4	-5.205208842	-3.403333333	0.653832236	10.61233	0.148059224
AGI_MM_OLIGO_A_51_P435617	Vmd2l3	vitelliform macular dystrophy 2-like 3	-1.772166423	-2.566666667	1.448321463	10.49208	0.36388223
AGI_MM_OLIGO_A_51_P224164	Slc26a4	solute carrier family 26, member 4	-6.595732112	-3.37	0.510936458	10.39285	0.148059224
AGI_MM_OLIGO_A_51_P168894	Tmem16a	transmembrane protein 16A	-2.911326704	-3.423333333	1.175867116	10.20721	0.148059224
AGI_MM_OLIGO_A_51_P231820	C130026I21Rik	RIKEN cNDA C130026I21 gene	-3.015044681	-3.366666667	1.116622479	10.13787	0.148059224
AGI_MM_OLIGO_A_51_P371942	Pcolce	procollagen C-endopeptidase enhancer protein	-4.409683662	-3.306666667	0.749864825	9.990009	0.148059224
AGI_MM_OLIGO_A_51_P483059	Dicer1	Dicer1, Dcr-1 homolog (Drosophila)	-1.19446419	-2.08	1.741366563	9.966115	3.336956959
AGI_MM_OLIGO_A_51_P311938	Trove2	TROVE domain family, member 2	-2.558560923	-3.463333333	1.353625509	9.933446	0.148059224
