Sample_ID	Expected score (dExp)	Observed score(d)	Numerator(r)	Denominator (s+s0)	Fold change	q-value (%)	GENE_SYMBOL
223047_at	0.12425086	-11.891032	-3.1849413	0.26784396	0.1146576	0	CMTM6
217947_at	-0.007367376	-19.586916	-2.94144	0.15017372	0.1306717	0	CMTM6
201890_at	-0.459991	-17.824333	-2.8840756	0.16180553	0.1360072	0	RRM2
226847_at	0.22653952	12.586624	2.5720398	0.20434707	5.9497886	0	FST
224850_at	0.1717303	-13.199724	-2.555979	0.19363882	0.1689238	0	ATAD1
212605_s_at	-0.14478984	-11.904305	-2.3922338	0.20095535	0.1906593	0	NA
221932_s_at	0.09495332	-14.365736	-2.31844	0.16138679	0.201574	0	GLRX5
203211_s_at	-0.41398942	-11.415531	-2.2911432	0.20070404	0.2046942	0	MTMR2
225300_at	0.18389587	-12.846702	-2.282185	0.17764755	0.2066841	0	C15orf23
208652_at	-0.24923056	-9.720282	-2.18679	0.22497188	0.2233698	0	PPP2CA
204948_s_at	-0.35776833	13.726163	2.0937786	0.15253925	4.258029	0	FST
202499_s_at	-0.4384127	12.968323	2.0846767	0.16075145	4.232959	0	SLC2A3
200777_s_at	-0.5011341	-13.287986	-2.0624905	0.15521468	0.2399119	0	BZW1///LOC151579
212205_at	-0.15529704	-10.336338	-2.0639849	0.19968241	0.24164	0	H2AFV
209248_at	-0.23262377	-13.05128	-2.004971	0.15362255	0.2492062	0	GHITM
217845_x_at	-0.009975949	-12.215605	-2.0051837	0.16414936	0.249776	0	HIGD1A
229803_s_at	0.31223056	-16.008001	-1.9860129	0.12406377	0.2523134	0	NA
216952_s_at	-0.032711532	-13.636125	-1.9556012	0.14341328	0.2579022	0	LMNB2
227309_at	0.23957367	7.6796885	1.9910486	0.25926164	3.8614736	0	YOD1
212110_at	-0.15779263	-12.466545	-1.9395704	0.15558203	0.2611538	0	SLC39A14
212608_s_at	-0.14470823	-7.8855453	-1.9577298	0.24826816	0.2630783	0	NA
203266_s_at	-0.41220286	-9.000887	-1.9242983	0.21378985	0.265525	0	MAP2K4
221896_s_at	0.09401776	-12.084188	-1.8820133	0.15574181	0.272056	0	HIGD1A
221791_s_at	0.09127228	-16.95655	-1.8674803	0.11013327	0.2739818	0	CCDC72
213154_s_at	-0.1304089	-8.097136	-1.845792	0.22795618	0.2759816	0	BICD2
208078_s_at	-0.26513386	11.029538	1.8592639	0.16857132	3.6139665	0	SNF1LK
201721_s_at	-0.4661335	-10.931875	-1.8472748	0.1689806	0.2803965	0	LAPTM5
209189_at	-0.23425078	11.477318	1.8208618	0.15864873	3.5126333	0	FOS
206924_at	-0.2978184	-7.880152	-1.8162639	0.23048589	0.2852823	0	IL11
208787_at	-0.24549645	-11.873316	-1.8005991	0.1516509	0.2869093	0	MRPL3
211976_at	-0.1613415	-12.187439	-1.7874327	0.14666188	0.2889099	0	NA
224641_at	0.16614051	-8.860901	-1.78685	0.20165557	0.2930068	0	FYTTD1
202833_s_at	-0.42684677	-8.861444	-1.7852781	0.20146582	0.2954403	0	SERPINA1
203963_at	-0.3890918	-8.743811	-1.7515306	0.20031662	0.3012866	0	CA12
200792_at	-0.50054425	-14.615975	-1.723793	0.117938966	0.3028833	0	XRCC6
201343_at	-0.4799138	-7.7504697	-1.7325349	0.22353934	0.3056279	0	UBE2D2
201150_s_at	-0.4870407	-11.303322	-1.7094374	0.15123318	0.305943	0	TIMP3
