Oligo_id	Entrez gene	Gene Symbol (Clone|gene ID converter)	Description (Clone|gene ID converter)	description	chromosome	RefSeq	gene_id	transcript_id	logFC	AveExpr	t	P.Value	adj.P.Value
H200011485	55339	WDR33	WD repeat domain 33	WD-repeat protein 33 (WD-repeat protein WDC146). [Source:Uniprot/SWISSPROT;Acc:Q9C0J8]	2	NM_018383	ENSG00000136709	ENST00000322313	0.6685752	7.885566	3.423094	0.000792563	0.01349637
H200011232	23137	SMC5	Structural maintenance of chromosomes 5	SMC5 protein [Homo sapiens]. [Source:RefSeq;Acc:NM_015110]	9	-	ENSG00000198887	ENST00000361138, ENST00000361262	0.6486709	6.067457	3.509202	0.000588916	0.01124165
H200006861	9768	KIAA0101	KIAA0101	-	15	NM_014736	ENSG00000166803	ENST00000300035	0.6062178	6.636233	6.511207	9.88E-10	2.34E-06
H200007011	4312	MMP1	Matrix metallopeptidase 1 (interstitial collagenase)	Interstitial collagenase precursor (EC 3.4.24.7) (Matrix metalloproteinase-1) (MMP-1) (Fibroblast collagenase). [Source:Uniprot/SWISSPROT;Acc:P03956]	11	NM_002421	ENSG00000196611	ENST00000315274	0.5861432	6.067543	3.580134	0.000459246	0.009595466
H200005900	7138	TNNT1	Troponin T type 1 (skeletal, slow)	Troponin T, slow skeletal muscle isoforms (Slow skeletal muscle troponin T). [Source:Uniprot/SWISSPROT;Acc:P13805]	19	NM_003283	ENSG00000105048	ENST00000356783, ENST00000291901	0.5743669	6.708086	3.306057	0.001176371	0.01729484
H200011819	6280	S100A9	S100 calcium binding protein A9	Calgranulin B (Migration inhibitory factor-related protein 14) (MRP- 14) (P14) (Leukocyte L1 complex heavy chain) (S100 calcium-binding protein A9) (Calprotectin L1H subunit). [Source:Uniprot/SWISSPROT;Acc:P06702]	1	NM_002965	ENSG00000163220	ENST00000295382	0.5700428	6.549258	3.187511	0.001736837	0.02271322
H200005843	55765	C1orf106	Chromosome 1 open reading frame 106	-	1	NM_018265	ENSG00000163362	ENST00000295551	0.5182658	5.649982	4.845278	3.05E-06	0.00028848
H200019764	85320	ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	ATP-binding cassette, sub-family C, member 11 isoform a; multi-resistance protein 8; ATP-binding cassette transporter MRP8; ATP-binding cassette protein C11 [Homo sapiens]. [Source:RefSeq;Acc:NM_032583]	16	NM_145186,NM_033151,NM_032583	ENSG00000121270	ENST00000353782, ENST00000356608, ENST00000240555	0.5165259	6.14975	3.130139	0.002089326	0.02575747
H200004030	23532	PRAME	Preferentially expressed antigen in melanoma	Melanoma antigen preferentially expressed in tumors (Preferentially expressed antigen of melanoma) (OPA-interacting protein 4) (OIP4). [Source:Uniprot/SWISSPROT;Acc:P78395]	22	NM_206956,NM_206954,NM_206953,NM_206955,NM_006115	ENSG00000185686	ENST00000358617, ENST00000333424	0.5036501	5.453228	3.581704	0.000456705	0.009595466
H200001643	9618	TRAF4	TNF receptor-associated factor 4	TNF receptor associated factor 4 (Cysteine-rich domain associated with RING and Traf domains protein 1) (Malignant 62). [Source:Uniprot/SWISSPROT;Acc:Q9BUZ4]	17	NM_004295	ENSG00000076604	ENST00000262395	0.5022212	6.596663	6.156627	6.13E-09	5.50E-06
