Probeset ID	Genbank	Gene Symbol	Nevi-mean	Nevi-StdErr	Melanoma-mean	Melanoma-StdErr	NS-mean	NS-StdErr	P-value	Description
1552620_at	NM_173080	SPRR4	3374.4	438.53	518.34	256.22	6451.33	913.77	1.74E-10	small proline rich protein 4
1553613_s_at	NM_001453	FOXC1	961.06	97.19	86.03	19.55	1073.47	162.59	7.66E-13	forkhead box C1
1554821_a_at	BC015030	ZBED1	150.87	18.54	16.07	3.64	82	13.77	2.99E-09	zinc finger, BED-type containing 1
1555505_a_at	BC027179	TYR	52.31	24.6	373.62	75.66	6.53	0.19	1.59E-13	tyrosinase (oculocutaneous albinism IA)
1555579_s_at	BC029442	PTPRM	80.84	23.76	964	119.98	37.07	11.78	7.49E-17	protein tyrosine phosphatase, receptor type, M
1556182_x_at	BC018095	DRAP1	173.97	18.3	30.9	1.45	83.2	17.5	4.51E-09	Similar to ankyrin
1556590_s_at	T83966		28.09	7.54	91.55	19.65	7.8	0.37	4.35E-09	CDNA FLJ25645 fis, clone SYN00113
1556839_s_at	AA515490	SPTBN5	537.85	89.19	11.59	2.63	880.2	118.01	1.54E-20	Spectrin, beta, non-erythrocytic 5
1557292_a_at	AW665790	MCOLN3	57.63	21.72	218.86	36.68	10.6	0.88	3.73E-16	mucolipin 3
1557797_a_at	AW611486	ZFHX1B	82.84	14.54	1066.03	139.85	88.73	19.31	2.13E-11	Zinc finger homeobox 1b
1559360_at	AL833045	EFNA5	183.37	18.06	22.86	3.75	158.87	28.65	6.87E-10	Nuclear RNA-binding protein, putative
200601_at	U48734	ACTN4	493.62	41.87	89.72	12.78	265.2	54.94	1.91E-09	actinin, alpha 4
200665_s_at	NM_003118	SPARC	119.72	20.64	878.14	113.9	71.6	26.99	1.17E-11	osteonectin
200862_at	NM_014762	DHCR24	178.29	16.94	92.48	25.64	299.13	29.2	5.83E-09	24-dehydrocholesterol reductase
200958_s_at	NM_005625	SDCBP	518.28	113.58	3158.07	308.14	348.8	67.03	5.17E-13	syndecan binding protein (syntenin)
201010_s_at	NM_006472	TXNIP	1080.18	81.14	341.86	50.4	1971.07	232.72	1.33E-09	thioredoxin interacting protein
201147_s_at	BF347089	TIMP3	1488.65	187.32	75.93	19.84	1713.07	307.24	1.66E-16	TIMP metallopeptidase inhibitor 3
201148_s_at	AW338933	TIMP3	292.09	51.61	15.76	3.71	270.2	47.32	3.86E-15	TIMP metallopeptidase inhibitor 3
201149_s_at	U67195	TIMP3	464.91	76.74	13.07	3.4	295.4	45.5	3.78E-18	TIMP metallopeptidase inhibitor 3
201150_s_at	NM_000362	TIMP3	351.13	56.44	21.79	4	641.4	118.61	2.18E-17	TIMP metallopeptidase inhibitor 3
201287_s_at	NM_002997	SDC1	1418.13	127.71	258.21	64.26	1087.07	137.03	1.07E-08	syndecan 1
201470_at	NM_004832	GSTO1	389.99	38.78	1174.52	159.35	394.6	33.51	2.51E-10	glutathione S-transferase omega 1
201674_s_at	BC000729	AKAP1	83.54	6.61	16.66	2.34	40.07	6.14	5.98E-10	A kinase (PRKA) anchor protein 1
201745_at	NM_002822	PTK9	89.32	10.4	266	27.82	98.07	11.47	4.21E-10	PTK9 protein tyrosine kinase 9
201909_at	NM_001008	RPS4Y1	958.93	116.2	779.93	159.3	1813.13	133.75	1.53E-09	ribosomal protein S4, Y-linked 1
201945_at	NM_002569	FURIN	506.54	47.48	77.07	15.34	229.27	50.04	4.38E-09	furin (paired basic amino acid cleaving enzyme)
202071_at	NM_002999	SDC4	234.88	18.75	43.83	4.85	263.67	58.17	1.23E-10	syndecan 4 (amphiglycan, ryudocan)
202088_at	AI635449	SLC39A6	482.88	45.97	1646.83	155.3	446.93	44.45	4.63E-10	solute carrier family 39, member 6
202158_s_at	NM_006561	CUGBP2	38.87	8.55	272.59	35.45	62.13	11.55	1.40E-09	CUG triplet repeat, RNA binding protein 2
202291_s_at	NM_000900	MGP	109.69	39.9	6.1	0.39	343.53	72.94	9.56E-14	matrix Gla protein
202435_s_at	AU154504	CYP1B1	1088.1	108.21	56.9	22.44	572	108.39	7.77E-12	cytochrome P450, family 1, subfamily B
202436_s_at	AU144855	CYP1B1	2006.94	202.45	108.86	53.98	1754.8	339.03	2.85E-12	cytochrome P450, family 1, subfamily B
202437_s_at	NM_000104	CYP1B1	701.65	75.68	45.9	12.21	604.47	156.09	1.19E-09	cytochrome P450, family 1, subfamily B
202478_at	NM_021643	TRIB2	150.46	39.64	967.41	143.8	191.6	29.76	6.84E-12	tribbles homolog 2 (Drosophila)
202479_s_at	BC002637	TRIB2	140.9	38.9	545.97	95.64	65.67	11.1	6.75E-09	tribbles homolog 2 (Drosophila)
202500_at	NM_006736	DNAJB2	842.85	68.67	118.86	16.4	795.6	144.79	6.21E-13	DnaJ (Hsp40) homolog, subfamily B, member 2
202551_s_at	BG546884	CRIM1	1034.71	91.24	131.07	22.5	1105.53	190.61	4.61E-10	cysteine rich transmembrane BMP regulator 1
202592_at	NM_001487	BLOC1S1	337.74	30.97	74.97	8.85	360.27	57.73	5.86E-10	biogenesis of lysosome-related organelles complex-1, subunit 1
202651_at	NM_014873	LPGAT1	37.47	4.24	138.97	17.98	26.93	3.02	1.77E-09	lysophosphatidylglycerol acyltransferase 1
202669_s_at	U16797	EFNB2	146.62	15.8	15.28	3.47	97.27	27.12	2.99E-10	ephrin-B2
202730_s_at	NM_014456	PDCD4	709.93	64.03	151.03	17.99	912.67	146.46	1.24E-10	programmed cell death 4
202731_at	NM_014456	PDCD4	774.31	74.42	152.93	22.64	966	168.21	4.95E-09	programmed cell death 4
202826_at	NM_003710	SPINT1	144.24	17.3	26.93	5.69	209.93	48.3	7.17E-09	serine peptidase inhibitor, Kunitz type 1
202935_s_at	AI382146	SOX9	2937.12	241.2	274.14	44.09	3029.73	326.07	1.05E-13	SRY (sex determining region Y)-box 9
202936_s_at	NM_000346	SOX9	2349.93	178.47	210.21	33.5	3580.13	364.89	3.84E-18	SRY (sex determining region Y)-box 9
203011_at	NM_005536	IMPA1	25.87	2.82	113.59	15.2	19.87	1.88	1.24E-10	inositol(myo)-1(or 4)-monophosphatase 1
203217_s_at	NM_003896	ST3GAL5	39.19	12.49	303.45	43.58	18.67	3.72	1.84E-14	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
203329_at	NM_002845	PTPRM	12.54	3.76	106.07	17.5	5.27	0.21	6.85E-15	protein tyrosine phosphatase, receptor type, M
203354_s_at	AW117368	PSD3	196.47	19.99	26.62	3.75	207.33	53.56	7.90E-09	pleckstrin and Sec7 domain containing 3
203455_s_at	NM_002970	SAT	709.43	104.75	4129.59	382.18	902.93	120.18	4.20E-12	spermidine/spermine N1-acetyltransferase
203554_x_at	NM_004219	PTTG1	96.62	15.17	395.69	86.77	55.2	14.13	5.66E-09	pituitary tumor-transforming 1
203603_s_at	NM_014795	ZFHX1B	27.96	6.15	296.52	47.91	17.67	3.5	6.75E-12	zinc finger homeobox 1b
203705_s_at	AI333651	FZD7	483.51	48.95	33.83	7.6	526.53	84.29	7.51E-13	frizzled homolog 7 (Drosophila)
203706_s_at	NM_003507	FZD7	618.82	63.6	33.55	6.64	955.4	190.16	4.32E-13	frizzled homolog 7 (Drosophila)
203712_at	NM_014878	KIAA0020	44.85	3.45	101.17	12.08	31.93	3.18	4.41E-09	KIAA0020
203903_s_at	NM_014799	HEPH	70.76	7.93	7.34	0.63	81.13	16.02	2.24E-12	hephaestin
203921_at	NM_004267	CHST2	1862.44	140.16	75.45	15.37	1740.27	191.92	8.20E-20	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2
204252_at	M68520	CDK2	109.99	12.08	384.59	47.32	75.4	5.7	5.88E-10	cyclin-dependent kinase 2
204271_s_at	M74921	EDNRB	340.46	138.61	2621.28	297.11	88.73	34.98	1.49E-17	endothelin receptor type B
204273_at	NM_000115	EDNRB	42.62	14.97	325.45	50.46	6.6	0.41	3.15E-24	endothelin receptor type B
204319_s_at	NM_002925	RGS10	41.9	6.76	154.76	17.8	108	31.19	3.56E-09	regulator of G-protein signalling 10
204409_s_at	BC005248	EIF1AY	202.85	28.56	225.59	48.1	448.6	52.86	4.51E-09	eukaryotic translation initiation factor 1A, Y-linked
204415_at	NM_022873	G1P3	60.38	30.06	238.38	37.58	50.27	37.68	3.56E-09	interferon, alpha-inducible protein (clone IFI-6-16)
204457_s_at	NM_002048	GAS1	708.97	75.65	82.97	17.2	732.87	133.4	1.04E-08	growth arrest-specific 1
204466_s_at	BG260394	SNCA	54.04	25.38	417.17	75.46	5.87	0.34	6.06E-19	synuclein, alpha (non A4 component of amyloid precursor)
204527_at	NM_000259	MYO5A	38.99	6.08	174.1	21	33.13	5.23	1.72E-11	myosin VA (heavy polypeptide 12, myoxin)
204734_at	NM_002275	KRT15	4911.12	484.8	532.34	132.88	7027.2	820.44	2.71E-13	keratin 15
204995_at	AL567411	CDK5R1	33.53	6.82	176.83	26.04	13.27	1.11	1.18E-13	cyclin-dependent kinase 5, regulatory subunit 1 (p35)
205011_at	NM_014622	LOH11CR2A	139.07	12.45	26.55	4.96	193.27	38.48	1.43E-09	loss of heterozygosity, 11, chromosomal region 2, gene A
