Gene	Gene Symbol	Short DLI PDT 24 h Fold change	Short DLI PDT 24 h p-value	Short DLI PDT 24 h regulation	Long DLI PDT 24 h Fold change	Long DLI PDT 24 h p-value	Long DLI PDT 24 h regulation	Function
Cadherin 5, type 2, VE-cadherin	CDH5	0.08	0.015	down	0.214	0.0313	down	Adhesion molecules
Collagen, type XVIII, alpha 1	COL18A1	0.016	0.0335	down	0.024	0.051	down	Adhesion molecules
Collagen, type IV, alpha 3	COL4A3	0.006	0.0075	down	0.027	0.027	down	Adhesion molecules
Integrin, alpha V	ITGAV	0.0007	0.00003	down	0.086	0.029	down	Adhesion molecules
Integrin, beta 3	ITGB3	0.169	0.027	down	0.144	0.025	down	Adhesion molecules
Hepatocyte growth factor	HGF	30.7	0.00008	up	8.04	0.0014	up	Growth factors and receptors
Ephrin-A3	EFNA3	12.76	0.026	up	12.47	0.035	up	Growth factors and receptors
Platelet-derived growth factor alpha polypeptide	PDGFA	10.15	0.038	up	22.68	0.0109	up	Growth factors and receptors
Epidermal growth factor	EGF	7.013	0.003	up	0.051	0.017	down	Growth factors and receptors
Neuropilin 2	NRP2	5.502	0.031	up	5.993	0.012	up	Growth factors and receptors
Ephrin-B2	EFNB2	0.003	0.0002	down	0.205	0.039	down	Growth factors and receptors
Jagged 1	JAG1	0.001	0.008	down	0.004	0.021	down	Growth factors and receptors
Tumor necrosis factor, alpha-induced protein 2	TNFAIP2	3.34	0.045	up	0.136	0.031	down	Growth factors and receptors
TEK tyrosine kinase, endothelial	TEK	0.25	0.042	down	0.218	0.0028	down	Growth factors and receptors
Transforming growth factor, alpha	TGFA	0.054	0.03	down	0.018	0.0106	down	Growth factors and receptors
Vascular endothelial growth factor C	VEGFC	0.0031	0.003	down	0.023	0.013	down	Growth factors and receptors
