Entrez ID	Symbol	Description	P-value	Fold-change	Response Type
136	ADORA2B	Adenosine A2b receptor	0.0133	1.4	Defence response
2788	GNG7	Guanine nucleotide binding protein (G protein), gamma 7	0.0336	1.2	Defence response
7033	TFF3	Trefoil factor 3 (intestinal)	0.0127	1.5	Defence response
23601	CLEC5A	C-type lectin domain family 5, member A	0.0207	1.7	Defence response
57817	HAMP	Hepcidin antimicrobial peptide	0.0025	2.4	Defence response
81035	COLEC12	Collectin subfamily member 12	0.0152	1.2	Defence response
140	ADORA3	Adenosine A3 receptor	0.0327	1.3	Inflammatory response
624	BDKRB2	Bradykinin receptor B2	0.0273	1.2	Inflammatory response
3075	CFH	Complement factor H	0.001	1.2	Inflammatory response
4282	MIF	Macrophage migration inhibitory factor (glycosylation-inhibiting factor)	0.0282	1.1	Inflammatory response
4973	OLR1	Oxidized low density lipoprotein (lectin-like) receptor 1	0.0003	1.6	Inflammatory response
7852	CXCR4	Chemokine (C-X-C motif) receptor 4	0.0388	1.3	Inflammatory response
10344	CCL26	Chemokine (C-C motif) ligand 26	0.0004	3.2	Inflammatory response
10630	PDPN	Podoplanin	0.0202	1.2	Inflammatory response
25824	PRDX5	Peroxiredoxin 5	0.02	1.1	Inflammatory response
53833	IL20RB	Interleukin 20 receptor beta	0.0185	1.3	Inflammatory response
57834	CYP4F11	Cytochrome P450, family 4, subfamily F, polypeptide 11	0.0372	1.4	Inflammatory response
148022	TICAM1	Toll-like receptor adaptor molecule 1	0.0379	1.2	Inflammatory response
