No.	ProbeID	Gene symbol	Title	P	Fold change
1	209464 at	AURKB	Aurora kinase B	0·0000002	3·59
2	202503 s at	KIAA0101	KIAA0101	0·0000007	5·24
3	201075 s at	SMARCC1	Switching/sucrose non-fermenting (SWI/SNF)-related, matrix-associated, actin-dependent regulator of chromatin, subfamily c, member 1	0·0000012	2·46
4	202107 s at	MCM2	MCM2, minichromosome maintenance-deficient 2, mitotin (Saccharomyces cerevisiae)	0·0000012	4·33
5	218009 s at	PRC1	Protein regulator of cytokinesis 1	0·0000012	4·83
6	210052 s at	TPX2	TPX2, microtubule-associated, homologue (Xenopus laevis)	0·0000019	3·92
7	203764 at	DLG7	Discs, large homologue 7 (Drosophila)	0·0000030	4·04
8	212801 at	CIT	Citron (rho-interacting, serine/threonine kinase 21)	0·0000030	2·56
9	218355 at	KIF4A	Kinesin family member 4A	0·0000030	4·11
10	201112 s at	CSE1L	CSE1, chromosome segregation 1-like (yeast)	0·0000045	2·13
11	218755 at	KIF20A	Kinesin family member 20A	0·0000045	4·52
12	202705 at	CCNB2	Cyclin B2	0·0000097	3·22
13	204709 s at	KIF23	Kinesin family member 23	0·0000097	3·07
14	206102 at	PSF1	DNA replication complex GINS protein PSF1	0·0000097	4·57
15	209642 at	BUB1	BUB1, budding uninhibited by benzimidazoles 1 homologue (yeast)	0·0000097	3·87
16	225687 at	C20orf129	Chromosome 20 open reading frame 129	0·0000097	4·52
17	1552619 a at	ANLN	Anillin, actin-binding protein (scraps homologue, Drosophila)	0·0000097	3·38
18	202326 at	EHMT2	Euchromatic histone-lysine N-methyltransferase 2	0·0000139	2·14
19	206550 s at	NUP155	Nucleoporin 155 kDa	0·0000139	2·49
20	210115 at	RPL39L	Ribosomal protein L39-like	0·0000139	2·55
21	226980 at	DEPDC1B	DEP domain-containing 1B	0·0000139	3·53
22	201111 at	CSE1L	CSE1 chromosome segregation 1-like (yeast)	0·0000194	2·26
23	201292 at	TOP2A	Topoisomerase (DNA) II alpha 170 kDa	0·0000194	5·22
24	204603 at	EX01	Exonuclease 1	0·0000194	2·21
25	223271 s at	CTDSPL2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase-like 2	0·0000194	2·07
26	201663 s at	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	0·0000269	2·89
27	207828 s at	CENPF	Centromere protein F, 350/400 kDa (mitosin)	0·0000269	3·75
28	209714 s at	CDKN3	Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual-specificity phosphatase)	0·0000269	4·55
29	212639 x at	K-ALPHA-1	Tubulin, alpha, ubiquitous	0·0000269	2·14
30	214710 s at	CCNB1	Cyclin B1	0·0000269	4·21
31	223699 at	CNDP1	Carnosine dipeptidase 1 (metallopeptidase M20 family)	0·0000269	0·21
32	224753 at	CDCA5	Cell division cycle-associated 5	0·0000269	2·74
33	1555278 a at	CKAP5	Cytoskeleton-associated protein 5	0·0000269	2·03
