Probeset ID	Gene	Description	Fold Change
AGI_MM_OLIGO_A_51_P120830	Mmp10	matrix metallopeptidase 10	6.05552
AGI_MM_OLIGO_A_51_P184006	Cpxm2	carboxypeptidase X 2 (M14 family)	5.77958
AGI_MM_OLIGO_A_51_P285736	Pdcd1	programmed cell death 1	5.30678
AGI_MM_OLIGO_A_51_P269709	Klra2	killer cell lectin-like receptor, subfamily A, member 2	5.10061
AGI_MM_OLIGO_A_51_P201982	Angpt2	angiopoietin 2	4.92489
AGI_MM_OLIGO_A_51_P429241	Tcrg	T cell receptor gamma chain	4.72895
AGI_MM_OLIGO_A_51_P412027	Cxcr6	chemokine (C-X-C motif) receptor 6	4.44745
AGI_MM_OLIGO_A_51_P360918	Ehd3	EH-domain containing 3	4.40109
AGI_MM_OLIGO_A_51_P517388	1100001H23Rik	RIKEN cDNA 1100001H23 gene	4.33703
AGI_MM_OLIGO_A_51_P312039	Cd300le	CD300 antigen like family member E	4.21998
AGI_MM_OLIGO_A_51_P362029	Cd48	CD48 antigen	4.13714
AGI_MM_OLIGO_A_51_P280947	Klrd1	killer cell lectin-like receptor, subfamily D, member 1	4.10348
AGI_MM_OLIGO_A_51_P184484	Mmp13	matrix metallopeptidase 13	3.98770
AGI_MM_OLIGO_A_51_P350311	Rarres2	retinoic acid receptor responder (tazarotene induced) 2	3.98752
AGI_MM_OLIGO_A_51_P112966	Ch25h	cholesterol 25-hydroxylase	3.95716
AGI_MM_OLIGO_A_51_P219109	Il12rb1	interleukin 12 receptor, beta 1	3.95495
AGI_MM_OLIGO_A_51_P315666	Nid2	nidogen 2	3.91266
AGI_MM_OLIGO_A_51_P147274	Clec4a3	C-type lectin domain family 4, member a3	3.85843
AGI_MM_OLIGO_A_51_P401797	Mmp9	matrix metallopeptidase 9	3.85570
AGI_MM_OLIGO_A_51_P240374	Col13a1	procollagen, type XIII, alpha 1	3.84828
AGI_MM_OLIGO_A_51_P333460	5430427O19Rik	RIKEN cDNA 5430427O19 gene	3.84238
AGI_MM_OLIGO_A_51_P153124	Emcn	endomucin	3.83609
AGI_MM_OLIGO_A_51_P503797	Lair1	leukocyte-associated Ig-like receptor 1	3.76337
AGI_MM_OLIGO_A_51_P316673	2210407C18Rik	RIKEN cDNA 2210407C18 gene	3.75856
AGI_MM_OLIGO_A_51_P453111	Hexb	hexosaminidase B	3.65657
AGI_MM_OLIGO_A_51_P463765	Timp3	tissue inhibitor of metalloproteinase 3	3.61095
AGI_MM_OLIGO_A_51_P414396	Mmrn2	multimerin 2	3.59870
AGI_MM_OLIGO_A_51_P494241	Bcl2a1b	B-cell leukemia/lymphoma 2 related protein A1b	3.58522
AGI_MM_OLIGO_A_51_P376238	Serping1	serine (or cysteine) peptidase inhibitor, clade G, member 1	3.52096
AGI_MM_OLIGO_A_51_P205209	Cd244	CD244 natural killer cell receptor 2B4	3.48934
AGI_MM_OLIGO_A_51_P180747	Ctla2a	cytotoxic T lymphocyte-associated protein 2 alpha	3.43468
AGI_MM_OLIGO_A_51_P414110	Ptprc	protein tyrosine phosphatase, receptor type, C	3.37074
AGI_MM_OLIGO_A_51_P342652	Cd79b	CD79B antigen	3.36500
AGI_MM_OLIGO_A_51_P257932	Tnfsf13b	tumor necrosis factor (ligand) superfamily, member 13b	3.35941
AGI_MM_OLIGO_A_51_P489522	Ctla2b	cytotoxic T lymphocyte-associated protein 2 beta	3.29162
AGI_MM_OLIGO_A_51_P121031	March1	membrane-associated ring finger (C3HC4) 1	3.27551
AGI_MM_OLIGO_A_51_P345121	Cd8a	CD8 antigen, alpha chain	3.25298
AGI_MM_OLIGO_A_51_P215530	Rnf180	ring finger protein 180	3.22279
AGI_MM_OLIGO_A_51_P483324	Ptpn22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	3.21340
AGI_MM_OLIGO_A_51_P108020	Zmynd15	zinc finger, MYND-type containing 15	3.13808
AGI_MM_OLIGO_A_51_P478061	Igsf4a	immunoglobulin superfamily, member 4A	3.10907
AGI_MM_OLIGO_A_51_P212782	Il1b	interleukin 1 beta	3.07401
AGI_MM_OLIGO_A_51_P385639	Gjb5	gap junction membrane channel protein beta 5	3.07290
AGI_MM_OLIGO_A_51_P484020	Cd300d	Cd300D antigen	3.06476
AGI_MM_OLIGO_A_51_P418749	Paqr3	progestin and adipoQ receptor family member III	3.04835
AGI_MM_OLIGO_A_51_P258372	Igsf6	immunoglobulin superfamily, member 6	3.04735
AGI_MM_OLIGO_A_51_P449824	4933417E01Rik	RIKEN cDNA 4933417E01 gene	3.04021
AGI_MM_OLIGO_A_51_P149455	Acadl	acetyl-Coenzyme A dehydrogenase, long-chain	3.03915
AGI_MM_OLIGO_A_51_P366948	Serpinb5	serine (or cysteine) peptidase inhibitor, clade B, member 5	3.03073
AGI_MM_OLIGO_A_51_P444092	Clec4a2	C-type lectin domain family 4, member a2	3.01350
