Accession No.	Gene	Ratio	P	Ontology
NM_000239	Lysozyme	18.18	0.0422	Defense response to bacterium
NM_002652	Prolactin-induced protein	6.02	0.0422	Actin binding
NM_001040626	Neurocalcin a	4.16	0.0424	Vesicle-mediated transport
NM_199462	Dual serine/threonine and tyrosine protein kinase	2.05	0.0011	Protein amino acid phosphorylation
NM_003033	ST3 beta-galactoside  &#2;2,3-sialyltransferase 1	2	0.0112	Protein amino acid glycosylation
NM_006121	Keratin 1	8.41	0.0264	Epidermis development
NM_002963	S100 calcium binding protein A7	8.34	0.0353	Epidermis development
NM_006919	Serpin peptidase inhibitor, clade B, member 3	8.15	0.0289	Serine-type endopeptidase inhibitor activity
NM_000550	Tyrosinase-related protein 1	3.96	0.0317	Melanocyte differentiation
NM_001017920	Death associated protein-like 1	2.59	0.0182	Apoptosis
NM_002275	Keratin 15	2.42	0.0051	Epidermis development
NM_001069	Tubulin,  &#1;2A	2.33	0.0223	Microtubule-based movement
NM_001878	Cellular retinoic acid binding protein 2	2.32	0.0312	Signal transduction
NM_006390	Importin 8	2.15	0.0067	Intracellular protein transport
NM_031157	Heterogeneous nuclear ribonucleoprotein A1	2.07	0.0043	Nuclear mRNA splicing, via spliceosome
NM_000230	Leptin	2	0.0344	Glucose metabolic process
