Agilent ID	Symbol	Name	p-value	Expression
A_23_P215491	CCL24	chemokine (C-C motif) ligand 24	0.006421474	Up regulated probes
A_23_P110353			0.0065662693	Up regulated probes
A_23_P86996			0.006688251	Up regulated probes
A_23_P74299	ADORA1	adenosine A1 receptor	0.0067373784	Up regulated probes
A_23_P75732	OR5M11	olfactory receptor, family 5, subfamily M, member 11	0.0067866975	Up regulated probes
A_23_P370574	KIR3DL3	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3	0.0069730757	Up regulated probes
A_23_P161857	OR5D16	olfactory receptor, family 5, subfamily D, member 16	0.0070109926	Up regulated probes
A_23_P137630	HP1BP3	heterochromatin protein 1, binding protein 3	0.0070109926	Up regulated probes
A_23_P107048	SUMO2	SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae)	0.007137266	Up regulated probes
A_23_P137786	ADAMTSL4	ADAMTS-like 4	0.007137266	Up regulated probes
A_23_P63484			0.007137266	Up regulated probes
A_23_P1153			0.0071626627	Up regulated probes
A_23_P163506	CYBA	cytochrome b-245, alpha polypeptide	0.0071626627	Up regulated probes
A_23_P12719	SYNPO2L	synaptopodin 2-like	0.0071626627	Up regulated probes
A_23_P12189	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide	0.0071881074	Up regulated probes
A_23_P35995	ASAM	adipocyte-specific adhesion molecule	0.0071881074	Up regulated probes
A_23_P74241	MTF1	metal-regulatory transcription factor 1	0.0071881074	Up regulated probes
A_23_P65357	SYNJ2BP	synaptojanin 2 binding protein	0.007239138	Up regulated probes
A_23_P149724	NUCKS1	nuclear casein kinase and cyclin-dependent kinase substrate 1	0.007239138	Up regulated probes
A_23_P217704	GYG2	glycogenin 2	0.008372977	Up regulated probes
A_23_P38525	SC65	synaptonemal complex protein SC65	0.008372977	Up regulated probes
A_23_P116057	SAC3D1	SAC3 domain containing 1	0.0085173175	Up regulated probes
A_23_P116587	OMP	olfactory marker protein	0.008546336	Up regulated probes
A_23_P32348	P2RX2	purinergic receptor P2X, ligand-gated ion channel, 2	0.009413623	Up regulated probes
A_23_P88913	SYNGR3	synaptogyrin 3	0.009477376	Up regulated probes
A_23_P501414	PCTK1	PCTAIRE protein kinase 1	0.009702182	Up regulated probes
A_23_P30392	NEUROG1	neurogenin 1	0.009831807	Up regulated probes
A_23_P34518	FABP3	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	0.009864345	Up regulated probes
