Entrez gene ID	Symbol	Fold change (Log2 ratio)	Gene name	Putative binding sites
114902	C1QTNF5	-6.87	C1q and tumour necrosis factor related protein 5	(-)
81569	ACTL8	-5.08	Actin-like 8	(-)
8407	TAGLN2	-4.24	Transgelin 2	(+)
23446	SLC44A1	-4.21	Solute carrier family 44, member 1	(+)
113612	CYP2U1	-3.18	Cytochrome P450, family 2, subfamily U, polypeptide 1	(+)
9119	KRT75	-3.17	Keratin 75	(-)
2539	G6PD	-3.02	Glucose-6-phosphate dehydrogenase	(+)
5756	TWF1	-3	Twinfilin, actin-binding protein, homologue 1 (Drosophila)	(+)
79794	C12orf49	-2.84	Chromosome 12 open reading frame 49	(+)
1174	AP1S1	-2.8	Adaptor-related protein complex 1, sigma 1 subunit	(-)
84912	SLC35B4	-2.8	Solute carrier family 35, member B4	(+)
359845	FAM101B	-2.77	Family with sequence similarity 101, member B	(+)
2307	FOXS1	-2.75	Forkhead box S1	(-)
4050	LTB	-2.74	Lymphotoxin beta (TNF superfamily, member 3)	(-)
5757	PTMA	-2.61	Prothymosin, alpha	(+)
27230	SERP1	-2.61	Stress-associated endoplasmic reticulum protein 1	(+)
57530	CGN	-2.58	Cingulin	(-)
84650	EBPL	-2.5	Emopamil binding protein-like	(+)
6347	CCL2	-2.49	Chemokine (C-C motif) ligand 2	(+)
7117	TMSL3	-2.48	Thymosin-like 3	(+)
