Gene Symbol	Gene Description	logFC	Adjusted P-value
PRAC	Prostate cancer susceptibility candidate	4	1.40E-02
ASPN	Asporin	3.8	2.50E-02
CTHRC1	Collagen triple helix repeat containing 1	3.7	7.50E-02
TARP	TCR gamma alternate reading frame protein	3.4	1.10E-02
AGR2	Anterior gradient homolog 2 (Xenopus laevis)	3.2	5.30E-02
POSTN	Periostin, osteoblast specific factor	3.2	9.80E-02
ESR1	estrogen receptor 1	3.2	6.60E-02
NKX3-1	NK3 homeobox 1	3.2	4.10E-02
HOXB13	Homeobox B13	2.8	4.60E-02
SFRP1	Secreted frizzled-related protein 1	2.8	6.30E-02
BMPR1B	Bone morphogenetic protein receptor, type IB	2.7	4.80E-02
FOLH1	Folate hydrolase (prostate-specific membrane antigen) 1	2.7	9.90E-02
RSPO3	R-spondin 3 homolog (Xenopus laevis)	2.3	5.70E-02
PKP2	Plakophilin 2	2.3	6.90E-02
ERG	V-ets erythroblastosis virus E26 oncogene homolog (avian)	2.3	5.30E-02
TSPAN1	Tetraspanin 1	2.2	3.20E-02
HOXC6	Homeobox C6	2	3.00E-02
GREB1	GREB1 protein	2	6.90E-02
