Probe Set ID	Gene Title	Gene Symbol	1wk C57BL/6	1wk C3H/HeN	1wk IL-10	2 wk C57BL/6	2 wk C3H/HeN	2 wk IL-10	4wk C57BL/6	4wk C3H/HeN	4wk IL-10	Category
1420380_at	Chemokine (C-C motif) ligand 2	Ccl2	NC	NC	2.1	22	6.7	42	3.7	2.8	66	Chemokines
1419561_at	Chemokine (C-C motif) ligand 3	Ccl3	NC	NC	NC	14	NC	7.5	2.4	NC	11	Chemokines
1417266_at	Chemokine (C-C motif) ligand 6	Ccl6	NC	NC	NC	2.9	NC	7	NC	NC	5.2	Chemokines
1421228_at	Chemokine (C-C motif) ligand 7	Ccl7	NC	NC	NC	13	11	28	3.4	4.6	49	Chemokines
1419684_at	Chemokine (C-C motif) ligand 8	Ccl8	NC	2.9	NC	7.6	15	48	4.9	9.7	84	Chemokines
1417936_at	Chemokine (C-C motif) ligand 9	Ccl9	NC	NC	NC	4	3.3	3.4	2	NC	3	Chemokines
1419282_at	Chemokine (C-C motif) ligand 12	Ccl12	2.5	2.6	NC	41	2	17	3.5	NC	32	Chemokines
1419209_at	Chemokine (C-X-C motif) ligand 1	Cxcl1	NC	NC	3.4	5.9	5.6	34	3.4	5.7	79	Chemokines
1449984_at	Chemokine (C-X-C motif) ligand 2	Cxcl2	NC	NC	2.2	5.7	NC	17	NC	NC	20	Chemokines
1419728_at	Chemokine (C-X-C motif) ligand 5	Cxcl5	NC	NC	NC	NC	6.7	13	NC	5.6	27	Chemokines
1418480_at	Chemokine (C-X-C motif) ligand 7	Cxcl7	NC	NC	2.4	NC	NC	NC	NC	NC	NC	Chemokines
1418652_at	Chemokine (C-X-C motif) ligand 9	Cxcl9	NC	17	3.1	60	10	596	12	3.6	811	Chemokines
1418930_at	Chemokine (C-X-C motif) ligand 10	Cxcl10	NC	2.6	2.7	11	NC	141	2.3	NC	189	Chemokines
1448823_at	Chemokine (C-X-C motif) ligand 12	Cxcl12	NC	2.0	NC	NC	NC	2.1	NC	2.2	2.6	Chemokines
1417851_at	Chemokine (C-X-C motif) ligand 13	Cxcl13	2.3	NC	NC	401	37	7.8	121	45	20	Chemokines
1418457_at	Chemokine (C-X-C motif) ligand 14	Cxcl14	NC	NC	NC	NC	5.4	NC	NC	2.8	NC	Chemokines
1449195_s_at	Chemokine (C-X-C motif) ligand 16	Cxcl16	NC	NC	NC	6.4	7.9	15	4.3	3.3	22	Chemokines
1415803_at	Chemokine (C-X3-C motif) ligand 1	Cx3cl1	NC	NC	NC	NC	NC	NC	NC	NC	3	Chemokines
1419609_at	Chemokine (C-C motif) receptor 1	Ccr1	NC	NC	NC	2.5	NC	3.1	NC	NC	2.4	Chemokine receptors
1421187_at	Chemokine (C-C motif) receptor 2	Ccr2	NC	NC	2.4	4	NC	8.8	2.1	NC	18	Chemokine receptors
1425947_at	IFN- 	Ifng	NC	NC	NC	NC	NC	16	NC	NC	22	Cytokines
1450330_at	IL-10	Il10	NC	NC	NC	2.2	NC	6.2	NC	NC	6.4	Cytokines
1418219_at	IL-15	Il15	NC	NC	NC	NC	NC	2.8	NC	NC	3.4	Cytokines
1449399_a_at	IL-1 	Il1b	NC	NC	NC	4	3.1	13	2.9	2.5	42	Cytokines
1421370_a_at	IL-1 family, member 5 ( )	Il1f5	2.6	NC	NC	NC	NC	NC	6.5	2.1	NC	Cytokines
1451798_at	IL-1 receptor antagonist	Il1m	NC	NC	NC	9.4	NC	14	3	NC	22	Cytokines
1421034_a_at	IL-4 receptor,  	Il4ra	NC	NC	NC	NC	3.3	4.8	NC	NC	5.5	Cytokines
1450297_at	IL-6	Il6	NC	NC	NC	NC	NC	13	NC	NC	72	Cytokines
1436861_at	IL-7	Il7	NC	NC	NC	NC	NC	NC	NC	NC	2.1	Cytokines
1419135_at	Lymphotoxin B	Ltb	NC	NC	NC	NC	NC	4.3	NC	NC	4.2	Cytokines
1418345_at	TNF (ligand) superfamily, member 13	Tnfsf13	NC	NC	NC	NC	NC	NC	NC	2.1	2.3	Cytokines
1460255_at	TNF (ligand) superfamily, member 13b	Tnfsf13b	NC	NC	NC	4.3	NC	6.6	3.2	NC	10	Cytokines
1419549_at	Arginase 1, liver complement component 1, q subcomponent,	Arg1	2.1	4.2	NC	63	NC	47	16	2.8	32	Innate immune response
1417381_at	Polypeptide complement component 1, q subcomponent,	C1qa	NC	NC	NC	2.9	2.3	4.8	2.3	2.9	5.2	Innate immune response
1417063_at	Polypeptide complement component 1, q subcomponent,	C1qb	NC	NC	NC	4.2	3.3	6.7	2.9	3.5	7.7	Innate immune response
1449401_at	Polypeptide	C1qg	NC	NC	NC	3.2	3.1	5.5	2.6	2.6	5.9	Innate immune response
1417009_at	Complement component 1, r subcomponent	C1r	NC	NC	NC	NC	2.6	6.8	NC	2.5	7.6	Innate immune response
1416051_at	Complement component 2 (within H-2S)	C2	NC	NC	NC	NC	2.2	6.2	NC	NC	8.8	Innate immune response
1423954_at	Complement component 3	C3	NC	NC	NC	3.4	3.9	10	2.5	2.1	11	Innate immune response
1460334_at	Drebrin-like	Dbn1	NC	NC	NC	NC	NC	3.5	NC	NC	3.8	Innate immune response
1425548_a_at	Leukocyte specific transcript 1	Lst1	NC	NC	NC	7.4	16	16	2.5	4.5	12	Innate immune response
1455346_at	Mannan-binding lectin serine protease 1	Masp1	NC	NC	NC	NC	NC	3.7	NC	NC	4.6	Innate immune response
1415960_at	Myeloperoxidase	Mpo	NC	NC	4.3	2.2	NC	6.2	2.0	NC	NC	Innate immune response
1425609_at	Neutrophil cytosolic factor 1	Ncf1	NC	NC	NC	4.8	NC	9.6	NC	NC	12	Innate immune response
1448561_at	Neutrophil cytosolic factor 2	Ncf2	NC	NC	NC	4.3	3.5	5.8	NC	NC	5.1	Innate immune response
1418465_at	Neutrophil cytosolic factor 4	Ncf4	NC	NC	NC	6.7	7.6	6.7	3.2	3.2	6.4	Innate immune response
1452279_at	Properdin factor, complement	Pfc	NC	NC	NC	6.5	7	11	NC	2.7	6.3	Innate immune response
1416625_at	Serine (or cysteine) proteinase inhibitor, clade G, member 1	Serping1	NC	NC	NC	NC	NC	NC	NC	NC	2.1	Innate immune response
1449289_a_at	-2-microglobulin	B2m	NC	NC	NC	2.7	3.9	4.6	NC	2.8	4.9	Adaptive immune response
1449130_at	CD1d1 Ag	Cd1d1	NC	2	NC	NC	NC	NC	NC	NC	NC	Adaptive immune response
1417597_at	CD28 Ag	Cd28	NC	NC	NC	NC	NC	2.9	NC	NC	2.6	Adaptive immune response
1426324_at	Histocompatibility 2, D region locus 1	H2-D1	NC	2.2	NC	2.5	2.3	7.8	NC	NC	8.7	Adaptive immune response
1427746_x_at	Histocompatibility 2, K1, K region	H2-K1	NC	2.1	2.5	3.7	6.1	15	2.1	2.9	17	Adaptive immune response
1425385_a_at	Ig H chain 1a (serum IgG2a)	Igh-1a	NC	NC	NC	NC	NC	2.4	4.8	NC	130	Adaptive immune response
1451632_a_at	Ig H chain 1a (serum IgG2a)	Igh-1a	NC	NC	NC	NC	NC	NC	NC	17	NC	Adaptive immune response
1425247_a_at	Ig H chain 4 (serum IgG1)	Igh-4	NC	NC	NC	NC	NC	2	NC	5.7	5	Adaptive immune response
1425324_x_at	Ig H chain 4 (serum IgG1)	Igh-4	NC	NC	NC	NC	NC	NC	NC	9	2.9	Adaptive immune response
1427756_x_at	Ig H chain 4 (serum IgG1)	Igh-4	NC	NC	NC	NC	NC	NC	NC	7	2.8	Adaptive immune response
