Rank	Statistic	Statistic	Statistic	Probe ID	Symbol	Description
2	0.0000021	0.042	0.346	220013_at	ABHD9	abhydrolase domain containing 9
6	0.0000085	0.077	0.635	223540_at	PVRL4	poliovirus receptor-related 4
14	0.000033	0.125	0.766	239377_at	MGC11102	hypothetical protein MGC11102
27	0.0000703	0.141	0.76	204188_s_at	RARG	retinoic acid receptor, gamma
33	0.0000876	0.145	0.767	208104_s_at	TSC22D4	TSC22 domain family, member 4
35	0.0000959	0.148	0.738	239825_at	ATF6	activating transcription factor 6
45	0.0001493	0.181	0.785	212147_at	SMG5	Smg-5 homologue, nonsense mediated mRNA decay factor (C. elegans)
48	0.0001721	0.196	0.749	218928_s_at	SLC37A1	solute carrier family 37 (glycerol-3-phosphate transporter), member 1
49	0.0001775	0.198	0.646	205204_at	NMB	neuromedin B
56	0.0002063	0.201	0.62	238804_at		Not available
57	0.0002209	0.211	0.702	209679_s_at	LOC57228	small trans-membrane and glycosylated protein
59	0.0002395	0.211	0.76	210678_s_at	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)
