Curated Gene Symbol	Well ID	UG cluster	GeneBank	Gene Symbol	Fold-difference (HGDN/CN)	Parametric p-value
CDC42SE2	1189426	Hs.508829	56990	CDC42SE2	0.6	1.50E-06
AKT1S1	1184269	Hs.515542	84335	AKT1S1	1.27	2.40E-05
HLX	1179539	Hs.74870	3142	HLX1	1.24	8.02E-05
MICALL2	1185341	Hs.376617	79778	MICAL-L2	0.59	8.74E-05
KBTBD6	1185414	Hs.534040	89890	KBTBD6	0.73	1.12E-04
	1192747	Hs.323562	84061	RP11-217H1.1	0.71	1.44E-04
NCF1	1183024	Hs.520943	4687	NCF1	0.77	1.90E-04
	1192376				1.19	1.93E-04
TSPAN31	1178564	Hs.632708	6302	TSPAN31	1.18	2.29E-04
	1190750	Hs.274405			0.72	2.40E-04
RABGEF1	1193058	Hs.530053	27342	RABGEF1	0.65	2.46E-04
WASH2P	1194135	Hs.513214	375260	MGC52000	0.77	2.67E-04
PDCL	1175271	Hs.271749	5082	PDCL	0.68	2.86E-04
LETMD1	1193952	Hs.288771	25875	LETMD1	0.73	3.10E-04
FBXW12	1182947	Hs.288793	285231	FBXW12	0.69	3.17E-04
SNRPN	1178880	Hs.564847	6638	SNRPN	0.7	3.25E-04
PLOD1	1179552	Hs.75093	5351	PLOD1	1.23	3.37E-04
NDP	1174184	Hs.522615	4693	NDP	1.34	3.56E-04
	1192219	Hs.612893			0.73	3.57E-04
	1192809				0.66	4.27E-04
	1192303	Hs.548194			0.72	4.43E-04
TMEM132B	1186080			KIAA1786	0.72	4.47E-04
CIAO1	1175580	Hs.12109	9391	WDR39	1.43	5.12E-04
	1192080	Hs.621383			0.74	5.32E-04
RUNDC3A	1189001	Hs.500197	10900	RPIP8	0.7	5.69E-04
	1182864	Hs.636089			0.69	6.49E-04
	1192093	Hs.306598			0.73	6.67E-04
	1190710			FLJ10246	0.68	7.01E-04
COPE	1175413	Hs.10326	11316	COPE	1.37	7.12E-04
	1194792	Hs.632865	283846	DKFZp547E087	0.67	7.46E-04
NDUFA1	1179538	Hs.534168	4694	NDUFA1	1.36	7.86E-04
ZNF202	1175283	Hs.112556	7753	ZNF202	0.79	7.99E-04
ADAM19	1192261	Hs.483944	8728	ADAM19	0.75	8.15E-04
GINS1	1177857	Hs.631508	9837	GINS1	1.22	8.19E-04
ISCA2	1183105	Hs.291079	122961	HBLD1	1.24	8.62E-04
	1193333			MGC14738	0.77	8.79E-04
FKBP1B	1192296	Hs.306834	2281	FKBP1B	0.72	9.19E-04
COL12A1	1183337	Hs.101302	1303	COL12A1	0.76	9.25E-04
CRYZL1	1193915	Hs.352671	9946	CRYZL1	0.74	9.58E-04
GNG7	1183302	Hs.515544	2788	GNG7	0.73	9.98E-04
	1194029				0.67	9.99E-04
