Gene Symbol	Gene Name	Gene ontology (GO) function/s	Infected vs control group:relative expression	P-value
EEF1G	Eukaryotic translation elongation factor 1 gamma gene	Protein binding, translation elongation factor activity	1.46 ± 0.07	< 0.0001
ADAM17	ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha,converting enzyme) gene
	Metal ion binding, metalloendopeptidase activity, protein binding, zinc ion binding	-2.24 ± 0.28	< 0.0001
CXCR3	Chemokine (C-X-C motif) receptor 3 gene	C-X-C chemokine receptor activity, receptor activity, rhodopsin-like receptor activity	-2.22 ± 0.18	< 0.0001
IER5	Immediate early response 5 gene	Molecular function unknown	-2.28 ± 0.26	< 0.0001
PHB2	Prohibitin 2 gene	Estrogen receptor binding, protein binding, receptor activity, specific transcriptional repressor activity	-1.97 ± 0.19	< 0.0001
STK17B	Serine/threonine kinase 17b (apoptosis-inducing) gene	ATP binding, nucleotide binding, protein serine/threonine kinase activity, transferase activity	-1.39 ± 0.11	0.0007
CD84	CD84 antigen gene	Molecular function unknown	1.77 ± 0.48	0.0009
MCL1	Myeloid cell leukemia sequence 1 (BCL2-related) gene	Protein binding, protein channel activity, protein heterodimerization activity	-1.07 ± 0.31	0.0013
CCL1	Chemokine (C-C motif) ligand 1 gene	Chemokine activity	-1.33 ± 0.09	0.0014
TBK1	TANK-binding kinase 1 gene	ATP binding, nucleotide binding, protein serine/threonine kinase activity, signal transducer activity, transferase activity	-1.56 ± 0.19	0.0037
AKT1	V-akt murine thymoma viral oncogene homolog 1 gene	ATP binding, nucleotide binding, protein kinase activity, serine/ threonine kinase activity, transferase activity	-1.49 ± 0.16	0.0042
IL8	Interleukin 8 gene	Chemokine activity, interleukin-8 receptor binding, protein binding	-1.64 ± 0.64	0.0048
TLR2	Toll-like receptor 2 gene	Gram-positive bacterial binding, lipopolysaccharide receptor activity, peptidoglycan binding, transferase activity	-2.37 ± 0.89	0.0108
PRKCB1	Protein kinase C, beta 1 gene	ATP binding, calcium ion binding, diacylglycerol binding, protein kinase C activity, transferase activity, zinc ion binding	-1.13 ± 0.35	0.0111
TLR4	Toll-like receptor 4	Lipopolysaccharide binding, protein binding, transferase activity, transmembrane receptor activity	-1.22 ± 0.55	0.0116
NFKB1	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105) gene	Protein binding, transcription factor activity	-1.02 ± 0.50	0.0228
IL16	Interleukin 16 (lymphocyte chemoattractant factor) gene	Cytokine activity, protein binding	1.33 ± 0.17	0.0326
RPS6KB2	Ribosomal protein S6 kinase, 70 kDa, polypeptide 2 gene	ATP binding, nucleotide binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity	-0.92 ± 0.29	0.0342
BCL2	B-cell CLL/lymphoma 2 gene	Identical protein binding	-1.62 ± 0.61	0.0395
TNF	Tumor necrosis factor (TNF superfamily, member 2) gene	Protein binding, tumor necrosis factor receptor binding	0.89 ± 0.46	0.0426
CD81	CD81 molecule gene	Protein binding	-1.23 ± 0.41	0.0477
NFATC4	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4 gene	Transcription coactivator activity, transcription factor activity	13.22 ± 6.42	0.0482
