Function	Gene name	Signal intensity F344	Signal intensity ACI	Fold difference	Chromosome
Stress proteins	Heat shock protein 90	624.64	1.72E+02	3.64	20
Detoxification enzymes	Glutathione S-transferase subunit Yrs (GST-theta2)	10,530.62	9.58E+02	10.99	20
Detoxification enzymes	Microsomal GST-1	5048.21	7.15E+02	7.06	4
Metabolic enzymes	Aldehyde dehydrogenase	9669.42	1.18E+03	8.19	1 or 5
Metabolic enzymes	NADH dehydrogenase (ubiquinone) 1beta subcomplex	1351.1	2.16E+02	6.26	1
Metabolic enzymes	Cytochrome oxidase subunit VIIa mRNA	3536.75	6.26E+02	5.65	8
Metabolic enzymes	Tryptophan 5-monooxygenase activation protein, epsilon polypeptide	4590.46	8.34E+02	5.5	11
Metabolic enzymes	Cytosolic epoxide hydrolase	2149.65	4.58E+02	4.7	15
Metabolic enzymes	Biliverdin reductase	1057.02	3.12E+02	3.39	3q32-3q36
Lipid metabolic enzymes, transporters	Liver fatty acid binding protein (L-FABP)	6673.24	1.27E+02	52.71	4
Lipid metabolic enzymes, transporters	70-kDa peroxisomal membrane protein (PMP70)	9831.9	1.36E+03	7.23	2
Ion transporters, carrier proteins	Calbindin-D9K	1653.3	7.21E+01	22.92	X
Ion transporters, carrier proteins	Transferrin	4741.27	7.95E+02	5.96	8
Signal transduction molecules, transcription factors	Transcription coactivator CAPER	575.08	7.61E+01	7.56	3
Signal transduction molecules, transcription factors	Elongation factor 1?	6003	9.06E+02	6.63	1
Signal transduction molecules, transcription factors	G protein beta1 subunit	2710.78	4.72E+02	5.74	5
Cell cycle regulators	Cyclin G	2702.86	8.67E+02	3.12	10
Nuclear protein and nucleotide enzymes	Histone H3.3	5252.49	1.23E+03	4.26	12q11-q13
Neural peptide and proteins	alpha-Synuclein	922.91	1.35E+02	6.81	16
Ribosomal RNA and proteins	Genes for 18S, 5.8S, and 28S ribosomal RNAs	22,886.94	2.16E+03	10.59	1
Ribosomal RNA and proteins	Ribosomal protein L5	4117.32	4.43E+02	9.29	—
Ribosomal RNA and proteins	Ribosomal protein L21	9067.3	1.16E+03	7.8	—
Ribosomal RNA and proteins	Ribosomal protein S24	2461.57	5.72E+02	4.3	8
Function unknown	AI639294	745.99	9.53E+01	7.83	20
Function unknown	AA859848	7179.15	1.06E+03	6.74	3
Function unknown	AA859627	387.2	6.67E+01	5.81	2
Function unknown	AA859994	3116.65	5.76E+02	5.42	5
Function unknown	AA875192	906.7	2.35E+02	3.85	15
